Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:33:00;INSTAL-KRAKOW;INK (INSTALKRK);1;35.1000;0.0000;0.00;51;1790.10
2026-09-11;09:34:00;INSTAL-KRAKOW;INK (INSTALKRK);2;35.2000;0.0000;0.00;166;5843.20
2026-09-11;09:35:00;INSTAL-KRAKOW;INK (INSTALKRK);3;35.2000;0.0000;0.00;3;105.60
2026-09-11;09:38:00;INSTAL-KRAKOW;INK (INSTALKRK);4;35.2000;0.0000;0.00;4;140.80
2026-09-11;09:39:00;INSTAL-KRAKOW;INK (INSTALKRK);5;35.4000;0.0000;0.00;52;1840.80
2026-09-11;09:41:00;INSTAL-KRAKOW;INK (INSTALKRK);6;35.4000;0.0000;0.00;3;106.20
2026-09-11;10:16:00;INSTAL-KRAKOW;INK (INSTALKRK);7;35.3000;0.0000;0.00;3;105.90
2026-09-11;10:28:00;INSTAL-KRAKOW;INK (INSTALKRK);8;35.4000;0.0000;0.00;33;1168.20
2026-09-11;10:37:00;INSTAL-KRAKOW;INK (INSTALKRK);9;35.2000;-0.1000;-0.28;10;352.30
2026-09-11;11:23:00;INSTAL-KRAKOW;INK (INSTALKRK);10;35.4000;0.0000;0.00;52;1840.80
2026-09-11;11:24:00;INSTAL-KRAKOW;INK (INSTALKRK);11;35.5000;0.0000;0.00;68;2414.00
2026-09-11;12:16:00;INSTAL-KRAKOW;INK (INSTALKRK);12;35.5000;0.0000;0.00;98;3479.00
2026-09-11;12:19:00;INSTAL-KRAKOW;INK (INSTALKRK);13;35.6000;0.0000;0.00;142;5055.20
2026-09-11;12:21:00;INSTAL-KRAKOW;INK (INSTALKRK);14;35.7000;0.0000;0.00;40;1428.00
2026-09-11;14:23:00;INSTAL-KRAKOW;INK (INSTALKRK);15;35.5000;0.0000;0.00;11;390.50
2026-09-11;14:45:00;INSTAL-KRAKOW;INK (INSTALKRK);16;35.7000;0.0000;0.00;1;35.70
2026-09-11;15:03:00;INSTAL-KRAKOW;INK (INSTALKRK);17;35.7000;0.0000;0.00;27;963.90
2026-09-11;15:39:00;INSTAL-KRAKOW;INK (INSTALKRK);18;35.5000;-0.2000;-0.56;16;569.30
2026-09-11;15:42:00;INSTAL-KRAKOW;INK (INSTALKRK);19;35.5000;0.0000;0.00;20;710.00
2026-09-11;16:06:00;INSTAL-KRAKOW;INK (INSTALKRK);20;35.5000;-0.1000;-0.28;316;11221.00
2026-09-11;16:37:00;INSTAL-KRAKOW;INK (INSTALKRK);21;35.5000;0.0000;0.00;30;1065.00
2026-09-11;16:46:00;INSTAL-KRAKOW;INK (INSTALKRK);22;35.5000;0.0000;0.00;30;1065.00
2026-09-11;16:48:00;INSTAL-KRAKOW;INK (INSTALKRK);23;35.5000;0.0000;0.00;10;355.00
2026-09-11;16:49:00;INSTAL-KRAKOW;INK (INSTALKRK);24;35.4000;0.0000;0.00;200;7080.00
2026-09-11;17:00:00;INSTAL-KRAKOW;INK (INSTALKRK);25;35.4000;0.0000;0.00;30;1062.00
