Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-03;09:00:00;INTER-CARS;CAR (INTERCARS);1;982.0000;9.0000;0.92;54;52917.00
2026-09-03;09:01:00;INTER-CARS;CAR (INTERCARS);2;983.0000;0.0000;0.00;1;983.00
2026-09-03;09:08:00;INTER-CARS;CAR (INTERCARS);3;970.0000;0.0000;0.00;34;32980.00
2026-09-03;09:10:00;INTER-CARS;CAR (INTERCARS);4;969.0000;-7.0000;-0.72;96;93507.00
2026-09-03;09:12:00;INTER-CARS;CAR (INTERCARS);5;974.0000;0.0000;0.00;32;31168.00
2026-09-03;09:23:00;INTER-CARS;CAR (INTERCARS);6;967.0000;0.0000;0.00;1;967.00
2026-09-03;09:26:00;INTER-CARS;CAR (INTERCARS);7;982.0000;0.0000;0.00;10;9820.00
2026-09-03;09:30:00;INTER-CARS;CAR (INTERCARS);8;982.0000;0.0000;0.00;1;982.00
2026-09-03;09:35:00;INTER-CARS;CAR (INTERCARS);9;980.0000;0.0000;0.00;3;2940.00
2026-09-03;09:48:00;INTER-CARS;CAR (INTERCARS);10;970.0000;0.0000;0.00;24;23280.00
2026-09-03;09:53:00;INTER-CARS;CAR (INTERCARS);11;970.0000;0.0000;0.00;1;970.00
2026-09-03;09:57:00;INTER-CARS;CAR (INTERCARS);12;979.0000;0.0000;0.00;2;1958.00
2026-09-03;10:01:00;INTER-CARS;CAR (INTERCARS);13;964.0000;-7.0000;-0.72;286;276373.00
2026-09-03;10:02:00;INTER-CARS;CAR (INTERCARS);14;965.0000;-1.0000;-0.10;273;263692.00
2026-09-03;10:11:00;INTER-CARS;CAR (INTERCARS);15;965.0000;-1.0000;-0.10;146;141598.00
2026-09-03;10:13:00;INTER-CARS;CAR (INTERCARS);16;975.0000;0.0000;0.00;3;2925.00
2026-09-03;10:14:00;INTER-CARS;CAR (INTERCARS);17;966.0000;0.0000;0.00;15;14490.00
2026-09-03;10:15:00;INTER-CARS;CAR (INTERCARS);18;965.0000;0.0000;0.00;27;26055.00
2026-09-03;10:23:00;INTER-CARS;CAR (INTERCARS);19;966.0000;0.0000;0.00;5;4830.00
2026-09-03;10:28:00;INTER-CARS;CAR (INTERCARS);20;966.0000;0.0000;0.00;1;966.00
2026-09-03;10:47:00;INTER-CARS;CAR (INTERCARS);21;968.0000;0.0000;0.00;2;1936.00
2026-09-03;10:51:00;INTER-CARS;CAR (INTERCARS);22;968.0000;0.0000;0.00;1;968.00
2026-09-03;10:54:00;INTER-CARS;CAR (INTERCARS);23;970.0000;0.0000;0.00;1;970.00
2026-09-03;10:56:00;INTER-CARS;CAR (INTERCARS);24;969.0000;1.0000;0.10;4;3875.00
2026-09-03;11:00:00;INTER-CARS;CAR (INTERCARS);25;968.0000;0.0000;0.00;5;4840.00
2026-09-03;11:06:00;INTER-CARS;CAR (INTERCARS);26;966.0000;-1.0000;-0.10;4;3865.00
2026-09-03;11:07:00;INTER-CARS;CAR (INTERCARS);27;965.0000;-1.0000;-0.10;26;25113.00
2026-09-03;11:08:00;INTER-CARS;CAR (INTERCARS);28;965.0000;0.0000;0.00;1313;1266904.00
2026-09-03;11:09:00;INTER-CARS;CAR (INTERCARS);29;965.0000;0.0000;0.00;9;8685.00
2026-09-03;11:11:00;INTER-CARS;CAR (INTERCARS);30;964.0000;0.0000;0.00;3;2892.00
2026-09-03;11:13:00;INTER-CARS;CAR (INTERCARS);31;965.0000;0.0000;0.00;190;183350.00
2026-09-03;11:20:00;INTER-CARS;CAR (INTERCARS);32;963.0000;0.0000;0.00;1;963.00
2026-09-03;11:21:00;INTER-CARS;CAR (INTERCARS);33;961.0000;-1.0000;-0.10;5;4808.00
2026-09-03;11:29:00;INTER-CARS;CAR (INTERCARS);34;959.0000;-3.0000;-0.31;81;77821.00
2026-09-03;11:30:00;INTER-CARS;CAR (INTERCARS);35;964.0000;0.0000;0.00;3;2892.00
2026-09-03;11:36:00;INTER-CARS;CAR (INTERCARS);36;958.0000;0.0000;0.00;4;3832.00
2026-09-03;11:43:00;INTER-CARS;CAR (INTERCARS);37;958.0000;0.0000;0.00;2;1916.00
2026-09-03;11:44:00;INTER-CARS;CAR (INTERCARS);38;957.0000;0.0000;0.00;2;1914.00
2026-09-03;11:47:00;INTER-CARS;CAR (INTERCARS);39;955.0000;-1.0000;-0.10;70;66857.00
2026-09-03;11:49:00;INTER-CARS;CAR (INTERCARS);40;953.0000;0.0000;0.00;4;3812.00
2026-09-03;11:53:00;INTER-CARS;CAR (INTERCARS);41;953.0000;0.0000;0.00;3;2859.00
2026-09-03;11:55:00;INTER-CARS;CAR (INTERCARS);42;954.0000;0.0000;0.00;1;954.00
2026-09-03;11:57:00;INTER-CARS;CAR (INTERCARS);43;952.0000;0.0000;0.00;3;2856.00
2026-09-03;12:04:00;INTER-CARS;CAR (INTERCARS);44;952.0000;0.0000;0.00;3;2856.00
2026-09-03;12:05:00;INTER-CARS;CAR (INTERCARS);45;952.0000;0.0000;0.00;3;2856.00
2026-09-03;12:11:00;INTER-CARS;CAR (INTERCARS);46;951.0000;0.0000;0.00;5;4755.00
2026-09-03;12:12:00;INTER-CARS;CAR (INTERCARS);47;951.0000;0.0000;0.00;4;3804.00
2026-09-03;12:18:00;INTER-CARS;CAR (INTERCARS);48;950.0000;0.0000;0.00;3;2850.00
2026-09-03;12:19:00;INTER-CARS;CAR (INTERCARS);49;953.0000;0.0000;0.00;5;4765.00
2026-09-03;12:20:00;INTER-CARS;CAR (INTERCARS);50;953.0000;0.0000;0.00;1;953.00
2026-09-03;12:25:00;INTER-CARS;CAR (INTERCARS);51;951.0000;0.0000;0.00;3;2853.00
2026-09-03;12:27:00;INTER-CARS;CAR (INTERCARS);52;951.0000;0.0000;0.00;2;1902.00
2026-09-03;12:29:00;INTER-CARS;CAR (INTERCARS);53;954.0000;2.0000;0.21;10;9522.00
2026-09-03;12:32:00;INTER-CARS;CAR (INTERCARS);54;953.0000;0.0000;0.00;34;32402.00
2026-09-03;12:36:00;INTER-CARS;CAR (INTERCARS);55;953.0000;-1.0000;-0.10;5;4766.00
2026-09-03;12:44:00;INTER-CARS;CAR (INTERCARS);56;954.0000;0.0000;0.00;1;954.00
2026-09-03;12:46:00;INTER-CARS;CAR (INTERCARS);57;954.0000;0.0000;0.00;5;4770.00
2026-09-03;12:54:00;INTER-CARS;CAR (INTERCARS);58;954.0000;0.0000;0.00;4;3816.00
2026-09-03;13:01:00;INTER-CARS;CAR (INTERCARS);59;954.0000;0.0000;0.00;4;3816.00
2026-09-03;13:03:00;INTER-CARS;CAR (INTERCARS);60;954.0000;0.0000;0.00;1;954.00
2026-09-03;13:05:00;INTER-CARS;CAR (INTERCARS);61;955.0000;0.0000;0.00;40;38200.00
2026-09-03;13:09:00;INTER-CARS;CAR (INTERCARS);62;954.0000;0.0000;0.00;4;3816.00
2026-09-03;13:12:00;INTER-CARS;CAR (INTERCARS);63;953.0000;0.0000;0.00;14;13342.00
2026-09-03;13:13:00;INTER-CARS;CAR (INTERCARS);64;953.0000;1.0000;0.11;6;5714.00
2026-09-03;13:20:00;INTER-CARS;CAR (INTERCARS);65;954.0000;2.0000;0.21;5;4762.00
2026-09-03;13:29:00;INTER-CARS;CAR (INTERCARS);66;953.0000;0.0000;0.00;4;3812.00
2026-09-03;13:32:00;INTER-CARS;CAR (INTERCARS);67;954.0000;0.0000;0.00;6;5724.00
