Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-08;09:27:00;INTERBUD-LUBLIN;ITB (INTERBUD);1;1.6000;0.0000;0.00;20;32.00
2026-09-08;12:34:00;INTERBUD-LUBLIN;ITB (INTERBUD);2;1.5100;-0.0300;-1.95;907;1375.07
2026-09-08;12:40:00;INTERBUD-LUBLIN;ITB (INTERBUD);3;1.6000;0.0000;0.00;8;12.80
2026-09-08;12:54:00;INTERBUD-LUBLIN;ITB (INTERBUD);4;1.5700;0.0000;0.00;10;15.70
2026-09-08;13:09:00;INTERBUD-LUBLIN;ITB (INTERBUD);5;1.5000;0.0000;0.00;1707;2560.50
2026-09-08;13:53:00;INTERBUD-LUBLIN;ITB (INTERBUD);6;1.5000;0.0000;0.00;303;454.50
2026-09-08;14:39:00;INTERBUD-LUBLIN;ITB (INTERBUD);7;1.5600;0.0000;0.00;8;12.48
2026-09-08;15:22:00;INTERBUD-LUBLIN;ITB (INTERBUD);8;1.5000;0.0000;0.00;2500;3750.00
2026-09-08;15:38:00;INTERBUD-LUBLIN;ITB (INTERBUD);9;1.4700;-0.0200;-1.34;4000;5900.00
2026-09-08;15:42:00;INTERBUD-LUBLIN;ITB (INTERBUD);10;1.5500;0.0000;0.00;8;12.40
