Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;11:10:00;INTROL;INL (INTROL);1;7.7800;0.0000;0.00;2;15.56
2026-07-23;11:13:00;INTROL;INL (INTROL);2;7.7200;0.0000;0.00;155;1196.60
2026-07-23;11:27:00;INTROL;INL (INTROL);3;7.7000;0.0000;0.00;190;1463.00
2026-07-23;11:41:00;INTROL;INL (INTROL);4;7.7000;0.0000;0.00;10;77.00
2026-07-23;13:05:00;INTROL;INL (INTROL);5;7.6800;0.0000;0.00;34;261.12
2026-07-23;13:45:00;INTROL;INL (INTROL);6;7.6400;-0.0400;-0.52;170;1301.54
2026-07-23;15:19:00;INTROL;INL (INTROL);7;7.6400;0.0000;0.00;2;15.28
2026-07-23;16:01:00;INTROL;INL (INTROL);8;7.7000;0.0000;0.00;223;1717.10
2026-07-23;16:16:00;INTROL;INL (INTROL);9;7.7000;0.0000;0.00;2;15.40
2026-07-23;17:00:00;INTROL;INL (INTROL);10;7.7000;0.0000;0.00;66;508.20
