Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-22;09:00:00;IPOPEMA;IPE (IPOPEMA);1;9.3200;0.0000;0.00;96;894.72
2026-09-22;09:08:00;IPOPEMA;IPE (IPOPEMA);2;8.8600;-0.4800;-5.14;106;964.60
2026-09-22;09:14:00;IPOPEMA;IPE (IPOPEMA);3;9.3200;0.0000;0.00;55;512.60
2026-09-22;09:16:00;IPOPEMA;IPE (IPOPEMA);4;9.3200;0.0000;0.00;45;419.40
2026-09-22;09:39:00;IPOPEMA;IPE (IPOPEMA);5;9.3200;0.0000;0.00;72;671.04
2026-09-22;09:47:00;IPOPEMA;IPE (IPOPEMA);6;9.3200;0.0000;0.00;10;93.20
2026-09-22;10:15:00;IPOPEMA;IPE (IPOPEMA);7;9.3000;0.0400;0.43;214;1988.00
2026-09-22;10:16:00;IPOPEMA;IPE (IPOPEMA);8;9.3200;0.0200;0.22;2145;19956.36
2026-09-22;10:36:00;IPOPEMA;IPE (IPOPEMA);9;9.3000;0.0000;0.00;3;27.90
2026-09-22;10:58:00;IPOPEMA;IPE (IPOPEMA);10;9.1200;0.0000;0.00;1;9.12
2026-09-22;11:24:00;IPOPEMA;IPE (IPOPEMA);11;9.2800;0.0000;0.00;100;928.00
2026-09-22;11:30:00;IPOPEMA;IPE (IPOPEMA);12;9.2800;0.0000;0.00;200;1856.00
2026-09-22;11:37:00;IPOPEMA;IPE (IPOPEMA);13;9.2800;0.0000;0.00;200;1856.00
2026-09-22;12:16:00;IPOPEMA;IPE (IPOPEMA);14;9.1200;0.0000;0.00;717;6539.04
2026-09-22;12:54:00;IPOPEMA;IPE (IPOPEMA);15;9.1800;0.0200;0.22;36;329.92
2026-09-22;14:48:00;IPOPEMA;IPE (IPOPEMA);16;9.1200;0.0000;0.00;1;9.12
2026-09-22;15:04:00;IPOPEMA;IPE (IPOPEMA);17;9.1200;0.0000;0.00;199;1814.88
2026-09-22;15:09:00;IPOPEMA;IPE (IPOPEMA);18;9.1800;0.0000;0.00;20;183.60
2026-09-22;15:11:00;IPOPEMA;IPE (IPOPEMA);19;9.2800;0.1000;1.09;435;4031.20
2026-09-22;15:36:00;IPOPEMA;IPE (IPOPEMA);20;9.2800;0.0000;0.00;110;1020.80
2026-09-22;15:37:00;IPOPEMA;IPE (IPOPEMA);21;9.2800;0.0000;0.00;48;445.44
2026-09-22;16:20:00;IPOPEMA;IPE (IPOPEMA);22;9.0200;0.0000;0.00;1;9.02
2026-09-22;16:48:00;IPOPEMA;IPE (IPOPEMA);23;9.1600;0.0000;0.00;20;183.20
