Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:00:00;IZOSTAL;IZS (IZOSTAL);1;3.2300;0.0000;0.00;6148;19858.04
2026-09-11;09:01:00;IZOSTAL;IZS (IZOSTAL);2;3.1900;-0.0100;-0.31;1162;3713.37
2026-09-11;09:02:00;IZOSTAL;IZS (IZOSTAL);3;3.1500;-0.0400;-1.25;10676;33804.88
2026-09-11;09:12:00;IZOSTAL;IZS (IZOSTAL);4;3.1900;0.0000;0.00;156;497.64
2026-09-11;09:16:00;IZOSTAL;IZS (IZOSTAL);5;3.1900;0.0000;0.00;10;31.90
2026-09-11;09:17:00;IZOSTAL;IZS (IZOSTAL);6;3.1900;0.0000;0.00;82;261.58
2026-09-11;09:19:00;IZOSTAL;IZS (IZOSTAL);7;3.1900;0.0000;0.00;3;9.57
2026-09-11;09:21:00;IZOSTAL;IZS (IZOSTAL);8;3.1600;0.0000;0.00;15;47.40
2026-09-11;09:26:00;IZOSTAL;IZS (IZOSTAL);9;3.1900;0.0000;0.00;449;1432.31
2026-09-11;09:30:00;IZOSTAL;IZS (IZOSTAL);10;3.1900;0.0000;0.00;1500;4785.00
2026-09-11;09:50:00;IZOSTAL;IZS (IZOSTAL);11;3.2000;0.0000;0.00;10;32.00
2026-09-11;10:02:00;IZOSTAL;IZS (IZOSTAL);12;3.1900;0.0000;0.00;203;647.57
2026-09-11;10:06:00;IZOSTAL;IZS (IZOSTAL);13;3.1600;0.0000;0.00;1000;3160.00
2026-09-11;10:10:00;IZOSTAL;IZS (IZOSTAL);14;3.1900;0.0000;0.00;138;440.22
2026-09-11;10:37:00;IZOSTAL;IZS (IZOSTAL);15;3.1900;0.0000;0.00;100;319.00
2026-09-11;10:49:00;IZOSTAL;IZS (IZOSTAL);16;3.1900;0.0000;0.00;16;51.04
2026-09-11;10:53:00;IZOSTAL;IZS (IZOSTAL);17;3.1900;0.0000;0.00;50;159.50
2026-09-11;11:04:00;IZOSTAL;IZS (IZOSTAL);18;3.1900;0.0000;0.00;3;9.57
2026-09-11;11:12:00;IZOSTAL;IZS (IZOSTAL);19;3.1900;0.0000;0.00;3;9.57
2026-09-11;11:14:00;IZOSTAL;IZS (IZOSTAL);20;3.1900;0.0000;0.00;6;19.14
2026-09-11;11:24:00;IZOSTAL;IZS (IZOSTAL);21;3.1900;0.0000;0.00;3;9.57
2026-09-11;11:38:00;IZOSTAL;IZS (IZOSTAL);22;3.2000;0.0100;0.31;156;498.43
2026-09-11;12:04:00;IZOSTAL;IZS (IZOSTAL);23;3.1600;0.0000;0.00;1180;3728.80
2026-09-11;12:09:00;IZOSTAL;IZS (IZOSTAL);24;3.1500;0.0000;0.00;47;148.05
2026-09-11;12:10:00;IZOSTAL;IZS (IZOSTAL);25;3.1900;0.0000;0.00;36;114.84
2026-09-11;12:23:00;IZOSTAL;IZS (IZOSTAL);26;3.1900;0.0000;0.00;1;3.19
2026-09-11;12:48:00;IZOSTAL;IZS (IZOSTAL);27;3.1900;0.0000;0.00;9;28.71
2026-09-11;13:13:00;IZOSTAL;IZS (IZOSTAL);28;3.1500;0.0000;0.00;34;107.10
2026-09-11;13:37:00;IZOSTAL;IZS (IZOSTAL);29;3.1500;0.0000;0.00;2400;7560.00
2026-09-11;13:38:00;IZOSTAL;IZS (IZOSTAL);30;3.1500;0.0000;0.00;911;2869.65
2026-09-11;14:09:00;IZOSTAL;IZS (IZOSTAL);31;3.1500;0.0000;0.00;2000;6300.00
2026-09-11;14:14:00;IZOSTAL;IZS (IZOSTAL);32;3.1800;0.0300;0.95;500;1583.87
2026-09-11;14:25:00;IZOSTAL;IZS (IZOSTAL);33;3.1800;0.0000;0.00;10;31.80
2026-09-11;15:01:00;IZOSTAL;IZS (IZOSTAL);34;3.1800;0.0000;0.00;100;318.00
2026-09-11;15:18:00;IZOSTAL;IZS (IZOSTAL);35;3.1800;0.0000;0.00;2;6.36
2026-09-11;15:25:00;IZOSTAL;IZS (IZOSTAL);36;3.1800;0.0000;0.00;19;60.42
2026-09-11;15:29:00;IZOSTAL;IZS (IZOSTAL);37;3.1800;0.0000;0.00;128;407.04
2026-09-11;15:51:00;IZOSTAL;IZS (IZOSTAL);38;3.1800;0.0000;0.00;2;6.36
2026-09-11;15:56:00;IZOSTAL;IZS (IZOSTAL);39;3.1800;0.0000;0.00;439;1396.02
2026-09-11;16:09:00;IZOSTAL;IZS (IZOSTAL);40;3.1800;0.0000;0.00;161;511.98
2026-09-11;16:48:00;IZOSTAL;IZS (IZOSTAL);41;3.1900;0.0000;0.00;390;1244.10
