Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-24;09:00:00;JRH;JRH;1;3.8000;0.0000;0.00;32;121.60
2026-09-24;09:09:00;JRH;JRH;2;3.7900;0.0000;0.00;29;109.91
2026-09-24;09:23:00;JRH;JRH;3;3.7500;0.0000;0.00;50;187.50
2026-09-24;09:24:00;JRH;JRH;4;3.7000;-0.0500;-1.33;4000;14800.15
2026-09-24;10:00:00;JRH;JRH;5;3.7000;0.0000;0.00;2000;7400.00
2026-09-24;10:26:00;JRH;JRH;6;3.7000;0.0000;0.00;5000;18500.00
2026-09-24;10:35:00;JRH;JRH;7;3.7000;0.0000;0.00;2000;7400.00
2026-09-24;10:44:00;JRH;JRH;8;3.6200;-0.0700;-1.90;2636;9556.52
2026-09-24;10:45:00;JRH;JRH;9;3.6100;0.0000;0.00;1230;4440.30
2026-09-24;10:55:00;JRH;JRH;10;3.6200;0.0000;0.00;1450;5249.00
2026-09-24;10:57:00;JRH;JRH;11;3.6000;-0.0100;-0.28;1379;4972.55
2026-09-24;12:08:00;JRH;JRH;12;3.6000;-0.0100;-0.28;3377;12232.65
2026-09-24;12:14:00;JRH;JRH;13;3.5500;-0.0400;-1.11;7495;26703.55
2026-09-24;12:15:00;JRH;JRH;14;3.5500;0.0000;0.00;1730;6141.50
2026-09-24;12:42:00;JRH;JRH;15;3.6400;0.0000;0.00;10;36.40
2026-09-24;12:46:00;JRH;JRH;16;3.6500;0.0100;0.27;1000;3640.10
2026-09-24;12:49:00;JRH;JRH;17;3.6500;0.0000;0.00;2;7.30
2026-09-24;13:09:00;JRH;JRH;18;3.6700;0.0200;0.55;1533;5612.05
2026-09-24;13:25:00;JRH;JRH;19;3.5700;-0.0300;-0.83;6199;22220.44
2026-09-24;13:28:00;JRH;JRH;20;3.5700;-0.0100;-0.28;2822;10082.76
2026-09-24;13:30:00;JRH;JRH;21;3.6500;0.0000;0.00;2;7.30
2026-09-24;13:32:00;JRH;JRH;22;3.6500;0.0000;0.00;4;14.60
2026-09-24;13:52:00;JRH;JRH;23;3.6000;0.0000;0.00;2000;7200.00
2026-09-24;13:53:00;JRH;JRH;24;3.5800;-0.0100;-0.28;1417;5077.03
2026-09-24;13:58:00;JRH;JRH;25;3.5700;0.0000;0.00;1246;4448.22
2026-09-24;14:19:00;JRH;JRH;26;3.5700;0.0000;0.00;3598;12844.86
2026-09-24;14:35:00;JRH;JRH;27;3.6500;0.0000;0.00;2;7.30
2026-09-24;15:11:00;JRH;JRH;28;3.6000;0.0000;0.00;643;2314.80
2026-09-24;16:07:00;JRH;JRH;29;3.6000;0.0000;0.00;300;1080.00
2026-09-24;16:12:00;JRH;JRH;30;3.6000;0.0000;0.00;7;25.20
