Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-21;09:00:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;1;37.6900;0.0400;0.11;10507;395773.18
2026-09-21;09:01:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;2;37.3600;-0.1800;-0.48;5366;201101.13
2026-09-21;09:02:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;3;37.7000;0.2100;0.56;647;24216.24
2026-09-21;09:03:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;4;37.7600;0.0600;0.16;601;22688.99
2026-09-21;09:04:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;5;37.7300;0.1300;0.35;274;10305.10
2026-09-21;09:06:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;6;37.7200;0.0000;0.00;205;7732.60
2026-09-21;09:07:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;7;37.6800;-0.0400;-0.11;774;29115.92
2026-09-21;09:08:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;8;37.7200;0.0400;0.11;700;26386.08
2026-09-21;09:09:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;9;37.7100;0.1200;0.32;4;150.48
2026-09-21;09:10:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;10;37.7400;0.0300;0.08;565;21318.73
2026-09-21;09:11:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;11;37.7500;0.0100;0.03;310;11699.81
2026-09-21;09:12:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;12;37.9900;0.2500;0.66;5586;211037.93
2026-09-21;09:13:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;13;37.9900;0.0000;0.00;511;19413.38
2026-09-21;09:14:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;14;37.9900;0.0000;0.00;1165;44242.04
2026-09-21;09:15:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;15;37.8500;-0.1400;-0.37;961;36412.66
2026-09-21;09:16:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;16;37.8700;-0.1000;-0.26;911;34566.53
2026-09-21;09:17:00;JSW-JASTRZEBSKA-SPOLKA-WEGLOWA;JSW;17;37.9600;0.0900;0.24;1522;57638.77
