Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-10;09:00:00;JWW-INVEST;JWW (JWWINVEST);1;3.1000;0.0000;0.00;1;3.10
2026-08-10;09:35:00;JWW-INVEST;JWW (JWWINVEST);2;3.1000;0.0000;0.00;940;2914.00
2026-08-10;09:40:00;JWW-INVEST;JWW (JWWINVEST);3;3.1000;0.0000;0.00;10;31.00
2026-08-10;10:57:00;JWW-INVEST;JWW (JWWINVEST);4;3.1000;0.0000;0.00;3;9.30
2026-08-10;11:11:00;JWW-INVEST;JWW (JWWINVEST);5;3.1000;0.0000;0.00;10;31.00
2026-08-10;11:53:00;JWW-INVEST;JWW (JWWINVEST);6;3.0400;-0.0100;-0.33;349;1061.61
2026-08-10;12:15:00;JWW-INVEST;JWW (JWWINVEST);7;3.0900;0.0000;0.00;1;3.09
2026-08-10;13:14:00;JWW-INVEST;JWW (JWWINVEST);8;3.0900;0.0000;0.00;64;197.76
2026-08-10;13:47:00;JWW-INVEST;JWW (JWWINVEST);9;3.1000;0.0000;0.00;5;15.50
2026-08-10;16:45:00;JWW-INVEST;JWW (JWWINVEST);10;3.2000;0.1000;3.23;4381;13758.65
2026-08-10;16:49:00;JWW-INVEST;JWW (JWWINVEST);11;3.2000;0.0000;0.00;784;2508.80
