Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-08;11:19:00;KCI;KCI;1;0.8900;0.0000;0.00;1000;890.00
2026-09-08;11:20:00;KCI;KCI;2;0.8900;0.0000;0.00;73;64.97
2026-09-08;11:43:00;KCI;KCI;3;0.9000;0.0000;0.00;8495;7645.50
2026-09-08;11:57:00;KCI;KCI;4;0.9140;0.0140;1.56;250;228.47
2026-09-08;13:23:00;KCI;KCI;5;0.9160;0.0020;0.22;4101;3748.54
2026-09-08;15:06:00;KCI;KCI;6;0.9160;0.0000;0.00;268;245.49
2026-09-08;15:07:00;KCI;KCI;7;0.8920;-0.0220;-2.41;268;239.28
2026-09-08;15:10:00;KCI;KCI;8;0.9160;0.0000;0.00;111;101.68
2026-09-08;15:52:00;KCI;KCI;9;0.8920;0.0000;0.00;12;10.70
2026-09-08;16:34:00;KCI;KCI;10;0.9160;0.0000;0.00;111;101.68
