Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:00:00;KERNEL;KER (KERNEL);1;19.2400;0.0000;0.00;160;3078.40
2026-07-17;09:08:00;KERNEL;KER (KERNEL);2;19.1200;0.0000;0.00;40;764.80
2026-07-17;10:27:00;KERNEL;KER (KERNEL);3;19.1200;-0.0200;-0.10;55;1051.64
2026-07-17;10:56:00;KERNEL;KER (KERNEL);4;19.2400;0.0000;0.00;1;19.24
2026-07-17;12:21:00;KERNEL;KER (KERNEL);5;19.1600;0.0000;0.00;1;19.16
2026-07-17;12:52:00;KERNEL;KER (KERNEL);6;19.1600;0.0000;0.00;41;785.56
2026-07-17;13:06:00;KERNEL;KER (KERNEL);7;19.2400;0.0400;0.21;61;1171.24
2026-07-17;13:57:00;KERNEL;KER (KERNEL);8;19.1600;0.0000;0.00;11;210.76
2026-07-17;15:01:00;KERNEL;KER (KERNEL);9;19.1200;-0.0400;-0.21;1812;34659.44
2026-07-17;15:22:00;KERNEL;KER (KERNEL);10;19.1200;0.0000;0.00;125;2390.00
2026-07-17;15:24:00;KERNEL;KER (KERNEL);11;19.1000;-0.0200;-0.10;899;17185.12
2026-07-17;15:27:00;KERNEL;KER (KERNEL);12;19.1600;0.0000;0.00;10;191.60
2026-07-17;16:15:00;KERNEL;KER (KERNEL);13;19.5000;0.3400;1.77;2000;38747.18
2026-07-17;16:20:00;KERNEL;KER (KERNEL);14;19.4800;0.0000;0.00;2;38.96
2026-07-17;16:49:00;KERNEL;KER (KERNEL);15;19.2400;0.0000;0.00;6;115.44
2026-07-17;17:00:00;KERNEL;KER (KERNEL);16;19.4000;0.0000;0.00;10;194.00
