Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-09;09:00:00;KETY;KTY (KETY);1;1263.0000;6.0000;0.48;170;214163.00
2026-09-09;09:01:00;KETY;KTY (KETY);2;1265.0000;1.0000;0.08;3;3793.00
2026-09-09;09:02:00;KETY;KTY (KETY);3;1265.0000;2.0000;0.16;5;6317.00
2026-09-09;09:03:00;KETY;KTY (KETY);4;1257.0000;-6.0000;-0.48;100;125998.00
2026-09-09;09:04:00;KETY;KTY (KETY);5;1254.0000;-3.0000;-0.24;24;30165.00
2026-09-09;09:05:00;KETY;KTY (KETY);6;1258.0000;2.0000;0.16;47;59063.00
2026-09-09;09:06:00;KETY;KTY (KETY);7;1255.0000;-1.0000;-0.08;49;61519.00
2026-09-09;09:07:00;KETY;KTY (KETY);8;1255.0000;0.0000;0.00;33;41415.00
2026-09-09;09:08:00;KETY;KTY (KETY);9;1258.0000;2.0000;0.16;5;6282.00
2026-09-09;09:09:00;KETY;KTY (KETY);10;1258.0000;0.0000;0.00;109;137260.00
2026-09-09;09:10:00;KETY;KTY (KETY);11;1260.0000;0.0000;0.00;12;15120.00
2026-09-09;09:11:00;KETY;KTY (KETY);12;1260.0000;1.0000;0.08;120;151220.00
2026-09-09;09:13:00;KETY;KTY (KETY);13;1261.0000;2.0000;0.16;27;34022.00
2026-09-09;09:14:00;KETY;KTY (KETY);14;1258.0000;0.0000;0.00;1;1258.00
2026-09-09;09:15:00;KETY;KTY (KETY);15;1258.0000;0.0000;0.00;50;62900.00
2026-09-09;09:18:00;KETY;KTY (KETY);16;1259.0000;1.0000;0.08;4;5033.00
2026-09-09;09:19:00;KETY;KTY (KETY);17;1261.0000;3.0000;0.24;53;66815.00
2026-09-09;09:20:00;KETY;KTY (KETY);18;1261.0000;-1.0000;-0.08;81;102228.00
2026-09-09;09:22:00;KETY;KTY (KETY);19;1263.0000;0.0000;0.00;2;2526.00
2026-09-09;09:26:00;KETY;KTY (KETY);20;1262.0000;1.0000;0.08;28;35319.00
2026-09-09;09:28:00;KETY;KTY (KETY);21;1261.0000;-1.0000;-0.08;83;104664.00
2026-09-09;09:29:00;KETY;KTY (KETY);22;1261.0000;1.0000;0.08;2;2521.00
2026-09-09;09:30:00;KETY;KTY (KETY);23;1261.0000;1.0000;0.08;12;15121.00
