Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-21;09:00:00;KGHM;KGH (KGHM);1;303.7500;1.1000;0.36;15514;4701562.78
2026-07-21;09:01:00;KGHM;KGH (KGHM);2;303.9500;0.2000;0.07;4377;1330352.10
2026-07-21;09:02:00;KGHM;KGH (KGHM);3;304.2000;0.2500;0.08;4061;1235127.70
2026-07-21;09:03:00;KGHM;KGH (KGHM);4;303.8000;-0.3000;-0.10;752;228503.85
2026-07-21;09:04:00;KGHM;KGH (KGHM);5;303.7500;-0.0500;-0.02;672;204136.20
2026-07-21;09:05:00;KGHM;KGH (KGHM);6;303.0000;-0.5500;-0.18;2559;776009.20
2026-07-21;09:06:00;KGHM;KGH (KGHM);7;303.1000;0.1000;0.03;4231;1282303.50
2026-07-21;09:07:00;KGHM;KGH (KGHM);8;303.4500;0.0000;0.00;1415;429455.50
2026-07-21;09:08:00;KGHM;KGH (KGHM);9;303.7000;0.2000;0.07;474;143915.70
2026-07-21;09:09:00;KGHM;KGH (KGHM);10;303.6000;0.0500;0.02;2367;719223.35
2026-07-21;09:10:00;KGHM;KGH (KGHM);11;303.6000;-0.2000;-0.07;2235;677905.05
2026-07-21;09:11:00;KGHM;KGH (KGHM);12;303.6000;0.2000;0.07;195;59175.80
2026-07-21;09:12:00;KGHM;KGH (KGHM);13;303.5000;0.0000;0.00;254;77068.15
2026-07-21;09:13:00;KGHM;KGH (KGHM);14;303.3500;-0.1000;-0.03;1240;376475.75
2026-07-21;09:14:00;KGHM;KGH (KGHM);15;304.0000;0.5000;0.16;2153;654160.00
2026-07-21;09:15:00;KGHM;KGH (KGHM);16;304.8500;0.8500;0.28;5610;1707780.10
2026-07-21;09:16:00;KGHM;KGH (KGHM);17;305.2500;0.4500;0.15;2493;760458.60
2026-07-21;09:17:00;KGHM;KGH (KGHM);18;304.5500;-0.7000;-0.23;6164;1879735.70
2026-07-21;09:18:00;KGHM;KGH (KGHM);19;305.2500;0.7000;0.23;2644;806985.10
2026-07-21;09:19:00;KGHM;KGH (KGHM);20;305.6000;0.4000;0.13;870;265598.90
2026-07-21;09:20:00;KGHM;KGH (KGHM);21;305.8000;0.3500;0.11;3327;1017281.75
2026-07-21;09:21:00;KGHM;KGH (KGHM);22;306.0000;0.2500;0.08;7533;2305504.00
2026-07-21;09:22:00;KGHM;KGH (KGHM);23;306.5500;0.5500;0.18;5478;1679751.10
2026-07-21;09:23:00;KGHM;KGH (KGHM);24;307.0000;0.4500;0.15;3388;1039665.05
2026-07-21;09:24:00;KGHM;KGH (KGHM);25;306.7500;-0.0500;-0.02;2566;787466.15
2026-07-21;09:25:00;KGHM;KGH (KGHM);26;307.0000;0.2000;0.07;2301;706376.30
2026-07-21;09:26:00;KGHM;KGH (KGHM);27;306.7500;-0.2000;-0.07;3708;1137336.30
2026-07-21;09:27:00;KGHM;KGH (KGHM);28;306.9500;0.2000;0.07;1726;529642.70
2026-07-21;09:28:00;KGHM;KGH (KGHM);29;306.2500;-0.5500;-0.18;7862;2407165.75
2026-07-21;09:29:00;KGHM;KGH (KGHM);30;305.7000;-0.5500;-0.18;708;216711.95
2026-07-21;09:30:00;KGHM;KGH (KGHM);31;305.0000;-0.4500;-0.15;569;173637.40
2026-07-21;09:31:00;KGHM;KGH (KGHM);32;304.8000;-0.2000;-0.07;207;63118.70
2026-07-21;09:32:00;KGHM;KGH (KGHM);33;305.2500;0.7500;0.25;1389;424011.65
2026-07-21;09:33:00;KGHM;KGH (KGHM);34;306.2000;0.6500;0.21;245;74958.35
2026-07-21;09:34:00;KGHM;KGH (KGHM);35;306.4000;0.1500;0.05;828;253626.75
2026-07-21;09:35:00;KGHM;KGH (KGHM);36;306.7000;0.3000;0.10;3450;1057425.35
2026-07-21;09:36:00;KGHM;KGH (KGHM);37;306.5000;-0.2000;-0.07;1940;595059.45
2026-07-21;09:37:00;KGHM;KGH (KGHM);38;306.7500;0.3000;0.10;304;93205.95
2026-07-21;09:38:00;KGHM;KGH (KGHM);39;306.2500;-0.4000;-0.13;2660;814559.05
2026-07-21;09:39:00;KGHM;KGH (KGHM);40;306.3000;0.0000;0.00;257;78723.85
2026-07-21;09:40:00;KGHM;KGH (KGHM);41;306.5000;0.1000;0.03;503;154110.15
2026-07-21;09:41:00;KGHM;KGH (KGHM);42;306.0000;-0.4000;-0.13;2894;886745.05
2026-07-21;09:42:00;KGHM;KGH (KGHM);43;305.9000;-0.1000;-0.03;848;259444.50
2026-07-21;09:43:00;KGHM;KGH (KGHM);44;305.4500;-0.4500;-0.15;1142;349064.60
2026-07-21;09:44:00;KGHM;KGH (KGHM);45;305.7500;0.3500;0.11;1076;328799.75
2026-07-21;09:45:00;KGHM;KGH (KGHM);46;305.6500;0.0000;0.00;699;213640.40
2026-07-21;09:46:00;KGHM;KGH (KGHM);47;305.4500;-0.1500;-0.05;1532;468007.10
2026-07-21;09:47:00;KGHM;KGH (KGHM);48;305.4500;-0.1500;-0.05;510;155846.15
2026-07-21;09:48:00;KGHM;KGH (KGHM);49;305.5500;0.1500;0.05;281;85884.20
2026-07-21;09:49:00;KGHM;KGH (KGHM);50;306.0000;0.2500;0.08;207;63295.25
2026-07-21;09:50:00;KGHM;KGH (KGHM);51;305.8000;-0.1000;-0.03;554;169388.45
2026-07-21;09:51:00;KGHM;KGH (KGHM);52;305.6500;-0.0500;-0.02;1501;458676.00
2026-07-21;09:52:00;KGHM;KGH (KGHM);53;305.8500;0.2000;0.07;519;158594.90
2026-07-21;09:53:00;KGHM;KGH (KGHM);54;306.0000;0.0000;0.00;302;92358.80
2026-07-21;09:54:00;KGHM;KGH (KGHM);55;306.2000;0.2000;0.07;228;69781.90
2026-07-21;09:55:00;KGHM;KGH (KGHM);56;306.3000;0.0000;0.00;758;232177.20
