Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-24;09:00:00;KINO-POLSKA-TV;KPL (KINOPOL);1;18.4000;0.0000;0.00;125;2300.00
2026-09-24;09:22:00;KINO-POLSKA-TV;KPL (KINOPOL);2;18.2500;-0.0500;-0.27;353;6446.00
2026-09-24;09:23:00;KINO-POLSKA-TV;KPL (KINOPOL);3;18.2500;0.0000;0.00;216;3942.00
2026-09-24;09:30:00;KINO-POLSKA-TV;KPL (KINOPOL);4;18.2500;0.0000;0.00;53;967.25
2026-09-24;09:49:00;KINO-POLSKA-TV;KPL (KINOPOL);5;18.2500;0.0000;0.00;300;5475.00
2026-09-24;09:51:00;KINO-POLSKA-TV;KPL (KINOPOL);6;18.3500;0.0000;0.00;300;5505.00
2026-09-24;10:07:00;KINO-POLSKA-TV;KPL (KINOPOL);7;18.3000;0.0000;0.00;200;3660.00
2026-09-24;10:54:00;KINO-POLSKA-TV;KPL (KINOPOL);8;18.3000;0.0000;0.00;500;9150.00
2026-09-24;10:59:00;KINO-POLSKA-TV;KPL (KINOPOL);9;18.3000;0.0000;0.00;2;36.60
2026-09-24;11:04:00;KINO-POLSKA-TV;KPL (KINOPOL);10;18.2500;0.0000;0.00;600;10950.00
2026-09-24;11:28:00;KINO-POLSKA-TV;KPL (KINOPOL);11;18.4000;0.1000;0.55;500;9150.20
2026-09-24;12:06:00;KINO-POLSKA-TV;KPL (KINOPOL);12;18.3000;0.0000;0.00;351;6423.30
2026-09-24;12:09:00;KINO-POLSKA-TV;KPL (KINOPOL);13;18.3000;0.0000;0.00;649;11876.70
2026-09-24;12:16:00;KINO-POLSKA-TV;KPL (KINOPOL);14;18.2500;0.0000;0.00;4;73.00
2026-09-24;12:28:00;KINO-POLSKA-TV;KPL (KINOPOL);15;18.3000;0.0000;0.00;500;9150.00
2026-09-24;13:02:00;KINO-POLSKA-TV;KPL (KINOPOL);16;18.2500;0.0000;0.00;425;7756.25
2026-09-24;13:10:00;KINO-POLSKA-TV;KPL (KINOPOL);17;18.2500;0.0000;0.00;1255;22903.75
2026-09-24;13:12:00;KINO-POLSKA-TV;KPL (KINOPOL);18;18.2500;0.0500;0.27;401;7308.25
2026-09-24;13:54:00;KINO-POLSKA-TV;KPL (KINOPOL);19;18.3000;0.0000;0.00;500;9150.00
2026-09-24;13:57:00;KINO-POLSKA-TV;KPL (KINOPOL);20;18.3000;0.0000;0.00;75;1372.50
2026-09-24;13:59:00;KINO-POLSKA-TV;KPL (KINOPOL);21;18.4000;0.1000;0.55;135;2472.50
2026-09-24;14:05:00;KINO-POLSKA-TV;KPL (KINOPOL);22;18.2000;0.0000;0.00;127;2311.40
2026-09-24;14:51:00;KINO-POLSKA-TV;KPL (KINOPOL);23;18.2500;0.0000;0.00;18;328.50
2026-09-24;15:01:00;KINO-POLSKA-TV;KPL (KINOPOL);24;18.2500;-0.0500;-0.27;552;10077.50
2026-09-24;15:05:00;KINO-POLSKA-TV;KPL (KINOPOL);25;18.2000;0.0000;0.00;329;5987.80
2026-09-24;15:37:00;KINO-POLSKA-TV;KPL (KINOPOL);26;18.2000;0.0000;0.00;37;673.40
2026-09-24;16:20:00;KINO-POLSKA-TV;KPL (KINOPOL);27;18.2500;-0.1500;-0.82;113;2078.90
2026-09-24;16:21:00;KINO-POLSKA-TV;KPL (KINOPOL);28;18.2500;0.0000;0.00;4;73.00
2026-09-24;16:33:00;KINO-POLSKA-TV;KPL (KINOPOL);29;18.4000;0.0000;0.00;3;55.20
2026-09-24;17:00:00;KINO-POLSKA-TV;KPL (KINOPOL);30;18.4000;0.0000;0.00;2;36.80
