Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-22;09:00:00;KOGENERACJA;KGN (KOGENERA);1;71.5000;-0.1000;-0.14;54;3863.10
2026-09-22;09:04:00;KOGENERACJA;KGN (KOGENERA);2;71.6000;0.0000;0.00;30;2148.00
2026-09-22;09:05:00;KOGENERACJA;KGN (KOGENERA);3;71.6000;0.0000;0.00;20;1432.00
2026-09-22;09:27:00;KOGENERACJA;KGN (KOGENERA);4;71.2000;0.0000;0.00;6;427.20
2026-09-22;09:34:00;KOGENERACJA;KGN (KOGENERA);5;71.2000;0.0000;0.00;73;5197.60
2026-09-22;09:50:00;KOGENERACJA;KGN (KOGENERA);6;71.0000;0.0000;0.00;20;1420.00
2026-09-22;09:55:00;KOGENERACJA;KGN (KOGENERA);7;71.0000;0.0000;0.00;43;3053.00
2026-09-22;10:03:00;KOGENERACJA;KGN (KOGENERA);8;70.6000;-0.4000;-0.56;473;33538.80
2026-09-22;10:10:00;KOGENERACJA;KGN (KOGENERA);9;70.3000;-0.2000;-0.28;74;5202.80
2026-09-22;10:11:00;KOGENERACJA;KGN (KOGENERA);10;70.2000;0.0000;0.00;163;11430.40
2026-09-22;10:14:00;KOGENERACJA;KGN (KOGENERA);11;70.1000;0.0000;0.00;135;9463.50
2026-09-22;10:16:00;KOGENERACJA;KGN (KOGENERA);12;70.0000;0.0000;0.00;1;70.00
2026-09-22;10:24:00;KOGENERACJA;KGN (KOGENERA);13;70.9000;0.0000;0.00;9;638.10
2026-09-22;10:31:00;KOGENERACJA;KGN (KOGENERA);14;70.9000;0.0000;0.00;7;496.30
2026-09-22;10:56:00;KOGENERACJA;KGN (KOGENERA);15;70.0000;0.0000;0.00;30;2100.00
2026-09-22;11:12:00;KOGENERACJA;KGN (KOGENERA);16;70.1000;0.0000;0.00;199;13949.90
2026-09-22;11:21:00;KOGENERACJA;KGN (KOGENERA);17;70.1000;0.0000;0.00;10;701.00
2026-09-22;11:39:00;KOGENERACJA;KGN (KOGENERA);18;70.1000;0.0000;0.00;50;3505.00
2026-09-22;11:56:00;KOGENERACJA;KGN (KOGENERA);19;70.0000;0.0000;0.00;14;980.00
2026-09-22;12:21:00;KOGENERACJA;KGN (KOGENERA);20;70.0000;0.0000;0.00;10;700.00
