Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;09:49:00;KOMPUTRONIK;KOM (KOMPUTRON);1;5.9400;0.0000;0.00;1;5.94
2026-07-23;11:37:00;KOMPUTRONIK;KOM (KOMPUTRON);2;5.8900;0.0000;0.00;2;11.78
2026-07-23;11:50:00;KOMPUTRONIK;KOM (KOMPUTRON);3;5.8500;-0.0300;-0.51;203;1188.40
2026-07-23;12:40:00;KOMPUTRONIK;KOM (KOMPUTRON);4;5.8900;0.0000;0.00;2;11.78
2026-07-23;12:47:00;KOMPUTRONIK;KOM (KOMPUTRON);5;5.8900;0.0000;0.00;56;329.84
2026-07-23;12:55:00;KOMPUTRONIK;KOM (KOMPUTRON);6;5.9000;0.0000;0.00;1;5.90
2026-07-23;12:56:00;KOMPUTRONIK;KOM (KOMPUTRON);7;5.9000;0.0000;0.00;10;59.00
2026-07-23;13:36:00;KOMPUTRONIK;KOM (KOMPUTRON);8;5.9000;0.0000;0.00;33;194.70
2026-07-23;15:31:00;KOMPUTRONIK;KOM (KOMPUTRON);9;5.9200;0.0100;0.17;8;47.33
2026-07-23;15:41:00;KOMPUTRONIK;KOM (KOMPUTRON);10;5.8600;0.0000;0.00;250;1465.00
2026-07-23;16:09:00;KOMPUTRONIK;KOM (KOMPUTRON);11;5.9000;0.0000;0.00;3;17.70
2026-07-23;16:33:00;KOMPUTRONIK;KOM (KOMPUTRON);12;5.8000;-0.0600;-1.02;351;2052.31
2026-07-23;16:34:00;KOMPUTRONIK;KOM (KOMPUTRON);13;5.7600;-0.0200;-0.35;649;3738.35
2026-07-23;17:00:00;KOMPUTRONIK;KOM (KOMPUTRON);14;5.9000;0.0000;0.00;4;23.60
