Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:00:00;KPD;KPD (KPPD);1;22.0000;0.0000;0.00;158;3476.00
2026-09-11;09:02:00;KPD;KPD (KPPD);2;21.0000;0.0000;0.00;100;2100.00
2026-09-11;09:03:00;KPD;KPD (KPPD);3;20.6000;-0.4000;-1.90;370;7726.00
2026-09-11;09:05:00;KPD;KPD (KPPD);4;19.8000;0.0000;0.00;17;336.60
2026-09-11;09:10:00;KPD;KPD (KPPD);5;19.8000;0.0000;0.00;8;158.40
2026-09-11;09:30:00;KPD;KPD (KPPD);6;19.8000;0.0000;0.00;3;59.40
2026-09-11;10:16:00;KPD;KPD (KPPD);7;20.8000;0.0000;0.00;365;7592.00
2026-09-11;10:52:00;KPD;KPD (KPPD);8;20.8000;0.0000;0.00;20;416.00
2026-09-11;10:59:00;KPD;KPD (KPPD);9;22.2000;0.0000;0.00;2;44.40
2026-09-11;11:07:00;KPD;KPD (KPPD);10;21.4000;0.0000;0.00;110;2354.00
2026-09-11;11:37:00;KPD;KPD (KPPD);11;20.4000;0.0000;0.00;110;2244.00
2026-09-11;11:46:00;KPD;KPD (KPPD);12;21.4000;0.0000;0.00;10;214.00
2026-09-11;13:19:00;KPD;KPD (KPPD);13;21.4000;0.0000;0.00;7;149.80
