Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-16;09:00:00;KRAKCHEMIA;KCH (KRAKCHEM);1;0.6000;0.0140;2.39;154927;91876.36
2026-07-16;09:01:00;KRAKCHEMIA;KCH (KRAKCHEM);2;0.6080;0.0080;1.33;58767;35739.57
2026-07-16;09:02:00;KRAKCHEMIA;KCH (KRAKCHEM);3;0.6200;0.0000;0.00;38088;23404.56
2026-07-16;09:03:00;KRAKCHEMIA;KCH (KRAKCHEM);4;0.6200;0.0080;1.31;8446;5219.35
2026-07-16;09:04:00;KRAKCHEMIA;KCH (KRAKCHEM);5;0.6200;0.0000;0.00;54979;33408.44
2026-07-16;09:05:00;KRAKCHEMIA;KCH (KRAKCHEM);6;0.6000;-0.0200;-3.23;74936;45275.39
2026-07-16;09:06:00;KRAKCHEMIA;KCH (KRAKCHEM);7;0.6080;0.0080;1.33;6012;3653.82
2026-07-16;09:07:00;KRAKCHEMIA;KCH (KRAKCHEM);8;0.5800;-0.0160;-2.68;48452;28537.68
2026-07-16;09:08:00;KRAKCHEMIA;KCH (KRAKCHEM);9;0.5700;-0.0200;-3.39;25594;14878.43
2026-07-16;09:09:00;KRAKCHEMIA;KCH (KRAKCHEM);10;0.5720;-0.0060;-1.04;39616;22727.55
2026-07-16;09:10:00;KRAKCHEMIA;KCH (KRAKCHEM);11;0.5900;0.0180;3.15;62021;36151.17
2026-07-16;09:11:00;KRAKCHEMIA;KCH (KRAKCHEM);12;0.6080;0.0160;2.70;54911;33180.68
2026-07-16;09:12:00;KRAKCHEMIA;KCH (KRAKCHEM);13;0.6120;0.0040;0.66;70604;42608.76
2026-07-16;09:13:00;KRAKCHEMIA;KCH (KRAKCHEM);14;0.6020;-0.0080;-1.31;15020;9122.06
2026-07-16;09:14:00;KRAKCHEMIA;KCH (KRAKCHEM);15;0.6020;0.0080;1.35;5012;3022.33
2026-07-16;09:15:00;KRAKCHEMIA;KCH (KRAKCHEM);16;0.5960;0.0000;0.00;5000;2980.00
2026-07-16;09:16:00;KRAKCHEMIA;KCH (KRAKCHEM);17;0.6000;-0.0060;-0.99;1882;1134.85
2026-07-16;09:17:00;KRAKCHEMIA;KCH (KRAKCHEM);18;0.6060;0.0000;0.00;4050;2454.31
2026-07-16;09:18:00;KRAKCHEMIA;KCH (KRAKCHEM);19;0.6060;0.0000;0.00;5914;3583.88
2026-07-16;09:19:00;KRAKCHEMIA;KCH (KRAKCHEM);20;0.6040;0.0000;0.00;1500;906.00
2026-07-16;09:20:00;KRAKCHEMIA;KCH (KRAKCHEM);21;0.6000;-0.0040;-0.66;20450;12062.70
2026-07-16;09:21:00;KRAKCHEMIA;KCH (KRAKCHEM);22;0.5900;0.0040;0.68;41555;24175.95
2026-07-16;09:22:00;KRAKCHEMIA;KCH (KRAKCHEM);23;0.5860;0.0080;1.38;26169;15100.80
2026-07-16;09:24:00;KRAKCHEMIA;KCH (KRAKCHEM);24;0.5860;0.0000;0.00;3500;2051.00
2026-07-16;09:25:00;KRAKCHEMIA;KCH (KRAKCHEM);25;0.5700;-0.0160;-2.73;35121;20097.65
2026-07-16;09:26:00;KRAKCHEMIA;KCH (KRAKCHEM);26;0.5700;-0.0080;-1.38;10050;5823.13
2026-07-16;09:27:00;KRAKCHEMIA;KCH (KRAKCHEM);27;0.5880;0.0040;0.68;13265;7775.86
2026-07-16;09:28:00;KRAKCHEMIA;KCH (KRAKCHEM);28;0.5820;0.0000;0.00;2000;1164.00
2026-07-16;09:29:00;KRAKCHEMIA;KCH (KRAKCHEM);29;0.5900;0.0000;0.00;3000;1770.00
2026-07-16;09:30:00;KRAKCHEMIA;KCH (KRAKCHEM);30;0.5900;0.0040;0.68;9492;5587.85
2026-07-16;09:31:00;KRAKCHEMIA;KCH (KRAKCHEM);31;0.5960;0.0000;0.00;4196;2500.82
2026-07-16;09:32:00;KRAKCHEMIA;KCH (KRAKCHEM);32;0.5900;0.0000;0.00;1508;889.72
2026-07-16;09:33:00;KRAKCHEMIA;KCH (KRAKCHEM);33;0.5900;0.0140;2.43;42;24.75
2026-07-16;09:34:00;KRAKCHEMIA;KCH (KRAKCHEM);34;0.5960;0.0060;1.02;1525;905.16
2026-07-16;09:35:00;KRAKCHEMIA;KCH (KRAKCHEM);35;0.6000;0.0040;0.67;24000;14400.07
2026-07-16;09:36:00;KRAKCHEMIA;KCH (KRAKCHEM);36;0.5860;-0.0140;-2.33;2000;1186.00
2026-07-16;09:37:00;KRAKCHEMIA;KCH (KRAKCHEM);37;0.6000;0.0000;0.00;1000;600.00
2026-07-16;09:38:00;KRAKCHEMIA;KCH (KRAKCHEM);38;0.5980;0.0000;0.00;11;6.58
2026-07-16;09:39:00;KRAKCHEMIA;KCH (KRAKCHEM);39;0.5980;0.0000;0.00;192;114.82
2026-07-16;09:44:00;KRAKCHEMIA;KCH (KRAKCHEM);40;0.5980;0.0000;0.00;1672;999.86
2026-07-16;09:46:00;KRAKCHEMIA;KCH (KRAKCHEM);41;0.5900;-0.0060;-1.01;4570;2712.92
2026-07-16;09:47:00;KRAKCHEMIA;KCH (KRAKCHEM);42;0.5860;-0.0020;-0.34;4930;2893.58
2026-07-16;09:49:00;KRAKCHEMIA;KCH (KRAKCHEM);43;0.5860;0.0000;0.00;1000;586.00
2026-07-16;09:50:00;KRAKCHEMIA;KCH (KRAKCHEM);44;0.5940;0.0020;0.34;1400;829.14
2026-07-16;09:59:00;KRAKCHEMIA;KCH (KRAKCHEM);45;0.5940;0.0000;0.00;13;7.72
