Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:00:00;KRKA;KRK (KRKA);1;1170.0000;0.0000;0.00;1;1170.00
2026-07-17;09:36:00;KRKA;KRK (KRKA);2;1178.0000;8.0000;0.68;22;25882.00
2026-07-17;10:14:00;KRKA;KRK (KRKA);3;1180.0000;0.0000;0.00;100;118000.00
2026-07-17;10:15:00;KRKA;KRK (KRKA);4;1180.0000;0.0000;0.00;4;4720.00
2026-07-17;11:46:00;KRKA;KRK (KRKA);5;1176.0000;0.0000;0.00;10;11760.00
2026-07-17;12:37:00;KRKA;KRK (KRKA);6;1178.0000;0.0000;0.00;1;1178.00
2026-07-17;12:57:00;KRKA;KRK (KRKA);7;1178.0000;0.0000;0.00;1;1178.00
2026-07-17;12:59:00;KRKA;KRK (KRKA);8;1178.0000;0.0000;0.00;7;8246.00
2026-07-17;13:00:00;KRKA;KRK (KRKA);9;1176.0000;0.0000;0.00;3;3528.00
2026-07-17;15:05:00;KRKA;KRK (KRKA);10;1170.0000;0.0000;0.00;1;1170.00
2026-07-17;15:06:00;KRKA;KRK (KRKA);11;1170.0000;0.0000;0.00;9;10530.00
2026-07-17;15:12:00;KRKA;KRK (KRKA);12;1174.0000;0.0000;0.00;10;11740.00
2026-07-17;15:34:00;KRKA;KRK (KRKA);13;1168.0000;0.0000;0.00;3;3504.00
2026-07-17;15:48:00;KRKA;KRK (KRKA);14;1174.0000;0.0000;0.00;1;1174.00
2026-07-17;16:43:00;KRKA;KRK (KRKA);15;1178.0000;0.0000;0.00;2;2356.00
