Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:00:00;KRUK;KRU (KRUK);1;417.0000;-3.0000;-0.71;297;124559.40
2026-07-17;09:01:00;KRUK;KRU (KRUK);2;416.7000;-0.2000;-0.05;242;100796.80
2026-07-17;09:02:00;KRUK;KRU (KRUK);3;416.4000;0.1000;0.02;48;19989.90
2026-07-17;09:03:00;KRUK;KRU (KRUK);4;416.4000;0.0000;0.00;2;832.80
2026-07-17;09:04:00;KRUK;KRU (KRUK);5;417.5000;0.5000;0.12;128;53388.90
2026-07-17;09:05:00;KRUK;KRU (KRUK);6;417.0000;-0.1000;-0.02;71;29603.90
2026-07-17;09:06:00;KRUK;KRU (KRUK);7;416.3000;-0.2000;-0.05;29;12070.10
2026-07-17;09:07:00;KRUK;KRU (KRUK);8;416.3000;-0.3000;-0.07;11;4584.10
2026-07-17;09:08:00;KRUK;KRU (KRUK);9;415.0000;-0.9000;-0.22;101;41964.00
2026-07-17;09:09:00;KRUK;KRU (KRUK);10;415.2000;0.1000;0.02;113;46909.60
2026-07-17;09:10:00;KRUK;KRU (KRUK);11;415.2000;0.0000;0.00;83;34459.20
2026-07-17;09:11:00;KRUK;KRU (KRUK);12;415.2000;-0.1000;-0.02;49;20346.20
2026-07-17;09:12:00;KRUK;KRU (KRUK);13;415.7000;0.5000;0.12;56;23260.70
2026-07-17;09:13:00;KRUK;KRU (KRUK);14;415.9000;0.0000;0.00;24;9980.60
2026-07-17;09:14:00;KRUK;KRU (KRUK);15;416.2000;-0.4000;-0.10;3;1249.00
2026-07-17;09:15:00;KRUK;KRU (KRUK);16;417.2000;1.1000;0.26;128;53343.70
2026-07-17;09:16:00;KRUK;KRU (KRUK);17;416.8000;0.2000;0.05;26;10832.80
2026-07-17;09:17:00;KRUK;KRU (KRUK);18;416.5000;0.0000;0.00;38;15827.00
2026-07-17;09:18:00;KRUK;KRU (KRUK);19;415.8000;-0.7000;-0.17;211;87806.20
2026-07-17;09:19:00;KRUK;KRU (KRUK);20;416.5000;0.3000;0.07;25;10405.60
2026-07-17;09:20:00;KRUK;KRU (KRUK);21;415.9000;-0.7000;-0.17;68;28305.00
2026-07-17;09:21:00;KRUK;KRU (KRUK);22;415.7000;-0.3000;-0.07;26;10812.50
2026-07-17;09:22:00;KRUK;KRU (KRUK);23;415.2000;-0.4000;-0.10;33;13712.50
2026-07-17;09:23:00;KRUK;KRU (KRUK);24;415.7000;0.1000;0.02;28;11637.30
2026-07-17;09:24:00;KRUK;KRU (KRUK);25;415.5000;-0.2000;-0.05;50;20772.10
2026-07-17;09:25:00;KRUK;KRU (KRUK);26;415.2000;-0.2000;-0.05;64;26581.90
2026-07-17;09:26:00;KRUK;KRU (KRUK);27;415.7000;0.4000;0.10;21;8728.90
2026-07-17;09:27:00;KRUK;KRU (KRUK);28;416.1000;0.4000;0.10;19;7903.30
2026-07-17;09:29:00;KRUK;KRU (KRUK);29;415.8000;0.1000;0.02;9;3742.00
2026-07-17;09:30:00;KRUK;KRU (KRUK);30;415.9000;-0.1000;-0.02;73;30363.40
2026-07-17;09:31:00;KRUK;KRU (KRUK);31;415.7000;0.0000;0.00;17;7066.90
2026-07-17;09:32:00;KRUK;KRU (KRUK);32;415.9000;0.0000;0.00;1;415.90
2026-07-17;09:33:00;KRUK;KRU (KRUK);33;415.3000;-0.6000;-0.14;53;22019.50
2026-07-17;09:34:00;KRUK;KRU (KRUK);34;415.3000;0.0000;0.00;89;36948.20
2026-07-17;09:35:00;KRUK;KRU (KRUK);35;414.9000;-0.2000;-0.05;80;33199.80
2026-07-17;09:36:00;KRUK;KRU (KRUK);36;414.1000;-0.5000;-0.12;154;63797.00
2026-07-17;09:37:00;KRUK;KRU (KRUK);37;414.5000;-0.2000;-0.05;203;84171.40
2026-07-17;09:38:00;KRUK;KRU (KRUK);38;414.9000;0.4000;0.10;81;33581.70
2026-07-17;09:39:00;KRUK;KRU (KRUK);39;415.0000;0.2000;0.05;137;56796.80
2026-07-17;09:40:00;KRUK;KRU (KRUK);40;415.2000;0.0000;0.00;14;5812.80
2026-07-17;09:41:00;KRUK;KRU (KRUK);41;414.7000;-0.3000;-0.07;73;30296.50
2026-07-17;09:42:00;KRUK;KRU (KRUK);42;414.6000;-0.1000;-0.02;23;9536.50
2026-07-17;09:43:00;KRUK;KRU (KRUK);43;414.8000;0.0000;0.00;17;7051.60
2026-07-17;09:44:00;KRUK;KRU (KRUK);44;415.3000;0.2000;0.05;16;6644.00
2026-07-17;09:45:00;KRUK;KRU (KRUK);45;415.3000;-0.1000;-0.02;176;73115.00
2026-07-17;09:46:00;KRUK;KRU (KRUK);46;415.3000;0.3000;0.07;34;14110.80
2026-07-17;09:47:00;KRUK;KRU (KRUK);47;415.5000;-0.2000;-0.05;6;2493.60
2026-07-17;09:48:00;KRUK;KRU (KRUK);48;416.3000;0.6000;0.14;23;9568.20
2026-07-17;09:49:00;KRUK;KRU (KRUK);49;416.1000;0.0000;0.00;1;416.10
2026-07-17;09:50:00;KRUK;KRU (KRUK);50;415.6000;-0.5000;-0.12;48;19955.40
2026-07-17;09:51:00;KRUK;KRU (KRUK);51;415.3000;-0.2000;-0.05;11;4570.30
2026-07-17;09:52:00;KRUK;KRU (KRUK);52;415.2000;0.0000;0.00;9;3736.80
2026-07-17;09:53:00;KRUK;KRU (KRUK);53;415.4000;0.0000;0.00;35;14544.80
2026-07-17;09:55:00;KRUK;KRU (KRUK);54;415.7000;0.2000;0.05;91;37815.90
2026-07-17;09:56:00;KRUK;KRU (KRUK);55;415.4000;0.0000;0.00;2;830.80
2026-07-17;09:57:00;KRUK;KRU (KRUK);56;415.1000;-0.4000;-0.10;22;9141.90
2026-07-17;09:58:00;KRUK;KRU (KRUK);57;414.7000;-0.3000;-0.07;327;135610.70
2026-07-17;09:59:00;KRUK;KRU (KRUK);58;414.4000;-0.7000;-0.17;7;2902.30
2026-07-17;10:00:00;KRUK;KRU (KRUK);59;414.6000;0.1000;0.02;68;28191.70
2026-07-17;10:01:00;KRUK;KRU (KRUK);60;414.8000;0.1000;0.02;102;42325.70
2026-07-17;10:02:00;KRUK;KRU (KRUK);61;414.7000;0.0000;0.00;1;414.70
2026-07-17;10:03:00;KRUK;KRU (KRUK);62;414.7000;0.0000;0.00;30;12438.50
2026-07-17;10:04:00;KRUK;KRU (KRUK);63;414.6000;0.2000;0.05;5;2072.20
2026-07-17;10:05:00;KRUK;KRU (KRUK);64;414.4000;0.0000;0.00;3;1243.20
2026-07-17;10:06:00;KRUK;KRU (KRUK);65;414.2000;0.0000;0.00;18;7455.60
2026-07-17;10:07:00;KRUK;KRU (KRUK);66;413.7000;-0.3000;-0.07;114;47179.80
2026-07-17;10:08:00;KRUK;KRU (KRUK);67;413.8000;0.1000;0.02;5;2068.80
2026-07-17;10:09:00;KRUK;KRU (KRUK);68;413.8000;0.0000;0.00;11;4551.80
2026-07-17;10:10:00;KRUK;KRU (KRUK);69;413.5000;-0.1000;-0.02;14;5788.70
2026-07-17;10:11:00;KRUK;KRU (KRUK);70;413.2000;-0.2000;-0.05;59;24384.20
2026-07-17;10:12:00;KRUK;KRU (KRUK);71;412.9000;-0.3000;-0.07;45;18586.60
2026-07-17;10:14:00;KRUK;KRU (KRUK);72;413.3000;0.4000;0.10;61;25201.90
2026-07-17;10:15:00;KRUK;KRU (KRUK);73;413.0000;0.0000;0.00;1;413.00
2026-07-17;10:16:00;KRUK;KRU (KRUK);74;412.6000;-0.4000;-0.10;149;61504.90
2026-07-17;10:18:00;KRUK;KRU (KRUK);75;412.6000;0.0000;0.00;4;1650.40
2026-07-17;10:19:00;KRUK;KRU (KRUK);76;412.2000;-0.2000;-0.05;23;9481.20
