Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:00:00;KSG-AGRO;KSG (KSGAGRO);1;3.1450;0.0000;0.00;2;6.29
2026-09-04;09:06:00;KSG-AGRO;KSG (KSGAGRO);2;3.1450;0.0000;0.00;98;308.21
2026-09-04;09:07:00;KSG-AGRO;KSG (KSGAGRO);3;3.1450;0.0000;0.00;1502;4723.79
2026-09-04;09:49:00;KSG-AGRO;KSG (KSGAGRO);4;3.1450;0.0000;0.00;1;3.15
2026-09-04;10:44:00;KSG-AGRO;KSG (KSGAGRO);5;3.1450;0.0000;0.00;117;367.96
2026-09-04;11:01:00;KSG-AGRO;KSG (KSGAGRO);6;3.1450;0.0000;0.00;300;943.50
2026-09-04;11:07:00;KSG-AGRO;KSG (KSGAGRO);7;3.1450;0.0000;0.00;800;2516.00
2026-09-04;11:15:00;KSG-AGRO;KSG (KSGAGRO);8;3.3250;0.1800;5.72;1000;3276.26
2026-09-04;15:55:00;KSG-AGRO;KSG (KSGAGRO);9;3.3100;0.0000;0.00;485;1605.35
2026-09-04;16:33:00;KSG-AGRO;KSG (KSGAGRO);10;3.1800;0.0000;0.00;10;31.80
2026-09-04;16:42:00;KSG-AGRO;KSG (KSGAGRO);11;3.3100;0.0050;0.15;10;33.07
