Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-16;09:00:00;LENA-LIGHTING;LEN (LENA);1;2.0800;0.0000;0.00;24;49.92
2026-09-16;10:43:00;LENA-LIGHTING;LEN (LENA);2;2.0600;0.0000;0.00;75;154.50
2026-09-16;11:04:00;LENA-LIGHTING;LEN (LENA);3;2.0500;-0.0100;-0.49;1000;2055.91
2026-09-16;12:31:00;LENA-LIGHTING;LEN (LENA);4;2.0500;0.0000;0.00;3845;7882.25
2026-09-16;12:35:00;LENA-LIGHTING;LEN (LENA);5;2.0500;0.0000;0.00;500;1025.00
2026-09-16;12:37:00;LENA-LIGHTING;LEN (LENA);6;2.0500;0.0000;0.00;1200;2460.00
2026-09-16;15:23:00;LENA-LIGHTING;LEN (LENA);7;2.0500;0.0000;0.00;50;102.50
2026-09-16;15:33:00;LENA-LIGHTING;LEN (LENA);8;2.0500;0.0000;0.00;40;82.00
2026-09-16;15:52:00;LENA-LIGHTING;LEN (LENA);9;2.0500;0.0000;0.00;5;10.25
2026-09-16;16:14:00;LENA-LIGHTING;LEN (LENA);10;2.0500;0.0000;0.00;1000;2050.00
2026-09-16;16:29:00;LENA-LIGHTING;LEN (LENA);11;2.0500;0.0000;0.00;10;20.50
2026-09-16;16:45:00;LENA-LIGHTING;LEN (LENA);12;2.0700;0.0200;0.98;560;1155.30
