Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;LMU;LMU (LMCU);1;25.0000;-0.5700;-2.23;600;15332.27
2026-08-07;09:02:00;LMU;LMU (LMCU);2;25.5900;0.0000;0.00;15;383.93
2026-08-07;09:03:00;LMU;LMU (LMCU);3;25.5500;0.5500;2.20;135;3448.22
2026-08-07;09:08:00;LMU;LMU (LMCU);4;25.9000;0.3500;1.37;370;9497.74
2026-08-07;09:09:00;LMU;LMU (LMCU);5;25.9000;0.0000;0.00;50;1294.80
2026-08-07;09:14:00;LMU;LMU (LMCU);6;25.6600;0.0000;0.00;2;51.32
2026-08-07;09:15:00;LMU;LMU (LMCU);7;25.6600;0.0000;0.00;15;384.90
2026-08-07;09:16:00;LMU;LMU (LMCU);8;25.6600;0.0000;0.00;20;513.20
2026-08-07;09:19:00;LMU;LMU (LMCU);9;25.5200;0.0000;0.00;50;1276.00
2026-08-07;09:20:00;LMU;LMU (LMCU);10;25.0200;-0.0300;-0.12;308;7712.26
2026-08-07;09:22:00;LMU;LMU (LMCU);11;25.5000;0.0000;0.00;5;127.50
2026-08-07;09:24:00;LMU;LMU (LMCU);12;25.6600;0.1500;0.59;235;6008.85
2026-08-07;09:27:00;LMU;LMU (LMCU);13;25.5500;0.0500;0.20;16;408.19
2026-08-07;09:34:00;LMU;LMU (LMCU);14;25.0300;0.0000;0.00;4;100.14
2026-08-07;09:36:00;LMU;LMU (LMCU);15;25.5500;0.0000;0.00;11;281.00
2026-08-07;09:38:00;LMU;LMU (LMCU);16;25.5500;0.0000;0.00;20;510.91
2026-08-07;09:39:00;LMU;LMU (LMCU);17;25.5500;0.0000;0.00;6;153.27
2026-08-07;09:49:00;LMU;LMU (LMCU);18;25.5500;0.0000;0.00;8;204.40
2026-08-07;09:54:00;LMU;LMU (LMCU);19;25.5500;0.0000;0.00;20;511.00
2026-08-07;09:56:00;LMU;LMU (LMCU);20;25.5500;0.0000;0.00;75;1916.25
2026-08-07;10:01:00;LMU;LMU (LMCU);21;25.5500;0.0000;0.00;47;1200.85
2026-08-07;10:02:00;LMU;LMU (LMCU);22;25.5500;0.0000;0.00;2;51.10
2026-08-07;10:03:00;LMU;LMU (LMCU);23;25.5500;0.0000;0.00;1;25.55
2026-08-07;10:05:00;LMU;LMU (LMCU);24;25.6200;0.0000;0.00;2;51.24
2026-08-07;10:06:00;LMU;LMU (LMCU);25;25.5500;0.0000;0.00;58;1481.90
2026-08-07;10:07:00;LMU;LMU (LMCU);26;25.6200;0.0700;0.27;210;5378.38
2026-08-07;10:15:00;LMU;LMU (LMCU);27;25.5600;0.0000;0.00;545;13930.20
2026-08-07;10:17:00;LMU;LMU (LMCU);28;25.5600;0.0000;0.00;2;51.12
2026-08-07;10:18:00;LMU;LMU (LMCU);29;25.5600;0.0000;0.00;20;511.20
2026-08-07;10:19:00;LMU;LMU (LMCU);30;25.5600;0.0000;0.00;19;485.64
2026-08-07;10:23:00;LMU;LMU (LMCU);31;25.5600;0.0000;0.00;18;460.08
2026-08-07;10:29:00;LMU;LMU (LMCU);32;25.5600;0.0000;0.00;6;153.36
2026-08-07;10:31:00;LMU;LMU (LMCU);33;25.5600;0.0000;0.00;1;25.56
2026-08-07;10:32:00;LMU;LMU (LMCU);34;25.5600;0.0000;0.00;391;9993.96
