Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;LPP;LPP;1;22180.0000;220.0000;1.00;48;1060060.00
2026-08-07;09:01:00;LPP;LPP;2;22100.0000;-80.0000;-0.36;39;863940.00
2026-08-07;09:02:00;LPP;LPP;3;22180.0000;40.0000;0.18;7;155100.00
2026-08-07;09:03:00;LPP;LPP;4;22200.0000;0.0000;0.00;2;44400.00
2026-08-07;09:04:00;LPP;LPP;5;22280.0000;80.0000;0.36;17;378340.00
2026-08-07;09:05:00;LPP;LPP;6;22220.0000;-80.0000;-0.36;18;401020.00
2026-08-07;09:07:00;LPP;LPP;7;22280.0000;60.0000;0.27;4;88980.00
2026-08-07;09:10:00;LPP;LPP;8;22280.0000;0.0000;0.00;13;289580.00
2026-08-07;09:11:00;LPP;LPP;9;22280.0000;0.0000;0.00;1;22280.00
2026-08-07;09:12:00;LPP;LPP;10;22280.0000;0.0000;0.00;2;44560.00
2026-08-07;09:13:00;LPP;LPP;11;22280.0000;0.0000;0.00;4;89120.00
2026-08-07;09:14:00;LPP;LPP;12;22260.0000;0.0000;0.00;9;200340.00
2026-08-07;09:16:00;LPP;LPP;13;22260.0000;0.0000;0.00;7;155920.00
2026-08-07;09:17:00;LPP;LPP;14;22260.0000;0.0000;0.00;29;645540.00
2026-08-07;09:18:00;LPP;LPP;15;22240.0000;-20.0000;-0.09;6;133520.00
2026-08-07;09:19:00;LPP;LPP;16;22260.0000;0.0000;0.00;1;22260.00
2026-08-07;09:21:00;LPP;LPP;17;22260.0000;0.0000;0.00;1;22260.00
2026-08-07;09:24:00;LPP;LPP;18;22300.0000;60.0000;0.27;32;713200.00
2026-08-07;09:28:00;LPP;LPP;19;22300.0000;0.0000;0.00;13;289900.00
2026-08-07;09:30:00;LPP;LPP;20;22400.0000;80.0000;0.36;119;2661300.00
2026-08-07;09:31:00;LPP;LPP;21;22400.0000;0.0000;0.00;156;3497860.00
2026-08-07;09:32:00;LPP;LPP;22;22500.0000;80.0000;0.36;460;10345860.00
2026-08-07;09:33:00;LPP;LPP;23;22480.0000;-20.0000;-0.09;23;517680.00
2026-08-07;09:34:00;LPP;LPP;24;22520.0000;20.0000;0.09;45;1012580.00
2026-08-07;09:35:00;LPP;LPP;25;22460.0000;-20.0000;-0.09;32;719340.00
2026-08-07;09:36:00;LPP;LPP;26;22480.0000;0.0000;0.00;16;359760.00
2026-08-07;09:37:00;LPP;LPP;27;22480.0000;-20.0000;-0.09;13;292360.00
2026-08-07;09:38:00;LPP;LPP;28;22480.0000;0.0000;0.00;43;966740.00
2026-08-07;09:39:00;LPP;LPP;29;22460.0000;-20.0000;-0.09;57;1280380.00
2026-08-07;09:40:00;LPP;LPP;30;22440.0000;-20.0000;-0.09;11;246980.00
2026-08-07;09:42:00;LPP;LPP;31;22400.0000;-40.0000;-0.18;34;762500.00
2026-08-07;09:44:00;LPP;LPP;32;22380.0000;0.0000;0.00;4;89520.00
2026-08-07;09:45:00;LPP;LPP;33;22380.0000;0.0000;0.00;1;22380.00
2026-08-07;09:46:00;LPP;LPP;34;22360.0000;0.0000;0.00;1;22360.00
2026-08-07;09:47:00;LPP;LPP;35;22340.0000;-20.0000;-0.09;20;446960.00
2026-08-07;09:49:00;LPP;LPP;36;22340.0000;20.0000;0.09;3;66980.00
2026-08-07;09:56:00;LPP;LPP;37;22300.0000;-20.0000;-0.09;16;356940.00
2026-08-07;09:57:00;LPP;LPP;38;22300.0000;0.0000;0.00;2;44600.00
2026-08-07;09:58:00;LPP;LPP;39;22300.0000;0.0000;0.00;5;111500.00
2026-08-07;09:59:00;LPP;LPP;40;22280.0000;0.0000;0.00;3;66840.00
2026-08-07;10:01:00;LPP;LPP;41;22260.0000;0.0000;0.00;5;111300.00
