Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-25;09:00:00;LSI-SOFTWARE;LSI (LSISOFT);1;53.6000;0.0000;0.00;2;107.20
2026-09-25;09:07:00;LSI-SOFTWARE;LSI (LSISOFT);2;54.0000;0.4000;0.75;19;1022.80
2026-09-25;09:23:00;LSI-SOFTWARE;LSI (LSISOFT);3;54.0000;0.0000;0.00;20;1080.00
2026-09-25;09:46:00;LSI-SOFTWARE;LSI (LSISOFT);4;53.6000;0.0000;0.00;26;1393.60
2026-09-25;10:41:00;LSI-SOFTWARE;LSI (LSISOFT);5;54.0000;0.0000;0.00;1;54.00
2026-09-25;11:22:00;LSI-SOFTWARE;LSI (LSISOFT);6;54.0000;0.0000;0.00;93;5022.00
2026-09-25;13:01:00;LSI-SOFTWARE;LSI (LSISOFT);7;53.6000;0.0000;0.00;1;53.60
2026-09-25;13:13:00;LSI-SOFTWARE;LSI (LSISOFT);8;53.6000;0.0000;0.00;19;1018.40
2026-09-25;13:50:00;LSI-SOFTWARE;LSI (LSISOFT);9;54.0000;0.0000;0.00;252;13608.00
2026-09-25;13:54:00;LSI-SOFTWARE;LSI (LSISOFT);10;54.0000;0.0000;0.00;44;2376.00
2026-09-25;13:58:00;LSI-SOFTWARE;LSI (LSISOFT);11;55.0000;0.2000;0.36;141;7737.20
2026-09-25;14:00:00;LSI-SOFTWARE;LSI (LSISOFT);12;54.0000;0.0000;0.00;3;162.00
2026-09-25;14:21:00;LSI-SOFTWARE;LSI (LSISOFT);13;54.0000;0.0000;0.00;5;270.00
2026-09-25;14:34:00;LSI-SOFTWARE;LSI (LSISOFT);14;54.8000;0.0000;0.00;50;2740.00
2026-09-25;15:31:00;LSI-SOFTWARE;LSI (LSISOFT);15;55.0000;0.0000;0.00;1;55.00
2026-09-25;15:56:00;LSI-SOFTWARE;LSI (LSISOFT);16;55.0000;0.0000;0.00;632;34760.00
2026-09-25;16:01:00;LSI-SOFTWARE;LSI (LSISOFT);17;55.0000;0.0000;0.00;20;1100.00
2026-09-25;16:16:00;LSI-SOFTWARE;LSI (LSISOFT);18;55.0000;0.2000;0.36;56;3079.80
2026-09-25;16:17:00;LSI-SOFTWARE;LSI (LSISOFT);19;55.0000;0.0000;0.00;59;3245.00
2026-09-25;16:27:00;LSI-SOFTWARE;LSI (LSISOFT);20;54.2000;0.0000;0.00;50;2710.00
2026-09-25;16:29:00;LSI-SOFTWARE;LSI (LSISOFT);21;54.2000;0.0000;0.00;55;2981.00
2026-09-25;16:37:00;LSI-SOFTWARE;LSI (LSISOFT);22;56.0000;0.4000;0.72;88;4924.00
