Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-22;09:00:00;LUBAWA;LBW (LUBAWA);1;10.9900;-0.0300;-0.27;5895;64921.70
2026-07-22;09:01:00;LUBAWA;LBW (LUBAWA);2;11.0400;0.0500;0.45;821;9027.69
2026-07-22;09:03:00;LUBAWA;LBW (LUBAWA);3;11.0500;0.0000;0.00;35;386.75
2026-07-22;09:04:00;LUBAWA;LBW (LUBAWA);4;11.0200;-0.0200;-0.18;672;7415.44
2026-07-22;09:05:00;LUBAWA;LBW (LUBAWA);5;11.0200;0.0000;0.00;1000;11020.00
2026-07-22;09:06:00;LUBAWA;LBW (LUBAWA);6;11.0200;0.0000;0.00;6;66.12
2026-07-22;09:08:00;LUBAWA;LBW (LUBAWA);7;11.0200;0.0000;0.00;7;77.14
2026-07-22;09:09:00;LUBAWA;LBW (LUBAWA);8;10.9800;-0.0200;-0.18;414;4550.76
2026-07-22;09:10:00;LUBAWA;LBW (LUBAWA);9;10.9700;0.0100;0.09;420;4604.30
2026-07-22;09:11:00;LUBAWA;LBW (LUBAWA);10;10.9800;0.0000;0.00;1464;16064.72
2026-07-22;09:14:00;LUBAWA;LBW (LUBAWA);11;11.0100;0.0000;0.00;91;1001.91
2026-07-22;09:15:00;LUBAWA;LBW (LUBAWA);12;11.0100;0.0000;0.00;66;726.66
2026-07-22;09:16:00;LUBAWA;LBW (LUBAWA);13;11.0500;0.0400;0.36;2435;26863.96
2026-07-22;09:17:00;LUBAWA;LBW (LUBAWA);14;11.0500;0.0000;0.00;1221;13490.98
2026-07-22;09:18:00;LUBAWA;LBW (LUBAWA);15;11.0300;-0.0200;-0.18;5546;61189.65
2026-07-22;09:20:00;LUBAWA;LBW (LUBAWA);16;11.0500;0.0100;0.09;108;1192.90
2026-07-22;09:21:00;LUBAWA;LBW (LUBAWA);17;11.0300;0.0000;0.00;20;220.60
2026-07-22;09:22:00;LUBAWA;LBW (LUBAWA);18;11.0000;-0.0300;-0.27;1074;11816.22
2026-07-22;09:23:00;LUBAWA;LBW (LUBAWA);19;11.0300;0.0200;0.18;40;440.50
2026-07-22;09:24:00;LUBAWA;LBW (LUBAWA);20;11.0300;0.0000;0.00;146;1610.38
2026-07-22;09:25:00;LUBAWA;LBW (LUBAWA);21;11.0000;0.0000;0.00;59;649.00
2026-07-22;09:29:00;LUBAWA;LBW (LUBAWA);22;11.0100;0.0000;0.00;674;7420.74
2026-07-22;09:32:00;LUBAWA;LBW (LUBAWA);23;11.0400;0.0000;0.00;449;4956.96
2026-07-22;09:33:00;LUBAWA;LBW (LUBAWA);24;11.0300;-0.0200;-0.18;68;750.94
2026-07-22;09:34:00;LUBAWA;LBW (LUBAWA);25;11.0300;0.0000;0.00;5;55.15
2026-07-22;09:35:00;LUBAWA;LBW (LUBAWA);26;11.0400;0.0100;0.09;186;2052.98
2026-07-22;09:36:00;LUBAWA;LBW (LUBAWA);27;11.0400;0.0000;0.00;290;3201.60
2026-07-22;09:37:00;LUBAWA;LBW (LUBAWA);28;11.0200;-0.0200;-0.18;3091;34147.22
2026-07-22;09:39:00;LUBAWA;LBW (LUBAWA);29;11.0400;0.0000;0.00;41;452.64
2026-07-22;09:40:00;LUBAWA;LBW (LUBAWA);30;11.0400;0.0000;0.00;64;706.56
2026-07-22;09:41:00;LUBAWA;LBW (LUBAWA);31;11.0500;0.0400;0.36;521;5751.74
2026-07-22;09:42:00;LUBAWA;LBW (LUBAWA);32;11.0400;-0.0100;-0.09;1053;11634.27
2026-07-22;09:46:00;LUBAWA;LBW (LUBAWA);33;11.0500;0.0100;0.09;1871;20670.23
2026-07-22;09:47:00;LUBAWA;LBW (LUBAWA);34;11.0800;0.0200;0.18;2136;23682.96
2026-07-22;09:48:00;LUBAWA;LBW (LUBAWA);35;11.0800;-0.0200;-0.18;768;8519.46
2026-07-22;09:49:00;LUBAWA;LBW (LUBAWA);36;11.1000;0.0100;0.09;70;776.51
2026-07-22;09:50:00;LUBAWA;LBW (LUBAWA);37;11.0800;0.0000;0.00;168;1861.44
2026-07-22;09:51:00;LUBAWA;LBW (LUBAWA);38;11.0600;0.0000;0.00;1105;12221.30
2026-07-22;09:52:00;LUBAWA;LBW (LUBAWA);39;11.0700;0.0100;0.09;920;10180.19
2026-07-22;09:53:00;LUBAWA;LBW (LUBAWA);40;11.1000;0.0200;0.18;1444;16003.18
2026-07-22;09:54:00;LUBAWA;LBW (LUBAWA);41;11.0800;0.0000;0.00;25;277.00
2026-07-22;09:55:00;LUBAWA;LBW (LUBAWA);42;11.0800;0.0000;0.00;50;554.00
2026-07-22;09:57:00;LUBAWA;LBW (LUBAWA);43;11.1000;0.0000;0.00;304;3374.40
2026-07-22;09:58:00;LUBAWA;LBW (LUBAWA);44;11.1000;0.0000;0.00;1117;12398.70
2026-07-22;09:59:00;LUBAWA;LBW (LUBAWA);45;11.0900;0.0100;0.09;215;2381.90
2026-07-22;10:00:00;LUBAWA;LBW (LUBAWA);46;11.1000;0.0000;0.00;2580;28616.85
2026-07-22;10:01:00;LUBAWA;LBW (LUBAWA);47;11.0800;0.0000;0.00;40;443.20
2026-07-22;10:02:00;LUBAWA;LBW (LUBAWA);48;11.0800;0.0000;0.00;20;221.60
2026-07-22;10:03:00;LUBAWA;LBW (LUBAWA);49;11.0800;0.0000;0.00;165;1828.20
