Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;MAKARONY-POLSKIE;MAK (MAKARONPL);1;26.1000;-0.1000;-0.38;52;1362.00
2026-07-15;09:06:00;MAKARONY-POLSKIE;MAK (MAKARONPL);2;26.1000;0.0000;0.00;100;2610.00
2026-07-15;09:09:00;MAKARONY-POLSKIE;MAK (MAKARONPL);3;26.0000;0.0000;0.00;90;2340.00
2026-07-15;09:13:00;MAKARONY-POLSKIE;MAK (MAKARONPL);4;26.0000;0.0000;0.00;1;26.00
2026-07-15;09:17:00;MAKARONY-POLSKIE;MAK (MAKARONPL);5;26.0000;0.0000;0.00;5;130.00
2026-07-15;09:25:00;MAKARONY-POLSKIE;MAK (MAKARONPL);6;26.1000;0.0000;0.00;2;52.20
2026-07-15;09:27:00;MAKARONY-POLSKIE;MAK (MAKARONPL);7;26.1000;0.0000;0.00;8;208.80
2026-07-15;09:28:00;MAKARONY-POLSKIE;MAK (MAKARONPL);8;26.1000;0.0000;0.00;21;548.10
2026-07-15;09:31:00;MAKARONY-POLSKIE;MAK (MAKARONPL);9;26.0000;0.0000;0.00;6;156.00
2026-07-15;09:32:00;MAKARONY-POLSKIE;MAK (MAKARONPL);10;26.0000;0.0000;0.00;11;286.00
2026-07-15;09:36:00;MAKARONY-POLSKIE;MAK (MAKARONPL);11;26.0000;0.0000;0.00;74;1924.00
2026-07-15;09:49:00;MAKARONY-POLSKIE;MAK (MAKARONPL);12;25.8000;-0.1000;-0.39;175;4521.00
2026-07-15;09:53:00;MAKARONY-POLSKIE;MAK (MAKARONPL);13;25.8000;0.0000;0.00;70;1806.00
2026-07-15;09:54:00;MAKARONY-POLSKIE;MAK (MAKARONPL);14;25.7000;-0.1000;-0.39;220;5659.40
2026-07-15;10:00:00;MAKARONY-POLSKIE;MAK (MAKARONPL);15;25.7000;0.0000;0.00;23;591.10
2026-07-15;10:01:00;MAKARONY-POLSKIE;MAK (MAKARONPL);16;25.7000;0.0000;0.00;1;25.70
2026-07-15;10:05:00;MAKARONY-POLSKIE;MAK (MAKARONPL);17;25.6000;-0.1000;-0.39;166;4256.90
2026-07-15;10:07:00;MAKARONY-POLSKIE;MAK (MAKARONPL);18;25.8500;0.2000;0.78;57;1465.85
2026-07-15;10:10:00;MAKARONY-POLSKIE;MAK (MAKARONPL);19;25.8500;0.0000;0.00;6;155.10
2026-07-15;10:11:00;MAKARONY-POLSKIE;MAK (MAKARONPL);20;25.8000;0.0000;0.00;2;51.60
2026-07-15;10:25:00;MAKARONY-POLSKIE;MAK (MAKARONPL);21;25.8000;0.0000;0.00;60;1548.00
2026-07-15;10:26:00;MAKARONY-POLSKIE;MAK (MAKARONPL);22;25.8000;0.0000;0.00;17;438.60
2026-07-15;10:27:00;MAKARONY-POLSKIE;MAK (MAKARONPL);23;25.6500;-0.1500;-0.58;91;2341.45
2026-07-15;10:28:00;MAKARONY-POLSKIE;MAK (MAKARONPL);24;25.8000;0.0000;0.00;146;3766.80
2026-07-15;10:32:00;MAKARONY-POLSKIE;MAK (MAKARONPL);25;25.8500;0.0000;0.00;2;51.70
2026-07-15;10:35:00;MAKARONY-POLSKIE;MAK (MAKARONPL);26;25.8500;0.0000;0.00;5;129.25
2026-07-15;10:48:00;MAKARONY-POLSKIE;MAK (MAKARONPL);27;25.8500;0.0000;0.00;3;77.55
2026-07-15;10:52:00;MAKARONY-POLSKIE;MAK (MAKARONPL);28;25.7000;0.0000;0.00;6;154.20
2026-07-15;10:53:00;MAKARONY-POLSKIE;MAK (MAKARONPL);29;25.6000;-0.1000;-0.39;551;14124.00
2026-07-15;10:56:00;MAKARONY-POLSKIE;MAK (MAKARONPL);30;25.4000;-0.1500;-0.59;946;24133.80
2026-07-15;10:58:00;MAKARONY-POLSKIE;MAK (MAKARONPL);31;25.4000;0.0000;0.00;229;5816.60
2026-07-15;11:03:00;MAKARONY-POLSKIE;MAK (MAKARONPL);32;25.4000;0.0000;0.00;100;2540.00
2026-07-15;11:07:00;MAKARONY-POLSKIE;MAK (MAKARONPL);33;25.3500;0.0000;0.00;39;988.65
2026-07-15;11:11:00;MAKARONY-POLSKIE;MAK (MAKARONPL);34;25.4000;0.0000;0.00;20;508.00
2026-07-15;11:12:00;MAKARONY-POLSKIE;MAK (MAKARONPL);35;25.4000;0.0000;0.00;2;50.80
2026-07-15;11:14:00;MAKARONY-POLSKIE;MAK (MAKARONPL);36;25.4000;0.0000;0.00;8;203.20
2026-07-15;11:17:00;MAKARONY-POLSKIE;MAK (MAKARONPL);37;25.4000;0.0000;0.00;20;508.00
2026-07-15;11:18:00;MAKARONY-POLSKIE;MAK (MAKARONPL);38;25.3500;0.0000;0.00;40;1014.00
2026-07-15;11:29:00;MAKARONY-POLSKIE;MAK (MAKARONPL);39;25.6500;0.0000;0.00;7;179.55
2026-07-15;11:32:00;MAKARONY-POLSKIE;MAK (MAKARONPL);40;25.4000;0.0000;0.00;3;76.20
