Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;MBANK;MBK (MBANK);1;1442.0000;4.0000;0.28;158;227992.00
2026-07-15;09:01:00;MBANK;MBK (MBANK);2;1438.0000;-3.0000;-0.21;68;97863.50
2026-07-15;09:02:00;MBANK;MBK (MBANK);3;1440.0000;2.0000;0.14;81;116612.50
2026-07-15;09:03:00;MBANK;MBK (MBANK);4;1438.5000;-1.5000;-0.10;72;103628.50
2026-07-15;09:05:00;MBANK;MBK (MBANK);5;1439.0000;1.0000;0.07;29;41680.50
2026-07-15;09:06:00;MBANK;MBK (MBANK);6;1440.0000;0.5000;0.03;7;10077.50
2026-07-15;09:07:00;MBANK;MBK (MBANK);7;1438.5000;-1.5000;-0.10;28;40314.00
2026-07-15;09:08:00;MBANK;MBK (MBANK);8;1438.0000;0.0000;0.00;4;5752.00
2026-07-15;09:09:00;MBANK;MBK (MBANK);9;1438.0000;1.0000;0.07;21;30184.50
2026-07-15;09:10:00;MBANK;MBK (MBANK);10;1437.5000;-1.5000;-0.10;36;51769.50
2026-07-15;09:11:00;MBANK;MBK (MBANK);11;1436.5000;1.5000;0.10;32;45943.00
2026-07-15;09:12:00;MBANK;MBK (MBANK);12;1436.5000;0.0000;0.00;5;7182.50
2026-07-15;09:13:00;MBANK;MBK (MBANK);13;1437.5000;0.0000;0.00;21;30191.00
2026-07-15;09:14:00;MBANK;MBK (MBANK);14;1437.5000;0.5000;0.03;9;12936.50
2026-07-15;09:15:00;MBANK;MBK (MBANK);15;1435.5000;-1.5000;-0.10;15;21540.50
2026-07-15;09:16:00;MBANK;MBK (MBANK);16;1439.0000;0.5000;0.03;14;20140.00
2026-07-15;09:17:00;MBANK;MBK (MBANK);17;1439.0000;0.0000;0.00;78;112323.50
2026-07-15;09:18:00;MBANK;MBK (MBANK);18;1438.0000;-1.5000;-0.10;54;77694.50
2026-07-15;09:19:00;MBANK;MBK (MBANK);19;1437.0000;0.0000;0.00;3;4311.00
2026-07-15;09:20:00;MBANK;MBK (MBANK);20;1436.0000;-0.5000;-0.03;9;12924.50
2026-07-15;09:21:00;MBANK;MBK (MBANK);21;1435.5000;0.0000;0.00;4;5742.00
2026-07-15;09:23:00;MBANK;MBK (MBANK);22;1438.0000;1.5000;0.10;42;60376.50
2026-07-15;09:24:00;MBANK;MBK (MBANK);23;1438.5000;0.0000;0.00;2;2877.00
2026-07-15;09:25:00;MBANK;MBK (MBANK);24;1437.5000;-0.5000;-0.03;27;38824.00
2026-07-15;09:27:00;MBANK;MBK (MBANK);25;1434.5000;-0.5000;-0.03;56;80359.50
2026-07-15;09:28:00;MBANK;MBK (MBANK);26;1435.5000;0.5000;0.03;16;22973.50
2026-07-15;09:29:00;MBANK;MBK (MBANK);27;1437.0000;0.0000;0.00;1;1437.00
2026-07-15;09:30:00;MBANK;MBK (MBANK);28;1434.5000;-1.5000;-0.10;19;27272.50
2026-07-15;09:31:00;MBANK;MBK (MBANK);29;1434.0000;0.0000;0.00;4;5735.50
2026-07-15;09:32:00;MBANK;MBK (MBANK);30;1434.0000;0.0000;0.00;6;8604.00
2026-07-15;09:33:00;MBANK;MBK (MBANK);31;1434.0000;-0.5000;-0.03;13;18650.00
2026-07-15;09:34:00;MBANK;MBK (MBANK);32;1432.5000;-1.5000;-0.10;8;11463.00
2026-07-15;09:35:00;MBANK;MBK (MBANK);33;1430.5000;-1.0000;-0.07;48;68652.50
2026-07-15;09:37:00;MBANK;MBK (MBANK);34;1432.0000;2.0000;0.14;48;68694.00
2026-07-15;09:38:00;MBANK;MBK (MBANK);35;1438.0000;4.0000;0.28;19;27274.00
2026-07-15;09:39:00;MBANK;MBK (MBANK);36;1440.0000;3.5000;0.24;55;79086.00
2026-07-15;09:40:00;MBANK;MBK (MBANK);37;1443.0000;0.5000;0.03;18;25980.50
2026-07-15;09:41:00;MBANK;MBK (MBANK);38;1440.0000;0.0000;0.00;1;1440.00
2026-07-15;09:42:00;MBANK;MBK (MBANK);39;1440.0000;-1.0000;-0.07;53;76321.00
2026-07-15;09:44:00;MBANK;MBK (MBANK);40;1439.5000;-0.5000;-0.03;43;61904.50
2026-07-15;09:45:00;MBANK;MBK (MBANK);41;1440.0000;1.0000;0.07;166;238630.50
2026-07-15;09:48:00;MBANK;MBK (MBANK);42;1439.0000;-0.5000;-0.03;18;25900.00
2026-07-15;09:49:00;MBANK;MBK (MBANK);43;1442.0000;1.5000;0.10;38;54803.50
2026-07-15;09:50:00;MBANK;MBK (MBANK);44;1443.5000;2.5000;0.17;26;37477.50
2026-07-15;09:51:00;MBANK;MBK (MBANK);45;1441.5000;0.0000;0.00;15;21621.50
2026-07-15;09:52:00;MBANK;MBK (MBANK);46;1442.5000;0.0000;0.00;2;2885.00
2026-07-15;09:53:00;MBANK;MBK (MBANK);47;1442.5000;0.0000;0.00;1;1442.50
2026-07-15;09:54:00;MBANK;MBK (MBANK);48;1442.0000;0.0000;0.00;17;24509.00
2026-07-15;09:56:00;MBANK;MBK (MBANK);49;1441.5000;-1.5000;-0.10;25;36064.00
2026-07-15;09:57:00;MBANK;MBK (MBANK);50;1442.0000;0.0000;0.00;9;12978.00
2026-07-15;10:00:00;MBANK;MBK (MBANK);51;1443.0000;0.0000;0.00;18;25977.50
2026-07-15;10:01:00;MBANK;MBK (MBANK);52;1442.5000;0.0000;0.00;15;21637.00
2026-07-15;10:02:00;MBANK;MBK (MBANK);53;1442.0000;0.0000;0.00;3;4326.00
2026-07-15;10:03:00;MBANK;MBK (MBANK);54;1443.5000;1.0000;0.07;12;17319.00
2026-07-15;10:04:00;MBANK;MBK (MBANK);55;1442.0000;0.0000;0.00;3;4326.00
2026-07-15;10:05:00;MBANK;MBK (MBANK);56;1440.0000;-2.0000;-0.14;32;46107.00
2026-07-15;10:06:00;MBANK;MBK (MBANK);57;1440.5000;1.0000;0.07;19;27357.50
2026-07-15;10:10:00;MBANK;MBK (MBANK);58;1441.0000;0.5000;0.03;21;30245.50
2026-07-15;10:12:00;MBANK;MBK (MBANK);59;1443.5000;0.0000;0.00;11;15878.50
2026-07-15;10:13:00;MBANK;MBK (MBANK);60;1444.5000;-0.5000;-0.03;53;76574.00
2026-07-15;10:15:00;MBANK;MBK (MBANK);61;1443.5000;-2.0000;-0.14;33;47657.00
2026-07-15;10:16:00;MBANK;MBK (MBANK);62;1445.0000;0.5000;0.03;25;36117.00
2026-07-15;10:17:00;MBANK;MBK (MBANK);63;1443.5000;0.0000;0.00;2;2887.00
2026-07-15;10:18:00;MBANK;MBK (MBANK);64;1445.0000;0.0000;0.00;7;10115.00
2026-07-15;10:19:00;MBANK;MBK (MBANK);65;1445.0000;0.0000;0.00;4;5780.00
2026-07-15;10:21:00;MBANK;MBK (MBANK);66;1444.0000;-1.0000;-0.07;32;46226.00
2026-07-15;10:23:00;MBANK;MBK (MBANK);67;1444.0000;0.0000;0.00;10;14440.00
2026-07-15;10:24:00;MBANK;MBK (MBANK);68;1443.0000;0.0000;0.00;9;12987.00
2026-07-15;10:25:00;MBANK;MBK (MBANK);69;1442.0000;-1.0000;-0.07;48;69235.00
2026-07-15;10:26:00;MBANK;MBK (MBANK);70;1442.5000;0.0000;0.00;21;30292.50
