Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-27;09:00:00;MBR;MBR (MOBRUK);1;387.0000;-2.5000;-0.64;126;48992.00
2026-07-27;09:01:00;MBR;MBR (MOBRUK);2;389.0000;0.0000;0.00;3;1167.00
2026-07-27;09:02:00;MBR;MBR (MOBRUK);3;389.5000;0.0000;0.00;2;779.00
2026-07-27;09:05:00;MBR;MBR (MOBRUK);4;388.0000;-0.5000;-0.13;10;3881.50
2026-07-27;09:06:00;MBR;MBR (MOBRUK);5;388.0000;0.0000;0.00;10;3880.00
2026-07-27;09:07:00;MBR;MBR (MOBRUK);6;389.5000;0.5000;0.13;44;17101.00
2026-07-27;09:08:00;MBR;MBR (MOBRUK);7;389.5000;0.0000;0.00;14;5453.00
2026-07-27;09:09:00;MBR;MBR (MOBRUK);8;390.0000;0.0000;0.00;8;3120.00
2026-07-27;09:10:00;MBR;MBR (MOBRUK);9;390.0000;0.0000;0.00;7;2730.00
2026-07-27;09:11:00;MBR;MBR (MOBRUK);10;390.0000;0.0000;0.00;10;3900.00
2026-07-27;09:12:00;MBR;MBR (MOBRUK);11;387.0000;-1.0000;-0.26;72;27869.50
2026-07-27;09:13:00;MBR;MBR (MOBRUK);12;389.0000;1.0000;0.26;14;5436.00
2026-07-27;09:14:00;MBR;MBR (MOBRUK);13;389.5000;0.5000;0.13;38;14797.50
2026-07-27;09:17:00;MBR;MBR (MOBRUK);14;387.0000;-0.5000;-0.13;8;3099.50
2026-07-27;09:18:00;MBR;MBR (MOBRUK);15;388.5000;2.0000;0.52;22;8505.00
2026-07-27;09:19:00;MBR;MBR (MOBRUK);16;386.0000;0.0000;0.00;5;1930.00
2026-07-27;09:21:00;MBR;MBR (MOBRUK);17;388.0000;0.0000;0.00;7;2716.00
2026-07-27;09:22:00;MBR;MBR (MOBRUK);18;387.5000;-0.5000;-0.13;8;3102.50
2026-07-27;09:23:00;MBR;MBR (MOBRUK);19;387.0000;-0.5000;-0.13;21;8137.00
2026-07-27;09:24:00;MBR;MBR (MOBRUK);20;387.0000;0.0000;0.00;16;6192.00
2026-07-27;09:25:00;MBR;MBR (MOBRUK);21;387.5000;0.0000;0.00;11;4262.50
2026-07-27;09:26:00;MBR;MBR (MOBRUK);22;388.0000;0.0000;0.00;10;3880.00
2026-07-27;09:27:00;MBR;MBR (MOBRUK);23;386.5000;-0.5000;-0.13;2;773.50
2026-07-27;09:28:00;MBR;MBR (MOBRUK);24;387.0000;0.0000;0.00;14;5418.00
2026-07-27;09:30:00;MBR;MBR (MOBRUK);25;387.5000;0.0000;0.00;3;1162.50
2026-07-27;09:34:00;MBR;MBR (MOBRUK);26;387.5000;0.0000;0.00;8;3100.00
2026-07-27;09:35:00;MBR;MBR (MOBRUK);27;388.5000;0.0000;0.00;2;777.00
2026-07-27;09:38:00;MBR;MBR (MOBRUK);28;388.5000;0.0000;0.00;4;1554.00
2026-07-27;09:41:00;MBR;MBR (MOBRUK);29;387.5000;0.0000;0.00;1;387.50
2026-07-27;09:45:00;MBR;MBR (MOBRUK);30;387.0000;-0.5000;-0.13;52;20125.00
2026-07-27;09:48:00;MBR;MBR (MOBRUK);31;387.0000;0.0000;0.00;5;1935.00
2026-07-27;09:49:00;MBR;MBR (MOBRUK);32;387.0000;0.0000;0.00;3;1161.00
2026-07-27;09:55:00;MBR;MBR (MOBRUK);33;387.5000;0.0000;0.00;2;775.00
2026-07-27;09:57:00;MBR;MBR (MOBRUK);34;387.5000;0.0000;0.00;14;5425.00
2026-07-27;09:58:00;MBR;MBR (MOBRUK);35;387.5000;0.0000;0.00;10;3875.00
2026-07-27;10:00:00;MBR;MBR (MOBRUK);36;387.0000;0.0000;0.00;17;6579.00
2026-07-27;10:07:00;MBR;MBR (MOBRUK);37;387.0000;0.0000;0.00;12;4644.00
2026-07-27;10:09:00;MBR;MBR (MOBRUK);38;386.5000;-0.5000;-0.13;25;9672.00
2026-07-27;10:12:00;MBR;MBR (MOBRUK);39;387.5000;0.0000;0.00;20;7750.00
2026-07-27;10:13:00;MBR;MBR (MOBRUK);40;386.5000;0.0000;0.00;8;3092.00
2026-07-27;10:14:00;MBR;MBR (MOBRUK);41;386.5000;0.0000;0.00;2;773.00
2026-07-27;10:16:00;MBR;MBR (MOBRUK);42;387.5000;0.0000;0.00;18;6975.00
2026-07-27;10:19:00;MBR;MBR (MOBRUK);43;386.0000;-0.5000;-0.13;7;2703.50
2026-07-27;10:21:00;MBR;MBR (MOBRUK);44;386.5000;-1.0000;-0.26;4;1549.00
2026-07-27;10:24:00;MBR;MBR (MOBRUK);45;386.5000;0.0000;0.00;1;386.50
2026-07-27;10:28:00;MBR;MBR (MOBRUK);46;387.5000;0.0000;0.00;6;2325.00
2026-07-27;10:34:00;MBR;MBR (MOBRUK);47;388.0000;0.0000;0.00;6;2328.00
2026-07-27;10:35:00;MBR;MBR (MOBRUK);48;388.0000;0.0000;0.00;1;388.00
2026-07-27;10:37:00;MBR;MBR (MOBRUK);49;388.0000;0.0000;0.00;4;1552.00
2026-07-27;10:41:00;MBR;MBR (MOBRUK);50;388.0000;0.0000;0.00;5;1940.00
2026-07-27;10:43:00;MBR;MBR (MOBRUK);51;387.5000;0.0000;0.00;2;775.00
2026-07-27;10:46:00;MBR;MBR (MOBRUK);52;388.0000;0.0000;0.00;37;14356.00
2026-07-27;10:48:00;MBR;MBR (MOBRUK);53;388.0000;0.0000;0.00;1;388.00
2026-07-27;10:49:00;MBR;MBR (MOBRUK);54;388.0000;0.0000;0.00;39;15132.00
2026-07-27;10:51:00;MBR;MBR (MOBRUK);55;388.5000;0.0000;0.00;48;18648.00
2026-07-27;10:52:00;MBR;MBR (MOBRUK);56;389.5000;0.5000;0.13;107;41643.50
2026-07-27;10:57:00;MBR;MBR (MOBRUK);57;389.5000;0.0000;0.00;28;10906.00
2026-07-27;10:59:00;MBR;MBR (MOBRUK);58;390.0000;0.0000;0.00;2;780.00
2026-07-27;11:01:00;MBR;MBR (MOBRUK);59;390.0000;0.0000;0.00;3;1170.00
2026-07-27;11:02:00;MBR;MBR (MOBRUK);60;389.0000;0.0000;0.00;1;389.00
2026-07-27;11:04:00;MBR;MBR (MOBRUK);61;389.0000;0.0000;0.00;50;19450.00
2026-07-27;11:07:00;MBR;MBR (MOBRUK);62;389.0000;0.0000;0.00;28;10892.00
