Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;MCI;MCI;1;28.5000;0.0000;0.00;1;28.50
2026-08-07;09:13:00;MCI;MCI;2;28.4000;0.0000;0.00;1;28.40
2026-08-07;09:20:00;MCI;MCI;3;28.5000;0.0000;0.00;1;28.50
2026-08-07;09:42:00;MCI;MCI;4;28.5000;0.0000;0.00;68;1938.00
2026-08-07;10:13:00;MCI;MCI;5;28.1000;0.0000;0.00;25;702.50
2026-08-07;10:24:00;MCI;MCI;6;28.1000;0.0000;0.00;2;56.20
2026-08-07;10:30:00;MCI;MCI;7;28.5000;0.0000;0.00;1;28.50
2026-08-07;11:06:00;MCI;MCI;8;28.1000;0.0000;0.00;4;112.40
2026-08-07;11:38:00;MCI;MCI;9;28.1000;0.0000;0.00;14;393.40
2026-08-07;11:46:00;MCI;MCI;10;28.1000;0.0000;0.00;8;224.80
2026-08-07;11:57:00;MCI;MCI;11;28.1000;0.0000;0.00;10;281.00
2026-08-07;12:11:00;MCI;MCI;12;28.2000;0.0000;0.00;10;282.00
2026-08-07;13:10:00;MCI;MCI;13;28.5000;0.0000;0.00;36;1026.00
2026-08-07;13:11:00;MCI;MCI;14;28.5000;0.0000;0.00;500;14250.00
2026-08-07;13:14:00;MCI;MCI;15;28.5000;0.0000;0.00;95;2707.50
2026-08-07;13:59:00;MCI;MCI;16;28.6000;0.0000;0.00;3;85.80
2026-08-07;14:03:00;MCI;MCI;17;28.6000;0.0000;0.00;43;1229.80
2026-08-07;14:04:00;MCI;MCI;18;28.7000;0.0000;0.00;238;6830.60
2026-08-07;14:06:00;MCI;MCI;19;28.4000;0.0000;0.00;20;568.00
2026-08-07;14:16:00;MCI;MCI;20;28.7000;0.3000;1.06;22;625.00
2026-08-07;14:17:00;MCI;MCI;21;28.7000;0.0000;0.00;1;28.70
2026-08-07;14:18:00;MCI;MCI;22;28.7000;0.0000;0.00;1;28.70
2026-08-07;16:33:00;MCI;MCI;23;28.7000;0.1000;0.35;300;8594.00
