Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;MDG;MDG (MEDICALG);1;28.0000;0.0000;0.00;6033;168975.25
2026-08-05;09:01:00;MDG;MDG (MEDICALG);2;27.9000;-0.2000;-0.71;2531;70657.00
2026-08-05;09:02:00;MDG;MDG (MEDICALG);3;27.6000;-0.3500;-1.25;1141;31780.60
2026-08-05;09:03:00;MDG;MDG (MEDICALG);4;27.9500;0.0000;0.00;99;2770.40
2026-08-05;09:04:00;MDG;MDG (MEDICALG);5;28.0000;0.0500;0.18;516;14439.10
2026-08-05;09:05:00;MDG;MDG (MEDICALG);6;28.0500;0.0500;0.18;459;12852.75
2026-08-05;09:06:00;MDG;MDG (MEDICALG);7;27.8000;-0.2500;-0.89;846;23755.95
2026-08-05;09:07:00;MDG;MDG (MEDICALG);8;28.1500;0.0000;0.00;463;13006.45
2026-08-05;09:08:00;MDG;MDG (MEDICALG);9;28.1500;0.0500;0.18;525;14779.65
2026-08-05;09:10:00;MDG;MDG (MEDICALG);10;28.2000;0.1500;0.53;100;2819.20
2026-08-05;09:11:00;MDG;MDG (MEDICALG);11;28.0000;-0.0500;-0.18;1387;38793.10
2026-08-05;09:13:00;MDG;MDG (MEDICALG);12;28.2000;0.0500;0.18;37;1043.35
2026-08-05;09:14:00;MDG;MDG (MEDICALG);13;28.4000;0.2500;0.89;1000;28275.95
2026-08-05;09:15:00;MDG;MDG (MEDICALG);14;28.3500;0.0500;0.18;522;14778.85
2026-08-05;09:16:00;MDG;MDG (MEDICALG);15;28.4000;0.0500;0.18;240;6814.65
2026-08-05;09:17:00;MDG;MDG (MEDICALG);16;28.3500;0.0000;0.00;35;991.75
2026-08-05;09:18:00;MDG;MDG (MEDICALG);17;28.3500;0.1000;0.35;7;197.80
2026-08-05;09:20:00;MDG;MDG (MEDICALG);18;28.3000;-0.0500;-0.18;532;15067.15
2026-08-05;09:21:00;MDG;MDG (MEDICALG);19;28.3000;0.1000;0.35;575;16235.70
2026-08-05;09:22:00;MDG;MDG (MEDICALG);20;28.1500;-0.1000;-0.35;281;7913.35
2026-08-05;09:23:00;MDG;MDG (MEDICALG);21;28.1000;-0.0500;-0.18;67;1885.80
2026-08-05;09:24:00;MDG;MDG (MEDICALG);22;28.1500;0.0500;0.18;203;5694.20
2026-08-05;09:25:00;MDG;MDG (MEDICALG);23;28.0000;0.0000;0.00;10;280.00
2026-08-05;09:26:00;MDG;MDG (MEDICALG);24;28.0000;0.0000;0.00;403;11284.25
2026-08-05;09:27:00;MDG;MDG (MEDICALG);25;28.2000;0.1000;0.36;470;13250.70
2026-08-05;09:28:00;MDG;MDG (MEDICALG);26;28.2000;0.0000;0.00;50;1410.00
2026-08-05;09:29:00;MDG;MDG (MEDICALG);27;28.2500;0.0000;0.00;84;2373.00
2026-08-05;09:30:00;MDG;MDG (MEDICALG);28;28.2500;0.0000;0.00;326;9209.50
2026-08-05;09:31:00;MDG;MDG (MEDICALG);29;28.2000;0.0000;0.00;16;451.20
2026-08-05;09:32:00;MDG;MDG (MEDICALG);30;28.2000;0.0000;0.00;22;620.40
2026-08-05;09:33:00;MDG;MDG (MEDICALG);31;28.2000;0.0000;0.00;36;1015.10
2026-08-05;09:34:00;MDG;MDG (MEDICALG);32;28.1000;-0.0500;-0.18;288;8097.10
