Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:00:00;MDI;MDI (MDIENERGIA);1;2.2500;0.0000;0.00;310;697.50
2026-09-11;09:04:00;MDI;MDI (MDIENERGIA);2;2.1800;-0.0100;-0.46;500;1091.00
2026-09-11;09:07:00;MDI;MDI (MDIENERGIA);3;2.1800;0.0000;0.00;600;1308.00
2026-09-11;09:08:00;MDI;MDI (MDIENERGIA);4;2.1800;0.0000;0.00;1000;2180.00
2026-09-11;09:33:00;MDI;MDI (MDIENERGIA);5;2.1800;0.0000;0.00;4000;8720.00
2026-09-11;09:35:00;MDI;MDI (MDIENERGIA);6;2.1600;-0.0100;-0.46;11;23.86
2026-09-11;09:37:00;MDI;MDI (MDIENERGIA);7;2.1600;0.0000;0.00;100;216.00
2026-09-11;09:43:00;MDI;MDI (MDIENERGIA);8;2.2200;0.0400;1.83;3000;6568.68
2026-09-11;09:52:00;MDI;MDI (MDIENERGIA);9;2.1500;-0.0200;-0.92;2333;5042.83
2026-09-11;09:59:00;MDI;MDI (MDIENERGIA);10;2.1500;0.0000;0.00;1473;3166.95
2026-09-11;10:12:00;MDI;MDI (MDIENERGIA);11;2.1600;0.0000;0.00;500;1080.00
2026-09-11;10:17:00;MDI;MDI (MDIENERGIA);12;2.1500;0.0000;0.00;4960;10664.00
2026-09-11;10:18:00;MDI;MDI (MDIENERGIA);13;2.1400;-0.0100;-0.47;1590;3414.60
2026-09-11;10:20:00;MDI;MDI (MDIENERGIA);14;2.1300;-0.0100;-0.47;11;23.53
2026-09-11;10:44:00;MDI;MDI (MDIENERGIA);15;2.1400;0.0000;0.00;1;2.14
2026-09-11;10:57:00;MDI;MDI (MDIENERGIA);16;2.1900;0.0000;0.00;192;420.48
2026-09-11;11:30:00;MDI;MDI (MDIENERGIA);17;2.1900;0.0000;0.00;61;133.59
2026-09-11;11:34:00;MDI;MDI (MDIENERGIA);18;2.1300;-0.0100;-0.47;4288;9151.33
2026-09-11;11:35:00;MDI;MDI (MDIENERGIA);19;2.1100;-0.0100;-0.47;3400;7198.00
2026-09-11;11:36:00;MDI;MDI (MDIENERGIA);20;2.0800;-0.0300;-1.42;5993;12515.09
2026-09-11;11:38:00;MDI;MDI (MDIENERGIA);21;2.1500;0.0700;3.37;2169;4554.85
2026-09-11;11:39:00;MDI;MDI (MDIENERGIA);22;2.1300;0.0000;0.00;234;498.42
2026-09-11;11:45:00;MDI;MDI (MDIENERGIA);23;2.1000;0.0000;0.00;1;2.10
2026-09-11;11:47:00;MDI;MDI (MDIENERGIA);24;2.1000;0.0000;0.00;1046;2196.60
2026-09-11;11:48:00;MDI;MDI (MDIENERGIA);25;2.0900;0.0000;0.00;1;2.09
2026-09-11;11:53:00;MDI;MDI (MDIENERGIA);26;2.1100;0.0000;0.00;1000;2110.00
2026-09-11;11:57:00;MDI;MDI (MDIENERGIA);27;2.0900;-0.0100;-0.48;1921;4019.64
2026-09-11;11:59:00;MDI;MDI (MDIENERGIA);28;2.0900;0.0000;0.00;3079;6435.11
2026-09-11;12:05:00;MDI;MDI (MDIENERGIA);29;2.1300;0.0000;0.00;66;140.58
2026-09-11;12:14:00;MDI;MDI (MDIENERGIA);30;2.0800;-0.0200;-0.95;4949;10336.92
2026-09-11;12:15:00;MDI;MDI (MDIENERGIA);31;2.0700;0.0000;0.00;6929;14343.03
2026-09-11;12:16:00;MDI;MDI (MDIENERGIA);32;2.0500;-0.0200;-0.97;7774;15960.83
2026-09-11;12:17:00;MDI;MDI (MDIENERGIA);33;2.0500;0.0000;0.00;19131;39218.55
2026-09-11;12:22:00;MDI;MDI (MDIENERGIA);34;2.1300;0.0000;0.00;6;12.78
2026-09-11;12:29:00;MDI;MDI (MDIENERGIA);35;2.0700;0.0000;0.00;1;2.07
2026-09-11;12:30:00;MDI;MDI (MDIENERGIA);36;2.1100;0.0000;0.00;100;211.00
2026-09-11;13:05:00;MDI;MDI (MDIENERGIA);37;2.0900;0.0000;0.00;470;982.30
2026-09-11;13:19:00;MDI;MDI (MDIENERGIA);38;2.1100;0.0000;0.00;1245;2626.95
2026-09-11;13:25:00;MDI;MDI (MDIENERGIA);39;2.1200;0.0000;0.00;50;106.00
2026-09-11;13:26:00;MDI;MDI (MDIENERGIA);40;2.1200;0.0000;0.00;14;29.68
2026-09-11;13:29:00;MDI;MDI (MDIENERGIA);41;2.1200;0.0000;0.00;475;1007.00
2026-09-11;13:31:00;MDI;MDI (MDIENERGIA);42;2.1200;0.0000;0.00;1020;2162.40
2026-09-11;13:38:00;MDI;MDI (MDIENERGIA);43;2.0900;0.0000;0.00;400;836.00
2026-09-11;13:43:00;MDI;MDI (MDIENERGIA);44;2.1200;0.0000;0.00;1;2.12
2026-09-11;14:09:00;MDI;MDI (MDIENERGIA);45;2.1000;0.0000;0.00;30;63.00
2026-09-11;14:10:00;MDI;MDI (MDIENERGIA);46;2.1100;0.0000;0.00;570;1202.70
2026-09-11;14:22:00;MDI;MDI (MDIENERGIA);47;2.1200;0.0000;0.00;47;99.64
2026-09-11;14:28:00;MDI;MDI (MDIENERGIA);48;2.1200;0.0000;0.00;560;1187.20
2026-09-11;14:30:00;MDI;MDI (MDIENERGIA);49;2.1200;0.0000;0.00;300;636.00
2026-09-11;14:31:00;MDI;MDI (MDIENERGIA);50;2.1200;0.0000;0.00;1179;2499.48
2026-09-11;14:33:00;MDI;MDI (MDIENERGIA);51;2.1200;0.0000;0.00;21;44.52
2026-09-11;14:50:00;MDI;MDI (MDIENERGIA);52;2.1400;0.0100;0.47;1000;2139.00
2026-09-11;14:51:00;MDI;MDI (MDIENERGIA);53;2.1500;0.0000;0.00;1197;2573.55
2026-09-11;14:57:00;MDI;MDI (MDIENERGIA);54;2.1500;0.0000;0.00;300;645.00
2026-09-11;14:58:00;MDI;MDI (MDIENERGIA);55;2.1500;0.0000;0.00;300;645.00
2026-09-11;15:00:00;MDI;MDI (MDIENERGIA);56;2.1300;0.0000;0.00;60;127.80
2026-09-11;15:01:00;MDI;MDI (MDIENERGIA);57;2.1500;0.0000;0.00;420;903.00
2026-09-11;15:02:00;MDI;MDI (MDIENERGIA);58;2.1600;0.0000;0.00;900;1944.00
