Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-10;09:00:00;MDV;MDV (MODIVO);1;88.6600;0.0200;0.02;850;75345.02
2026-09-10;09:01:00;MDV;MDV (MODIVO);2;88.5000;-0.1400;-0.16;305;27017.44
2026-09-10;09:02:00;MDV;MDV (MODIVO);3;88.6400;-0.0200;-0.02;154;13650.60
2026-09-10;09:03:00;MDV;MDV (MODIVO);4;88.7600;0.0000;0.00;13;1153.88
2026-09-10;09:04:00;MDV;MDV (MODIVO);5;88.7600;0.0800;0.09;167;14817.78
2026-09-10;09:05:00;MDV;MDV (MODIVO);6;88.7600;0.0000;0.00;147;13028.88
2026-09-10;09:06:00;MDV;MDV (MODIVO);7;88.8000;0.0400;0.05;146;12961.20
2026-09-10;09:07:00;MDV;MDV (MODIVO);8;88.6600;-0.1400;-0.16;51;4523.74
2026-09-10;09:08:00;MDV;MDV (MODIVO);9;89.1200;0.4800;0.54;2220;197472.74
2026-09-10;09:09:00;MDV;MDV (MODIVO);10;89.6600;0.5400;0.61;2741;245163.08
2026-09-10;09:10:00;MDV;MDV (MODIVO);11;89.7000;0.0000;0.00;1885;168862.50
2026-09-10;09:11:00;MDV;MDV (MODIVO);12;89.8000;0.2000;0.22;1731;155315.30
2026-09-10;09:12:00;MDV;MDV (MODIVO);13;90.5600;0.7600;0.85;5156;465100.32
2026-09-10;09:13:00;MDV;MDV (MODIVO);14;91.2400;0.6800;0.75;6140;558456.84
2026-09-10;09:14:00;MDV;MDV (MODIVO);15;91.3600;0.1000;0.11;2184;199313.22
2026-09-10;09:15:00;MDV;MDV (MODIVO);16;91.1400;-0.1800;-0.20;1438;131172.32
2026-09-10;09:16:00;MDV;MDV (MODIVO);17;91.0200;-0.1000;-0.11;12004;1095739.98
2026-09-10;09:17:00;MDV;MDV (MODIVO);18;91.1600;-0.0200;-0.02;7092;645107.42
2026-09-10;09:18:00;MDV;MDV (MODIVO);19;91.1600;-0.0800;-0.09;578;52677.02
2026-09-10;09:19:00;MDV;MDV (MODIVO);20;92.0200;0.9200;1.01;20684;1893615.79
2026-09-10;09:20:00;MDV;MDV (MODIVO);21;92.0400;0.0200;0.02;14074;1294511.52
2026-09-10;09:21:00;MDV;MDV (MODIVO);22;91.9000;-0.2600;-0.28;5812;534407.80
2026-09-10;09:22:00;MDV;MDV (MODIVO);23;91.9200;0.0600;0.07;4406;404845.04
2026-09-10;09:23:00;MDV;MDV (MODIVO);24;91.8400;-0.1000;-0.11;2464;226236.38
2026-09-10;09:24:00;MDV;MDV (MODIVO);25;91.7400;-0.1000;-0.11;1713;157360.98
2026-09-10;09:25:00;MDV;MDV (MODIVO);26;91.6800;-0.0200;-0.02;672;61607.64
2026-09-10;09:26:00;MDV;MDV (MODIVO);27;91.4400;-0.1800;-0.20;832;76145.24
2026-09-10;09:27:00;MDV;MDV (MODIVO);28;91.5600;0.2000;0.22;8457;773092.53
2026-09-10;09:28:00;MDV;MDV (MODIVO);29;91.3000;-0.2600;-0.28;2120;193752.70
2026-09-10;09:29:00;MDV;MDV (MODIVO);30;91.5000;0.2400;0.26;3265;298098.94
2026-09-10;09:30:00;MDV;MDV (MODIVO);31;91.9000;0.5600;0.61;6406;586858.62
2026-09-10;09:31:00;MDV;MDV (MODIVO);32;92.0000;0.2200;0.24;4272;392457.30
2026-09-10;09:32:00;MDV;MDV (MODIVO);33;92.2000;0.2600;0.28;6466;595541.92
2026-09-10;09:33:00;MDV;MDV (MODIVO);34;92.0800;-0.1200;-0.13;3666;337951.16
2026-09-10;09:34:00;MDV;MDV (MODIVO);35;92.0800;0.0200;0.02;9869;908240.86
2026-09-10;09:35:00;MDV;MDV (MODIVO);36;91.8200;-0.2800;-0.30;4945;454533.46
2026-09-10;09:36:00;MDV;MDV (MODIVO);37;92.0200;0.2400;0.26;2015;185171.68
2026-09-10;09:37:00;MDV;MDV (MODIVO);38;91.9400;-0.0600;-0.07;1727;158691.46
2026-09-10;09:38:00;MDV;MDV (MODIVO);39;91.9400;0.0600;0.07;494;45389.92
2026-09-10;09:39:00;MDV;MDV (MODIVO);40;91.9400;0.0000;0.00;1254;115312.62
2026-09-10;09:40:00;MDV;MDV (MODIVO);41;91.9000;-0.0400;-0.04;1057;97165.52
2026-09-10;09:41:00;MDV;MDV (MODIVO);42;91.6800;-0.1800;-0.20;881;80824.38
2026-09-10;09:42:00;MDV;MDV (MODIVO);43;91.0000;-0.6200;-0.68;10118;923728.94
2026-09-10;09:43:00;MDV;MDV (MODIVO);44;91.0400;-0.0200;-0.02;1560;142011.08
2026-09-10;09:44:00;MDV;MDV (MODIVO);45;91.0000;-0.0400;-0.04;186;16929.34
2026-09-10;09:45:00;MDV;MDV (MODIVO);46;91.0000;0.0800;0.09;2224;202256.84
2026-09-10;09:46:00;MDV;MDV (MODIVO);47;90.9200;-0.0800;-0.09;163;14823.16
2026-09-10;09:47:00;MDV;MDV (MODIVO);48;90.9200;0.0000;0.00;20;1818.40
2026-09-10;09:48:00;MDV;MDV (MODIVO);49;91.0000;0.1000;0.11;2080;189101.34
2026-09-10;09:49:00;MDV;MDV (MODIVO);50;91.0000;0.0200;0.02;48;4367.98
2026-09-10;09:50:00;MDV;MDV (MODIVO);51;91.1600;0.1600;0.18;1619;147626.92
2026-09-10;09:51:00;MDV;MDV (MODIVO);52;91.1600;0.0200;0.02;120;10937.82
2026-09-10;09:52:00;MDV;MDV (MODIVO);53;91.0000;-0.1600;-0.18;477;43436.60
2026-09-10;09:53:00;MDV;MDV (MODIVO);54;91.1800;0.1200;0.13;1371;125075.08
2026-09-10;09:54:00;MDV;MDV (MODIVO);55;91.3600;0.1400;0.15;371;33874.12
2026-09-10;09:55:00;MDV;MDV (MODIVO);56;91.3600;-0.0200;-0.02;1060;96837.96
2026-09-10;09:56:00;MDV;MDV (MODIVO);57;91.3200;-0.0400;-0.04;194;17713.46
2026-09-10;09:57:00;MDV;MDV (MODIVO);58;90.9800;-0.3400;-0.37;3884;354446.54
2026-09-10;09:58:00;MDV;MDV (MODIVO);59;91.1200;0.1400;0.15;2253;205009.32
2026-09-10;09:59:00;MDV;MDV (MODIVO);60;91.3000;0.2200;0.24;899;81987.18
2026-09-10;10:00:00;MDV;MDV (MODIVO);61;91.6600;0.3200;0.35;20402;1871464.51
2026-09-10;10:01:00;MDV;MDV (MODIVO);62;91.7000;0.0400;0.04;3710;340068.10
2026-09-10;10:02:00;MDV;MDV (MODIVO);63;91.5800;-0.1000;-0.11;208;19057.56
2026-09-10;10:03:00;MDV;MDV (MODIVO);64;91.6000;0.0800;0.09;889;81436.82
2026-09-10;10:04:00;MDV;MDV (MODIVO);65;91.6200;0.0000;0.00;233;21343.32
2026-09-10;10:05:00;MDV;MDV (MODIVO);66;91.5200;-0.0800;-0.09;119;10900.00
2026-09-10;10:06:00;MDV;MDV (MODIVO);67;91.3000;-0.3000;-0.33;1222;111780.24
2026-09-10;10:08:00;MDV;MDV (MODIVO);68;91.1400;-0.1200;-0.13;243;22165.94
2026-09-10;10:09:00;MDV;MDV (MODIVO);69;91.0000;0.0000;0.00;45;4095.00
2026-09-10;10:10:00;MDV;MDV (MODIVO);70;90.8800;-0.0400;-0.04;425;38606.84
2026-09-10;10:11:00;MDV;MDV (MODIVO);71;90.8800;0.0800;0.09;5669;514153.21
2026-09-10;10:12:00;MDV;MDV (MODIVO);72;90.8000;-0.1000;-0.11;74;6725.18
2026-09-10;10:14:00;MDV;MDV (MODIVO);73;90.8000;0.0000;0.00;151;13707.90
2026-09-10;10:15:00;MDV;MDV (MODIVO);74;90.7200;-0.0200;-0.02;189;17146.92
2026-09-10;10:16:00;MDV;MDV (MODIVO);75;90.7200;0.0000;0.00;27;2449.44
