Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-10;09:00:00;MENNICA-POLSKA;MNC (MENNICA);1;42.5000;0.4000;0.95;93;3931.70
2026-08-10;09:02:00;MENNICA-POLSKA;MNC (MENNICA);2;42.4000;0.0000;0.00;40;1696.00
2026-08-10;09:05:00;MENNICA-POLSKA;MNC (MENNICA);3;42.5000;0.1000;0.24;47;1995.50
2026-08-10;09:06:00;MENNICA-POLSKA;MNC (MENNICA);4;42.5000;0.0000;0.00;3;127.50
2026-08-10;09:09:00;MENNICA-POLSKA;MNC (MENNICA);5;42.5000;0.0000;0.00;39;1657.50
2026-08-10;09:12:00;MENNICA-POLSKA;MNC (MENNICA);6;42.5000;0.0000;0.00;62;2635.00
2026-08-10;09:17:00;MENNICA-POLSKA;MNC (MENNICA);7;42.5000;0.0000;0.00;2;85.00
2026-08-10;09:19:00;MENNICA-POLSKA;MNC (MENNICA);8;42.5000;0.0000;0.00;30;1275.00
2026-08-10;09:22:00;MENNICA-POLSKA;MNC (MENNICA);9;42.5000;0.0000;0.00;11;467.50
2026-08-10;09:25:00;MENNICA-POLSKA;MNC (MENNICA);10;42.5000;0.0000;0.00;1;42.50
2026-08-10;09:26:00;MENNICA-POLSKA;MNC (MENNICA);11;42.4000;0.0000;0.00;8;339.20
2026-08-10;09:30:00;MENNICA-POLSKA;MNC (MENNICA);12;42.5000;0.0000;0.00;1;42.50
2026-08-10;09:32:00;MENNICA-POLSKA;MNC (MENNICA);13;42.4000;-0.1000;-0.24;128;5427.70
2026-08-10;09:33:00;MENNICA-POLSKA;MNC (MENNICA);14;42.1000;0.0000;0.00;13;547.30
2026-08-10;09:34:00;MENNICA-POLSKA;MNC (MENNICA);15;40.6000;-1.5000;-3.56;660;27330.30
2026-08-10;09:40:00;MENNICA-POLSKA;MNC (MENNICA);16;41.1000;0.0000;0.00;9;369.90
2026-08-10;09:45:00;MENNICA-POLSKA;MNC (MENNICA);17;41.5000;0.0000;0.00;3;124.50
2026-08-10;09:50:00;MENNICA-POLSKA;MNC (MENNICA);18;41.5000;0.0000;0.00;197;8175.50
2026-08-10;09:52:00;MENNICA-POLSKA;MNC (MENNICA);19;42.5000;0.6000;1.43;322;13655.60
2026-08-10;09:57:00;MENNICA-POLSKA;MNC (MENNICA);20;42.5000;0.0000;0.00;30;1275.00
2026-08-10;10:00:00;MENNICA-POLSKA;MNC (MENNICA);21;42.8000;0.1000;0.23;23;983.50
2026-08-10;10:04:00;MENNICA-POLSKA;MNC (MENNICA);22;42.8000;0.0000;0.00;2;85.60
2026-08-10;10:07:00;MENNICA-POLSKA;MNC (MENNICA);23;42.5000;0.0000;0.00;1;42.50
2026-08-10;10:08:00;MENNICA-POLSKA;MNC (MENNICA);24;42.8000;0.0000;0.00;2;85.60
2026-08-10;10:11:00;MENNICA-POLSKA;MNC (MENNICA);25;42.8000;0.1000;0.23;103;4401.80
2026-08-10;10:15:00;MENNICA-POLSKA;MNC (MENNICA);26;42.8000;0.0000;0.00;866;37064.80
2026-08-10;10:26:00;MENNICA-POLSKA;MNC (MENNICA);27;42.1000;-0.3000;-0.71;12;506.70
2026-08-10;10:28:00;MENNICA-POLSKA;MNC (MENNICA);28;42.7000;0.0000;0.00;2;85.40
2026-08-10;10:34:00;MENNICA-POLSKA;MNC (MENNICA);29;42.8000;0.1000;0.23;40;1711.50
2026-08-10;10:36:00;MENNICA-POLSKA;MNC (MENNICA);30;42.8000;0.0000;0.00;5;214.00
2026-08-10;10:46:00;MENNICA-POLSKA;MNC (MENNICA);31;42.1000;0.0000;0.00;4;168.40
2026-08-10;10:50:00;MENNICA-POLSKA;MNC (MENNICA);32;42.8000;0.1000;0.23;200;8555.00
2026-08-10;10:56:00;MENNICA-POLSKA;MNC (MENNICA);33;41.5000;-0.6000;-1.43;496;20652.40
2026-08-10;10:57:00;MENNICA-POLSKA;MNC (MENNICA);34;42.7000;0.0000;0.00;2;85.40
2026-08-10;12:07:00;MENNICA-POLSKA;MNC (MENNICA);35;42.6000;0.0000;0.00;23;979.80
2026-08-10;12:10:00;MENNICA-POLSKA;MNC (MENNICA);36;42.5000;0.0000;0.00;70;2975.00
2026-08-10;12:24:00;MENNICA-POLSKA;MNC (MENNICA);37;42.6000;0.0000;0.00;2;85.20
2026-08-10;13:03:00;MENNICA-POLSKA;MNC (MENNICA);38;41.9000;0.0000;0.00;15;628.50
2026-08-10;13:10:00;MENNICA-POLSKA;MNC (MENNICA);39;42.5000;0.0000;0.00;8;340.00
2026-08-10;13:12:00;MENNICA-POLSKA;MNC (MENNICA);40;42.5000;0.0000;0.00;2;85.00
2026-08-10;13:14:00;MENNICA-POLSKA;MNC (MENNICA);41;42.5000;0.0000;0.00;10;425.00
2026-08-10;13:17:00;MENNICA-POLSKA;MNC (MENNICA);42;42.5000;0.0000;0.00;27;1147.50
2026-08-10;13:18:00;MENNICA-POLSKA;MNC (MENNICA);43;41.9000;0.0000;0.00;38;1592.20
2026-08-10;13:21:00;MENNICA-POLSKA;MNC (MENNICA);44;41.9000;0.0000;0.00;26;1089.40
2026-08-10;14:16:00;MENNICA-POLSKA;MNC (MENNICA);45;42.4000;0.0000;0.00;1;42.40
2026-08-10;14:34:00;MENNICA-POLSKA;MNC (MENNICA);46;42.4000;0.4000;0.95;260;10924.00
2026-08-10;15:18:00;MENNICA-POLSKA;MNC (MENNICA);47;42.5000;0.4000;0.95;65;2758.20
2026-08-10;15:25:00;MENNICA-POLSKA;MNC (MENNICA);48;42.5000;0.0000;0.00;4;170.00
2026-08-10;15:31:00;MENNICA-POLSKA;MNC (MENNICA);49;42.5000;0.0000;0.00;6;255.00
