Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-03;09:00:00;MERCATOR;MRC (MERCATOR);1;50.7000;0.0000;0.00;359;18201.30
2026-08-03;09:05:00;MERCATOR;MRC (MERCATOR);2;51.1000;0.0000;0.00;10;511.00
2026-08-03;09:07:00;MERCATOR;MRC (MERCATOR);3;51.1000;0.0000;0.00;1;51.10
2026-08-03;09:13:00;MERCATOR;MRC (MERCATOR);4;51.1000;0.0000;0.00;30;1533.00
2026-08-03;09:17:00;MERCATOR;MRC (MERCATOR);5;51.2000;0.4000;0.79;68;3478.00
2026-08-03;09:18:00;MERCATOR;MRC (MERCATOR);6;50.8000;0.0000;0.00;11;558.80
2026-08-03;09:27:00;MERCATOR;MRC (MERCATOR);7;51.2000;0.0000;0.00;48;2457.60
2026-08-03;09:40:00;MERCATOR;MRC (MERCATOR);8;51.2000;0.0000;0.00;107;5478.40
2026-08-03;09:45:00;MERCATOR;MRC (MERCATOR);9;51.3000;0.1000;0.20;25;1280.30
2026-08-03;10:46:00;MERCATOR;MRC (MERCATOR);10;51.3000;0.0000;0.00;65;3334.50
2026-08-03;11:21:00;MERCATOR;MRC (MERCATOR);11;51.4000;0.0000;0.00;206;10588.40
2026-08-03;11:27:00;MERCATOR;MRC (MERCATOR);12;51.6000;0.1000;0.19;88;4536.10
2026-08-03;11:29:00;MERCATOR;MRC (MERCATOR);13;51.6000;0.0000;0.00;20;1032.00
2026-08-03;11:30:00;MERCATOR;MRC (MERCATOR);14;51.6000;0.0000;0.00;239;12332.40
2026-08-03;11:31:00;MERCATOR;MRC (MERCATOR);15;52.0000;0.2000;0.39;250;12980.00
2026-08-03;11:34:00;MERCATOR;MRC (MERCATOR);16;51.6000;0.0000;0.00;50;2580.00
2026-08-03;11:38:00;MERCATOR;MRC (MERCATOR);17;51.6000;0.0000;0.00;31;1599.60
2026-08-03;11:45:00;MERCATOR;MRC (MERCATOR);18;51.6000;0.0000;0.00;10;516.00
2026-08-03;12:02:00;MERCATOR;MRC (MERCATOR);19;51.6000;0.0000;0.00;5;258.00
2026-08-03;12:10:00;MERCATOR;MRC (MERCATOR);20;51.8000;0.0000;0.00;303;15695.40
2026-08-03;12:26:00;MERCATOR;MRC (MERCATOR);21;51.7000;0.0000;0.00;20;1034.00
2026-08-03;12:48:00;MERCATOR;MRC (MERCATOR);22;51.6000;0.0000;0.00;3;154.80
2026-08-03;12:50:00;MERCATOR;MRC (MERCATOR);23;51.4000;-0.2000;-0.39;125;6435.60
2026-08-03;13:14:00;MERCATOR;MRC (MERCATOR);24;51.4000;0.0000;0.00;199;10228.60
2026-08-03;13:15:00;MERCATOR;MRC (MERCATOR);25;51.4000;0.0000;0.00;1;51.40
2026-08-03;13:18:00;MERCATOR;MRC (MERCATOR);26;51.6000;0.0000;0.00;1;51.60
2026-08-03;13:28:00;MERCATOR;MRC (MERCATOR);27;51.7000;0.1000;0.19;122;6304.50
2026-08-03;13:35:00;MERCATOR;MRC (MERCATOR);28;51.8000;0.1000;0.19;105;5438.50
2026-08-03;13:39:00;MERCATOR;MRC (MERCATOR);29;51.9000;0.0000;0.00;27;1401.30
2026-08-03;13:57:00;MERCATOR;MRC (MERCATOR);30;51.9000;0.1000;0.19;100;5185.00
2026-08-03;14:03:00;MERCATOR;MRC (MERCATOR);31;51.5000;0.0000;0.00;1;51.50
2026-08-03;14:08:00;MERCATOR;MRC (MERCATOR);32;52.1000;0.2000;0.39;465;24173.80
2026-08-03;14:18:00;MERCATOR;MRC (MERCATOR);33;51.8000;0.0000;0.00;100;5180.00
2026-08-03;14:21:00;MERCATOR;MRC (MERCATOR);34;52.1000;0.0000;0.00;30;1563.00
2026-08-03;14:48:00;MERCATOR;MRC (MERCATOR);35;52.1000;0.0000;0.00;73;3803.30
2026-08-03;14:53:00;MERCATOR;MRC (MERCATOR);36;51.8000;0.0000;0.00;313;16213.40
2026-08-03;15:00:00;MERCATOR;MRC (MERCATOR);37;51.7000;0.0000;0.00;57;2946.90
2026-08-03;15:05:00;MERCATOR;MRC (MERCATOR);38;52.0000;0.0000;0.00;32;1664.00
2026-08-03;16:30:00;MERCATOR;MRC (MERCATOR);39;51.8000;0.0000;0.00;43;2227.40
2026-08-03;16:47:00;MERCATOR;MRC (MERCATOR);40;51.6000;0.0000;0.00;4;206.40
2026-08-03;17:00:00;MERCATOR;MRC (MERCATOR);41;52.0000;0.0000;0.00;342;17784.00
2026-08-03;17:01:00;MERCATOR;MRC (MERCATOR);42;52.0000;0.0000;0.00;100;5200.00
