Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-13;09:00:00;MERCOR;MCR;1;15.1500;0.0000;0.00;145;2196.75
2026-08-13;09:13:00;MERCOR;MCR;2;15.1500;0.0000;0.00;60;909.00
2026-08-13;09:26:00;MERCOR;MCR;3;15.0500;-0.0500;-0.33;74;1114.05
2026-08-13;09:28:00;MERCOR;MCR;4;15.0500;0.0000;0.00;33;496.65
2026-08-13;09:29:00;MERCOR;MCR;5;15.0500;0.0000;0.00;10;150.50
2026-08-13;09:34:00;MERCOR;MCR;6;15.1500;0.0000;0.00;57;863.55
2026-08-13;10:03:00;MERCOR;MCR;7;15.0500;0.0000;0.00;1;15.05
2026-08-13;12:48:00;MERCOR;MCR;8;15.0500;0.0000;0.00;50;752.50
2026-08-13;13:12:00;MERCOR;MCR;9;15.1000;0.0000;0.00;2;30.20
2026-08-13;13:16:00;MERCOR;MCR;10;15.0500;0.0000;0.00;17;255.85
2026-08-13;13:17:00;MERCOR;MCR;11;15.1000;0.0000;0.00;2;30.20
2026-08-13;13:39:00;MERCOR;MCR;12;15.0500;0.0000;0.00;7;105.35
2026-08-13;15:14:00;MERCOR;MCR;13;15.1500;0.0500;0.33;205;3105.30
2026-08-13;15:29:00;MERCOR;MCR;14;15.0500;0.0000;0.00;6;90.30
2026-08-13;16:14:00;MERCOR;MCR;15;15.1000;0.0000;0.00;102;1540.20
2026-08-13;16:30:00;MERCOR;MCR;16;15.1500;0.0000;0.00;10;151.50
2026-08-13;17:00:00;MERCOR;MCR;17;15.1000;0.0000;0.00;98;1479.80
