Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-10;09:00:00;MEX-POLSKA;MEX (MEXPOLSKA);1;3.4200;0.0000;0.00;126;430.92
2026-08-10;09:12:00;MEX-POLSKA;MEX (MEXPOLSKA);2;3.4500;0.0000;0.00;9;31.05
2026-08-10;09:26:00;MEX-POLSKA;MEX (MEXPOLSKA);3;3.4500;0.0000;0.00;10;34.50
2026-08-10;09:27:00;MEX-POLSKA;MEX (MEXPOLSKA);4;3.4500;0.0000;0.00;15;51.75
2026-08-10;10:08:00;MEX-POLSKA;MEX (MEXPOLSKA);5;3.4300;0.0000;0.00;400;1372.00
2026-08-10;10:15:00;MEX-POLSKA;MEX (MEXPOLSKA);6;3.5300;0.0400;1.15;273;963.29
2026-08-10;11:21:00;MEX-POLSKA;MEX (MEXPOLSKA);7;3.4300;-0.0100;-0.29;100;343.15
2026-08-10;11:28:00;MEX-POLSKA;MEX (MEXPOLSKA);8;3.4000;-0.0300;-0.87;5000;17100.99
2026-08-10;12:18:00;MEX-POLSKA;MEX (MEXPOLSKA);9;3.4200;0.0000;0.00;100;342.00
2026-08-10;12:45:00;MEX-POLSKA;MEX (MEXPOLSKA);10;3.4200;0.0000;0.00;1;3.42
2026-08-10;12:46:00;MEX-POLSKA;MEX (MEXPOLSKA);11;3.4200;0.0000;0.00;1;3.42
2026-08-10;13:17:00;MEX-POLSKA;MEX (MEXPOLSKA);12;3.4200;0.0000;0.00;1;3.42
2026-08-10;14:12:00;MEX-POLSKA;MEX (MEXPOLSKA);13;3.4200;0.0000;0.00;1047;3580.74
2026-08-10;14:16:00;MEX-POLSKA;MEX (MEXPOLSKA);14;3.5000;0.0000;0.00;10;35.00
2026-08-10;15:15:00;MEX-POLSKA;MEX (MEXPOLSKA);15;3.4000;-0.0100;-0.29;130;442.01
2026-08-10;17:00:00;MEX-POLSKA;MEX (MEXPOLSKA);16;3.5000;0.0000;0.00;10;35.00
