Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-19;09:00:00;MFO;MFO;1;32.0000;0.0000;0.00;1;32.00
2026-08-19;09:16:00;MFO;MFO;2;31.9000;0.0000;0.00;102;3253.80
2026-08-19;09:19:00;MFO;MFO;3;32.0000;0.0000;0.00;527;16864.00
2026-08-19;09:21:00;MFO;MFO;4;32.3000;0.0000;0.00;150;4845.00
2026-08-19;09:26:00;MFO;MFO;5;32.0000;0.0000;0.00;73;2336.00
2026-08-19;09:39:00;MFO;MFO;6;31.9000;0.0000;0.00;10;319.00
2026-08-19;09:41:00;MFO;MFO;7;31.3000;-0.5000;-1.57;509;16000.60
2026-08-19;10:06:00;MFO;MFO;8;31.8000;0.0000;0.00;25;795.00
2026-08-19;10:14:00;MFO;MFO;9;31.8000;0.0000;0.00;25;795.00
2026-08-19;11:17:00;MFO;MFO;10;31.8000;0.0000;0.00;10;318.00
2026-08-19;11:29:00;MFO;MFO;11;31.8000;0.0000;0.00;4;127.20
2026-08-19;12:05:00;MFO;MFO;12;31.8000;0.0000;0.00;10;318.00
2026-08-19;13:05:00;MFO;MFO;13;31.5000;0.0000;0.00;4;126.00
2026-08-19;13:59:00;MFO;MFO;14;31.2000;-0.3000;-0.95;100;3129.90
2026-08-19;15:06:00;MFO;MFO;15;31.8000;0.0000;0.00;315;10017.00
2026-08-19;16:43:00;MFO;MFO;16;31.9000;0.0000;0.00;50;1595.00
2026-08-19;17:00:00;MFO;MFO;17;31.3000;0.0000;0.00;481;15055.30
