Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-31;09:00:00;MGT;MGT (MANGATA);1;64.0000;0.0000;0.00;2;128.00
2026-07-31;12:57:00;MGT;MGT (MANGATA);2;63.6000;0.0000;0.00;4;254.40
2026-07-31;12:58:00;MGT;MGT (MANGATA);3;63.8000;0.0000;0.00;10;638.00
2026-07-31;13:16:00;MGT;MGT (MANGATA);4;63.6000;0.0000;0.00;36;2289.60
2026-07-31;13:18:00;MGT;MGT (MANGATA);5;63.4000;0.0000;0.00;88;5579.20
2026-07-31;13:32:00;MGT;MGT (MANGATA);6;63.2000;0.0000;0.00;87;5498.40
2026-07-31;14:46:00;MGT;MGT (MANGATA);7;64.0000;0.0000;0.00;2;128.00
2026-07-31;16:22:00;MGT;MGT (MANGATA);8;63.2000;-0.2000;-0.32;76;4803.40
2026-07-31;16:23:00;MGT;MGT (MANGATA);9;63.2000;0.0000;0.00;12;758.40
2026-07-31;17:00:00;MGT;MGT (MANGATA);10;63.0000;0.0000;0.00;150;9450.00
