Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-25;09:00:00;MIRBUD;MRB (MIRBUD);1;12.9000;-0.0500;-0.39;1175;15186.25
2026-08-25;09:02:00;MIRBUD;MRB (MIRBUD);2;12.9500;0.0000;0.00;68;880.60
2026-08-25;09:03:00;MIRBUD;MRB (MIRBUD);3;12.9700;0.0200;0.15;2665;34543.33
2026-08-25;09:04:00;MIRBUD;MRB (MIRBUD);4;13.0200;0.0500;0.39;3377;43870.15
2026-08-25;09:05:00;MIRBUD;MRB (MIRBUD);5;12.9500;-0.0400;-0.31;1954;25315.62
2026-08-25;09:06:00;MIRBUD;MRB (MIRBUD);6;12.9600;-0.0100;-0.08;388;5030.02
2026-08-25;09:07:00;MIRBUD;MRB (MIRBUD);7;12.9800;0.0000;0.00;19;246.62
2026-08-25;09:08:00;MIRBUD;MRB (MIRBUD);8;12.9100;-0.0400;-0.31;570;7377.50
2026-08-25;09:09:00;MIRBUD;MRB (MIRBUD);9;12.9500;0.0400;0.31;188;2430.60
2026-08-25;09:10:00;MIRBUD;MRB (MIRBUD);10;12.9600;0.0100;0.08;106;1373.40
2026-08-25;09:11:00;MIRBUD;MRB (MIRBUD);11;12.8800;-0.0300;-0.23;2528;32619.07
2026-08-25;09:13:00;MIRBUD;MRB (MIRBUD);12;12.9200;0.0400;0.31;477;6154.84
2026-08-25;09:14:00;MIRBUD;MRB (MIRBUD);13;12.8900;-0.0400;-0.31;164;2118.92
2026-08-25;09:17:00;MIRBUD;MRB (MIRBUD);14;12.9200;0.0000;0.00;126;1627.92
2026-08-25;09:18:00;MIRBUD;MRB (MIRBUD);15;12.8600;-0.0200;-0.16;2947;37892.59
2026-08-25;09:20:00;MIRBUD;MRB (MIRBUD);16;12.8200;0.0000;0.00;10;128.20
2026-08-25;09:24:00;MIRBUD;MRB (MIRBUD);17;12.8600;0.0100;0.08;1000;12859.90
2026-08-25;09:26:00;MIRBUD;MRB (MIRBUD);18;12.8700;0.0000;0.00;1;12.87
2026-08-25;09:28:00;MIRBUD;MRB (MIRBUD);19;12.8600;0.0000;0.00;2;25.72
2026-08-25;09:29:00;MIRBUD;MRB (MIRBUD);20;12.8600;0.0000;0.00;10;128.60
2026-08-25;09:36:00;MIRBUD;MRB (MIRBUD);21;12.8200;0.0000;0.00;92;1179.44
2026-08-25;09:37:00;MIRBUD;MRB (MIRBUD);22;12.8600;0.0000;0.00;2;25.72
2026-08-25;09:43:00;MIRBUD;MRB (MIRBUD);23;12.8600;0.0000;0.00;7;90.02
2026-08-25;09:44:00;MIRBUD;MRB (MIRBUD);24;12.8600;0.0000;0.00;10;128.60
2026-08-25;09:46:00;MIRBUD;MRB (MIRBUD);25;12.8100;-0.0100;-0.08;90;1153.22
2026-08-25;09:48:00;MIRBUD;MRB (MIRBUD);26;12.8600;0.0400;0.31;200;2564.40
2026-08-25;09:52:00;MIRBUD;MRB (MIRBUD);27;12.8100;0.0000;0.00;250;3202.50
