Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:00:00;MLK;MLK (MILKILAND);1;1.5400;0.0000;0.00;265;408.10
2026-09-04;09:01:00;MLK;MLK (MILKILAND);2;1.5900;0.0020;0.13;120;190.60
2026-09-04;09:14:00;MLK;MLK (MILKILAND);3;1.5420;0.0000;0.00;13;20.05
2026-09-04;09:20:00;MLK;MLK (MILKILAND);4;1.5900;0.0020;0.13;300;476.60
2026-09-04;11:21:00;MLK;MLK (MILKILAND);5;1.5400;-0.0020;-0.13;681;1049.11
2026-09-04;11:34:00;MLK;MLK (MILKILAND);6;1.5900;0.0500;3.25;3622;5582.88
2026-09-04;12:28:00;MLK;MLK (MILKILAND);7;1.5220;-0.0280;-1.81;500;763.18
2026-09-04;12:38:00;MLK;MLK (MILKILAND);8;1.5880;0.0000;0.00;100;158.80
2026-09-04;14:03:00;MLK;MLK (MILKILAND);9;1.5800;0.0000;0.00;478;755.24
2026-09-04;16:46:00;MLK;MLK (MILKILAND);10;1.5300;0.0000;0.00;4000;6120.00
2026-09-04;16:47:00;MLK;MLK (MILKILAND);11;1.5300;0.0000;0.00;1293;1978.29
2026-09-04;16:49:00;MLK;MLK (MILKILAND);12;1.5780;0.0480;3.14;1000;1544.06
