Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;MLP-GROUP;MLG (MLPGROUP);1;105.0000;0.0000;0.00;2;210.00
2026-08-05;09:04:00;MLP-GROUP;MLG (MLPGROUP);2;105.0000;0.0000;0.00;48;5040.00
2026-08-05;09:06:00;MLP-GROUP;MLG (MLPGROUP);3;105.0000;0.0000;0.00;113;11865.00
2026-08-05;09:32:00;MLP-GROUP;MLG (MLPGROUP);4;105.0000;0.0000;0.00;78;8190.00
2026-08-05;10:19:00;MLP-GROUP;MLG (MLPGROUP);5;105.5000;0.0000;0.00;15;1582.50
2026-08-05;10:28:00;MLP-GROUP;MLG (MLPGROUP);6;105.5000;0.0000;0.00;21;2215.50
2026-08-05;10:49:00;MLP-GROUP;MLG (MLPGROUP);7;105.0000;-0.5000;-0.47;205;21582.00
2026-08-05;10:52:00;MLP-GROUP;MLG (MLPGROUP);8;105.0000;0.0000;0.00;105;11025.00
2026-08-05;11:12:00;MLP-GROUP;MLG (MLPGROUP);9;105.0000;0.0000;0.00;8;840.00
2026-08-05;12:34:00;MLP-GROUP;MLG (MLPGROUP);10;105.0000;0.0000;0.00;8;840.00
2026-08-05;14:49:00;MLP-GROUP;MLG (MLPGROUP);11;105.0000;0.0000;0.00;25;2625.00
2026-08-05;15:35:00;MLP-GROUP;MLG (MLPGROUP);12;105.0000;0.0000;0.00;1;105.00
2026-08-05;16:03:00;MLP-GROUP;MLG (MLPGROUP);13;105.0000;0.0000;0.00;1;105.00
2026-08-05;16:44:00;MLP-GROUP;MLG (MLPGROUP);14;105.0000;0.0000;0.00;43;4515.00
