Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;09:00:00;MLS;MLS (MLSYSTEM);1;15.0000;0.0000;0.00;8;120.00
2026-07-23;09:02:00;MLS;MLS (MLSYSTEM);2;14.8800;0.0000;0.00;12;178.56
2026-07-23;09:39:00;MLS;MLS (MLSYSTEM);3;14.8800;0.0000;0.00;28;416.64
2026-07-23;10:44:00;MLS;MLS (MLSYSTEM);4;14.8800;0.0000;0.00;27;401.76
2026-07-23;12:31:00;MLS;MLS (MLSYSTEM);5;14.8800;0.0000;0.00;67;996.96
2026-07-23;12:34:00;MLS;MLS (MLSYSTEM);6;14.9000;0.0200;0.13;500;7449.64
2026-07-23;13:01:00;MLS;MLS (MLSYSTEM);7;14.9000;0.0000;0.00;18;268.20
2026-07-23;13:02:00;MLS;MLS (MLSYSTEM);8;14.9600;0.0000;0.00;14;209.44
2026-07-23;13:38:00;MLS;MLS (MLSYSTEM);9;14.8400;0.0000;0.00;21;311.64
2026-07-23;13:48:00;MLS;MLS (MLSYSTEM);10;14.6800;-0.1400;-0.94;580;8556.98
2026-07-23;15:25:00;MLS;MLS (MLSYSTEM);11;14.7600;0.0000;0.00;15;221.40
2026-07-23;16:04:00;MLS;MLS (MLSYSTEM);12;14.7400;-0.0200;-0.14;370;5456.50
2026-07-23;16:06:00;MLS;MLS (MLSYSTEM);13;14.7200;-0.0200;-0.14;250;3680.34
2026-07-23;16:43:00;MLS;MLS (MLSYSTEM);14;14.8000;0.0000;0.00;60;888.00
