Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-14;09:00:00;MOC;MOC (MOLECURE);1;7.1000;-0.1000;-1.39;1820;13012.68
2026-09-14;09:01:00;MOC;MOC (MOLECURE);2;7.2200;0.1200;1.69;4317;30879.12
2026-09-14;09:02:00;MOC;MOC (MOLECURE);3;7.2600;0.0400;0.55;700;5058.15
2026-09-14;09:03:00;MOC;MOC (MOLECURE);4;7.2500;0.0500;0.69;3044;21964.88
2026-09-14;09:04:00;MOC;MOC (MOLECURE);5;7.2400;-0.0100;-0.14;1333;9622.45
2026-09-14;09:05:00;MOC;MOC (MOLECURE);6;7.1400;0.0000;0.00;16;114.24
2026-09-14;09:06:00;MOC;MOC (MOLECURE);7;7.2500;0.0500;0.69;2174;15679.06
2026-09-14;09:08:00;MOC;MOC (MOLECURE);8;7.2000;0.0600;0.84;358;2567.52
2026-09-14;09:09:00;MOC;MOC (MOLECURE);9;7.2300;0.0300;0.42;421;3031.90
2026-09-14;09:16:00;MOC;MOC (MOLECURE);10;7.1000;-0.0200;-0.28;930;6610.34
2026-09-14;09:17:00;MOC;MOC (MOLECURE);11;7.1800;0.0800;1.13;600;4269.20
2026-09-14;09:20:00;MOC;MOC (MOLECURE);12;7.1700;0.0000;0.00;300;2151.00
2026-09-14;09:22:00;MOC;MOC (MOLECURE);13;7.1100;0.0000;0.00;219;1557.09
2026-09-14;09:25:00;MOC;MOC (MOLECURE);14;7.1500;0.0000;0.00;35;250.25
2026-09-14;09:34:00;MOC;MOC (MOLECURE);15;7.0600;-0.0400;-0.56;2043;14441.42
2026-09-14;09:35:00;MOC;MOC (MOLECURE);16;7.1000;0.0200;0.28;486;3441.52
2026-09-14;09:36:00;MOC;MOC (MOLECURE);17;7.1000;0.0000;0.00;1;7.10
2026-09-14;09:38:00;MOC;MOC (MOLECURE);18;7.1400;0.0400;0.56;300;2130.20
2026-09-14;09:40:00;MOC;MOC (MOLECURE);19;7.0400;-0.0200;-0.28;804;5665.66
