Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-27;09:02:00;MOJ;MOJ;1;1.5000;0.0000;0.00;4449;6673.50
2026-07-27;09:21:00;MOJ;MOJ;2;1.5000;0.0000;0.00;5000;7500.00
2026-07-27;10:06:00;MOJ;MOJ;3;1.5800;0.0000;0.00;290;458.20
2026-07-27;10:12:00;MOJ;MOJ;4;1.4400;0.0000;0.00;311;447.84
2026-07-27;10:18:00;MOJ;MOJ;5;1.4800;-0.0400;-2.63;75;112.50
2026-07-27;10:42:00;MOJ;MOJ;6;1.5200;0.0000;0.00;25;38.00
2026-07-27;10:46:00;MOJ;MOJ;7;1.5200;0.0000;0.00;75;114.00
2026-07-27;12:00:00;MOJ;MOJ;8;1.5200;0.0000;0.00;161;244.72
2026-07-27;13:44:00;MOJ;MOJ;9;1.5000;0.0000;0.00;5500;8250.00
2026-07-27;13:49:00;MOJ;MOJ;10;1.5000;0.0000;0.00;33;49.50
2026-07-27;14:00:00;MOJ;MOJ;11;1.5000;0.0000;0.00;5000;7500.00
