Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;MOL-MAGYAR-OLAJ;MOL;1;50.9000;0.0000;0.00;30;1527.00
2026-07-15;09:01:00;MOL-MAGYAR-OLAJ;MOL;2;51.0500;0.1000;0.20;372;18968.55
2026-07-15;09:02:00;MOL-MAGYAR-OLAJ;MOL;3;51.0500;0.0000;0.00;19;969.95
2026-07-15;09:05:00;MOL-MAGYAR-OLAJ;MOL;4;50.9500;-0.4500;-0.88;80;4076.45
2026-07-15;09:06:00;MOL-MAGYAR-OLAJ;MOL;5;51.2000;0.0000;0.00;3;153.60
2026-07-15;09:21:00;MOL-MAGYAR-OLAJ;MOL;6;51.2000;-0.2000;-0.39;31;1591.20
2026-07-15;09:28:00;MOL-MAGYAR-OLAJ;MOL;7;51.4000;0.0000;0.00;9;462.60
2026-07-15;09:30:00;MOL-MAGYAR-OLAJ;MOL;8;50.9500;0.0000;0.00;127;6470.65
2026-07-15;09:35:00;MOL-MAGYAR-OLAJ;MOL;9;50.9000;0.0000;0.00;4;203.60
2026-07-15;09:41:00;MOL-MAGYAR-OLAJ;MOL;10;50.9000;0.0000;0.00;219;11147.10
2026-07-15;09:44:00;MOL-MAGYAR-OLAJ;MOL;11;51.0000;0.5000;0.99;842;42941.00
2026-07-15;09:55:00;MOL-MAGYAR-OLAJ;MOL;12;50.7500;0.0000;0.00;30;1522.50
2026-07-15;10:02:00;MOL-MAGYAR-OLAJ;MOL;13;51.2000;0.0000;0.00;500;25600.00
2026-07-15;10:48:00;MOL-MAGYAR-OLAJ;MOL;14;50.8500;0.0000;0.00;50000;2542500.00
2026-07-15;10:59:00;MOL-MAGYAR-OLAJ;MOL;15;50.8500;0.0000;0.00;291;14797.35
2026-07-15;11:00:00;MOL-MAGYAR-OLAJ;MOL;16;51.0000;0.0000;0.00;2;102.00
2026-07-15;11:05:00;MOL-MAGYAR-OLAJ;MOL;17;50.7000;-0.3000;-0.59;28;1423.80
2026-07-15;11:10:00;MOL-MAGYAR-OLAJ;MOL;18;50.8000;0.0000;0.00;1;50.80
2026-07-15;11:24:00;MOL-MAGYAR-OLAJ;MOL;19;50.7000;0.0000;0.00;1;50.70
2026-07-15;11:28:00;MOL-MAGYAR-OLAJ;MOL;20;51.1500;0.0000;0.00;6;306.90
2026-07-15;11:47:00;MOL-MAGYAR-OLAJ;MOL;21;51.0000;0.0000;0.00;35;1785.00
2026-07-15;12:01:00;MOL-MAGYAR-OLAJ;MOL;22;51.0000;0.0000;0.00;2;102.00
2026-07-15;12:15:00;MOL-MAGYAR-OLAJ;MOL;23;51.1000;0.0000;0.00;6;306.60
2026-07-15;12:37:00;MOL-MAGYAR-OLAJ;MOL;24;50.5000;0.0000;0.00;50;2525.00
2026-07-15;12:40:00;MOL-MAGYAR-OLAJ;MOL;25;50.9500;0.0000;0.00;6;305.70
2026-07-15;13:06:00;MOL-MAGYAR-OLAJ;MOL;26;50.9000;0.0000;0.00;51;2595.90
2026-07-15;13:29:00;MOL-MAGYAR-OLAJ;MOL;27;51.0000;0.0000;0.00;3;153.00
2026-07-15;13:52:00;MOL-MAGYAR-OLAJ;MOL;28;50.5500;0.0000;0.00;4;202.20
2026-07-15;13:57:00;MOL-MAGYAR-OLAJ;MOL;29;51.0000;0.0000;0.00;2;102.00
2026-07-15;14:10:00;MOL-MAGYAR-OLAJ;MOL;30;50.8500;0.0000;0.00;7;355.95
2026-07-15;14:13:00;MOL-MAGYAR-OLAJ;MOL;31;50.5500;0.0000;0.00;1;50.55
2026-07-15;14:18:00;MOL-MAGYAR-OLAJ;MOL;32;50.6000;-0.4000;-0.78;9;458.60
2026-07-15;15:11:00;MOL-MAGYAR-OLAJ;MOL;33;50.8500;0.0000;0.00;10000;508500.00
2026-07-15;15:51:00;MOL-MAGYAR-OLAJ;MOL;34;50.9000;0.0000;0.00;2;101.80
2026-07-15;17:00:00;MOL-MAGYAR-OLAJ;MOL;35;50.8500;0.0000;0.00;40000;2034000.00
