Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-30;10:33:00;MONNARI-TRADE;MON (MONNARI);1;5.5600;-0.0400;-0.71;1984;11078.04
2026-07-30;10:57:00;MONNARI-TRADE;MON (MONNARI);2;5.5400;-0.0200;-0.36;441;2443.22
2026-07-30;11:01:00;MONNARI-TRADE;MON (MONNARI);3;5.6000;0.0000;0.00;1;5.60
2026-07-30;11:05:00;MONNARI-TRADE;MON (MONNARI);4;5.5800;0.0000;0.00;2;11.16
2026-07-30;12:21:00;MONNARI-TRADE;MON (MONNARI);5;5.5400;-0.0200;-0.36;12;66.56
2026-07-30;12:23:00;MONNARI-TRADE;MON (MONNARI);6;5.5800;0.0000;0.00;1404;7834.32
2026-07-30;12:32:00;MONNARI-TRADE;MON (MONNARI);7;5.5400;0.0000;0.00;520;2880.80
2026-07-30;14:30:00;MONNARI-TRADE;MON (MONNARI);8;5.5000;-0.0400;-0.72;735;4051.00
2026-07-30;14:32:00;MONNARI-TRADE;MON (MONNARI);9;5.4200;-0.0600;-1.09;2265;12364.40
2026-07-30;14:39:00;MONNARI-TRADE;MON (MONNARI);10;5.6000;0.0000;0.00;1;5.60
