Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-03;09:00:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);1;3.2700;0.0000;0.00;51;166.77
2026-08-03;09:08:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);2;3.2700;0.0000;0.00;2;6.54
2026-08-03;09:09:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);3;3.2700;0.0000;0.00;45;147.15
2026-08-03;09:10:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);4;3.2700;0.0000;0.00;70;228.90
2026-08-03;09:12:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);5;3.2700;0.0000;0.00;43;140.61
2026-08-03;09:48:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);6;3.2600;0.0000;0.00;2;6.52
2026-08-03;09:51:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);7;3.2500;0.0000;0.00;5;16.25
2026-08-03;09:55:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);8;3.2500;0.0000;0.00;77;250.25
2026-08-03;10:06:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);9;3.2500;0.0000;0.00;133;432.25
2026-08-03;10:30:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);10;3.2600;0.0000;0.00;15;48.90
2026-08-03;11:21:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);11;3.2500;0.0000;0.00;200;650.00
2026-08-03;11:27:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);12;3.2000;0.0000;0.00;650;2080.00
2026-08-03;11:28:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);13;3.2000;0.0000;0.00;3168;10137.60
2026-08-03;11:38:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);14;3.1700;0.0000;0.00;400;1268.00
2026-08-03;11:42:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);15;3.1700;0.0000;0.00;40;126.80
2026-08-03;11:44:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);16;3.1700;0.0000;0.00;60;190.20
2026-08-03;11:47:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);17;3.1700;0.0000;0.00;1;3.17
2026-08-03;12:01:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);18;3.1900;0.0000;0.00;3;9.57
2026-08-03;12:19:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);19;3.2000;0.0100;0.31;763;2438.97
2026-08-03;13:10:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);20;3.2400;0.0000;0.00;20;64.80
2026-08-03;14:38:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);21;3.2400;0.0000;0.00;10;32.40
2026-08-03;15:07:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);22;3.2200;0.0000;0.00;70;225.40
2026-08-03;15:55:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);23;3.2200;0.0000;0.00;35;112.70
2026-08-03;16:44:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);24;3.2200;0.0000;0.00;25;80.50
2026-08-03;17:00:00;MOSTOSTAL-WARSZAWA;MSW (MOSTALWAR);25;3.2400;0.0000;0.00;34;110.16
