Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-19;09:00:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);1;6.2200;0.0000;0.00;1000;6220.00
2026-08-19;09:05:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);2;6.3400;0.0800;1.28;798;5036.60
2026-08-19;09:31:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);3;6.3300;0.0000;0.00;3;18.99
2026-08-19;10:22:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);4;6.2300;0.0000;0.00;1;6.23
2026-08-19;11:09:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);5;6.3300;0.0000;0.00;15;94.95
2026-08-19;11:38:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);6;6.2300;0.0000;0.00;108;672.84
2026-08-19;11:39:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);7;6.2300;0.0000;0.00;90;560.70
2026-08-19;11:52:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);8;6.3300;0.0000;0.00;2;12.66
2026-08-19;13:08:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);9;6.3600;0.0300;0.47;1579;10024.29
2026-08-19;13:17:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);10;6.2400;0.0000;0.00;403;2514.72
2026-08-19;13:19:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);11;6.2400;0.0000;0.00;187;1166.88
2026-08-19;13:23:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);12;6.2400;0.0000;0.00;190;1185.60
2026-08-19;15:01:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);13;6.3500;0.0000;0.00;20;127.00
2026-08-19;15:41:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);14;6.3500;0.0000;0.00;9;57.15
2026-08-19;16:17:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);15;6.2400;0.0000;0.00;80;499.20
2026-08-19;16:35:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);16;6.3500;0.0000;0.00;5;31.75
2026-08-19;17:00:00;MOSTOSTAL-ZABRZE;MSZ (MOSTALZAB);17;6.2600;0.0000;0.00;570;3568.20
