Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;09:00:00;MOV;MOV (MOVIEGAMES);1;6.9000;0.1700;2.53;26;175.15
2026-07-23;09:10:00;MOV;MOV (MOVIEGAMES);2;6.7500;0.0000;0.00;300;2025.00
2026-07-23;09:11:00;MOV;MOV (MOVIEGAMES);3;6.9000;0.0000;0.00;1;6.90
2026-07-23;09:25:00;MOV;MOV (MOVIEGAMES);4;6.8500;0.0000;0.00;30;205.50
2026-07-23;09:36:00;MOV;MOV (MOVIEGAMES);5;6.8900;0.0000;0.00;1;6.89
2026-07-23;10:03:00;MOV;MOV (MOVIEGAMES);6;6.7500;0.0000;0.00;3;20.25
2026-07-23;10:19:00;MOV;MOV (MOVIEGAMES);7;6.8900;0.0000;0.00;1;6.89
2026-07-23;11:01:00;MOV;MOV (MOVIEGAMES);8;6.7500;-0.0100;-0.15;50;337.81
2026-07-23;11:04:00;MOV;MOV (MOVIEGAMES);9;6.8600;0.0000;0.00;1;6.86
2026-07-23;11:54:00;MOV;MOV (MOVIEGAMES);10;6.8600;0.0100;0.15;14;95.93
2026-07-23;13:51:00;MOV;MOV (MOVIEGAMES);11;6.7600;0.0000;0.00;3;20.28
2026-07-23;13:58:00;MOV;MOV (MOVIEGAMES);12;6.8600;0.0000;0.00;1;6.86
