Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-25;09:00:00;MUR;MUR (MURAPOL);1;38.6500;0.1000;0.26;78;3007.10
2026-08-25;09:02:00;MUR;MUR (MURAPOL);2;38.5500;0.0000;0.00;32;1233.60
2026-08-25;09:04:00;MUR;MUR (MURAPOL);3;38.5500;0.0000;0.00;42;1619.10
2026-08-25;09:05:00;MUR;MUR (MURAPOL);4;38.6000;0.0000;0.00;8;308.80
2026-08-25;09:06:00;MUR;MUR (MURAPOL);5;38.5500;0.0000;0.00;657;25327.35
2026-08-25;09:11:00;MUR;MUR (MURAPOL);6;38.5000;0.0500;0.13;340;13085.15
2026-08-25;09:13:00;MUR;MUR (MURAPOL);7;38.5000;0.0000;0.00;37;1424.50
2026-08-25;09:15:00;MUR;MUR (MURAPOL);8;38.3500;0.0000;0.00;1;38.35
2026-08-25;09:17:00;MUR;MUR (MURAPOL);9;38.4000;0.0000;0.00;28;1075.20
2026-08-25;09:25:00;MUR;MUR (MURAPOL);10;38.7000;0.0000;0.00;194;7507.80
2026-08-25;09:32:00;MUR;MUR (MURAPOL);11;38.6500;0.0000;0.00;27;1043.55
2026-08-25;09:34:00;MUR;MUR (MURAPOL);12;38.7500;0.0000;0.00;10;387.50
2026-08-25;09:35:00;MUR;MUR (MURAPOL);13;38.7500;0.0000;0.00;13;503.75
2026-08-25;09:49:00;MUR;MUR (MURAPOL);14;38.7500;0.0000;0.00;100;3875.00
2026-08-25;09:54:00;MUR;MUR (MURAPOL);15;38.7500;0.0000;0.00;5;193.75
2026-08-25;10:01:00;MUR;MUR (MURAPOL);16;38.4500;0.0000;0.00;126;4844.70
2026-08-25;10:15:00;MUR;MUR (MURAPOL);17;38.7000;0.0000;0.00;2;77.40
2026-08-25;10:17:00;MUR;MUR (MURAPOL);18;38.7000;0.0000;0.00;1;38.70
2026-08-25;10:19:00;MUR;MUR (MURAPOL);19;38.4500;0.0000;0.00;2;76.90
2026-08-25;10:26:00;MUR;MUR (MURAPOL);20;38.5000;0.0000;0.00;1;38.50
2026-08-25;10:32:00;MUR;MUR (MURAPOL);21;38.7000;0.0000;0.00;179;6927.30
2026-08-25;10:45:00;MUR;MUR (MURAPOL);22;38.7000;0.0000;0.00;40;1548.00
2026-08-25;11:01:00;MUR;MUR (MURAPOL);23;38.7000;0.0000;0.00;50;1935.00
2026-08-25;11:05:00;MUR;MUR (MURAPOL);24;38.6000;0.0000;0.00;119;4593.40
2026-08-25;11:13:00;MUR;MUR (MURAPOL);25;38.7500;0.0500;0.13;50;1935.35
2026-08-25;11:20:00;MUR;MUR (MURAPOL);26;38.7500;0.0000;0.00;75;2906.25
2026-08-25;11:34:00;MUR;MUR (MURAPOL);27;38.6000;0.0000;0.00;36;1389.60
2026-08-25;11:36:00;MUR;MUR (MURAPOL);28;38.7500;0.0000;0.00;5;193.75
2026-08-25;11:39:00;MUR;MUR (MURAPOL);29;38.5500;0.0000;0.00;1;38.55
2026-08-25;11:50:00;MUR;MUR (MURAPOL);30;38.6500;0.0000;0.00;40;1546.00
2026-08-25;12:32:00;MUR;MUR (MURAPOL);31;38.7500;0.0000;0.00;1;38.75
2026-08-25;12:41:00;MUR;MUR (MURAPOL);32;38.7500;0.0000;0.00;85;3293.75
2026-08-25;12:42:00;MUR;MUR (MURAPOL);33;38.6500;0.0000;0.00;11;425.15
2026-08-25;12:43:00;MUR;MUR (MURAPOL);34;38.8000;0.0000;0.00;2;77.60
2026-08-25;13:25:00;MUR;MUR (MURAPOL);35;38.6500;0.0000;0.00;196;7575.40
2026-08-25;14:06:00;MUR;MUR (MURAPOL);36;38.6000;-0.0500;-0.13;50;1932.25
2026-08-25;14:11:00;MUR;MUR (MURAPOL);37;38.6000;0.0000;0.00;1;38.60
2026-08-25;14:22:00;MUR;MUR (MURAPOL);38;38.6000;0.0000;0.00;50;1930.00
2026-08-25;14:40:00;MUR;MUR (MURAPOL);39;38.6000;0.0000;0.00;15;579.00
2026-08-25;15:00:00;MUR;MUR (MURAPOL);40;38.4500;-0.1000;-0.26;2298;88406.70
2026-08-25;15:06:00;MUR;MUR (MURAPOL);41;38.5000;0.0000;0.00;206;7931.00
2026-08-25;15:07:00;MUR;MUR (MURAPOL);42;38.5000;0.0000;0.00;417;16054.50
2026-08-25;15:08:00;MUR;MUR (MURAPOL);43;38.5000;0.0000;0.00;12;462.00
2026-08-25;15:15:00;MUR;MUR (MURAPOL);44;38.5000;0.0000;0.00;1;38.50
2026-08-25;15:26:00;MUR;MUR (MURAPOL);45;38.7000;0.0000;0.00;435;16834.50
2026-08-25;15:29:00;MUR;MUR (MURAPOL);46;38.6000;0.0000;0.00;49;1891.40
2026-08-25;15:30:00;MUR;MUR (MURAPOL);47;38.6000;0.0000;0.00;118;4554.80
2026-08-25;15:33:00;MUR;MUR (MURAPOL);48;38.6000;0.0000;0.00;6;231.60
2026-08-25;15:38:00;MUR;MUR (MURAPOL);49;38.5000;0.0000;0.00;235;9047.50
2026-08-25;15:42:00;MUR;MUR (MURAPOL);50;38.5000;0.0000;0.00;2;77.00
2026-08-25;15:58:00;MUR;MUR (MURAPOL);51;38.6000;0.1000;0.26;309;11899.40
2026-08-25;16:07:00;MUR;MUR (MURAPOL);52;38.5500;0.0000;0.00;10;385.50
2026-08-25;16:10:00;MUR;MUR (MURAPOL);53;38.5500;0.0000;0.00;10;385.50
2026-08-25;16:11:00;MUR;MUR (MURAPOL);54;38.4000;-0.1000;-0.26;607;23322.75
2026-08-25;16:12:00;MUR;MUR (MURAPOL);55;38.3500;0.0000;0.00;7;268.45
2026-08-25;16:15:00;MUR;MUR (MURAPOL);56;38.5500;0.1500;0.39;1110;42790.35
2026-08-25;16:18:00;MUR;MUR (MURAPOL);57;38.5500;0.0000;0.00;50;1927.50
2026-08-25;16:21:00;MUR;MUR (MURAPOL);58;38.5500;0.0000;0.00;50;1927.50
2026-08-25;16:22:00;MUR;MUR (MURAPOL);59;38.5500;0.0000;0.00;38;1464.90
2026-08-25;16:25:00;MUR;MUR (MURAPOL);60;38.5500;0.0000;0.00;10;385.50
2026-08-25;16:39:00;MUR;MUR (MURAPOL);61;38.6000;0.0000;0.00;2;77.20
2026-08-25;16:41:00;MUR;MUR (MURAPOL);62;38.4000;-0.1000;-0.26;124;4772.70
2026-08-25;16:42:00;MUR;MUR (MURAPOL);63;38.5000;0.0000;0.00;94;3619.00
2026-08-25;16:47:00;MUR;MUR (MURAPOL);64;38.4000;0.0000;0.00;12;460.80
2026-08-25;17:00:00;MUR;MUR (MURAPOL);65;38.4000;0.0000;0.00;1366;52454.40
