Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-22;09:16:00;MVP;MVP (MARVIPOL);1;8.1800;0.0000;0.00;5;40.90
2026-09-22;09:27:00;MVP;MVP (MARVIPOL);2;8.2000;0.0000;0.00;1;8.20
2026-09-22;10:19:00;MVP;MVP (MARVIPOL);3;8.1800;0.0000;0.00;1;8.18
2026-09-22;10:28:00;MVP;MVP (MARVIPOL);4;8.1800;0.0000;0.00;1;8.18
2026-09-22;11:02:00;MVP;MVP (MARVIPOL);5;8.2000;0.0000;0.00;1;8.20
2026-09-22;11:09:00;MVP;MVP (MARVIPOL);6;8.1600;-0.0200;-0.24;357;2919.38
2026-09-22;11:20:00;MVP;MVP (MARVIPOL);7;8.1600;0.0000;0.00;214;1746.24
2026-09-22;11:35:00;MVP;MVP (MARVIPOL);8;8.2000;0.0000;0.00;10;82.00
2026-09-22;12:14:00;MVP;MVP (MARVIPOL);9;8.1000;-0.0600;-0.74;4760;38633.14
2026-09-22;12:37:00;MVP;MVP (MARVIPOL);10;8.1000;0.0000;0.00;8;64.80
2026-09-22;12:39:00;MVP;MVP (MARVIPOL);11;8.1600;0.0000;0.00;1;8.16
2026-09-22;13:13:00;MVP;MVP (MARVIPOL);12;8.1000;-0.0400;-0.49;8;65.00
2026-09-22;13:16:00;MVP;MVP (MARVIPOL);13;8.1600;0.0000;0.00;1;8.16
2026-09-22;13:37:00;MVP;MVP (MARVIPOL);14;8.1600;0.0000;0.00;2;16.32
2026-09-22;15:11:00;MVP;MVP (MARVIPOL);15;8.1000;0.0000;0.00;300;2430.00
2026-09-22;15:51:00;MVP;MVP (MARVIPOL);16;8.1200;0.0000;0.00;10;81.20
