Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-09;09:01:00;MW-TRADE;MWT (MWTRADE);1;2.9000;-0.0800;-2.68;2818;8201.36
2026-09-09;09:02:00;MW-TRADE;MWT (MWTRADE);2;2.9000;0.0000;0.00;2164;6275.60
2026-09-09;09:04:00;MW-TRADE;MWT (MWTRADE);3;2.9000;0.0000;0.00;333;965.70
2026-09-09;09:12:00;MW-TRADE;MWT (MWTRADE);4;2.8800;0.0000;0.00;400;1152.00
2026-09-09;09:15:00;MW-TRADE;MWT (MWTRADE);5;2.8800;0.0000;0.00;577;1661.76
2026-09-09;09:47:00;MW-TRADE;MWT (MWTRADE);6;2.8400;0.0000;0.00;577;1638.68
2026-09-09;10:24:00;MW-TRADE;MWT (MWTRADE);7;2.8800;0.0000;0.00;23;66.24
2026-09-09;12:14:00;MW-TRADE;MWT (MWTRADE);8;2.8200;-0.0400;-1.40;833;2359.12
2026-09-09;12:56:00;MW-TRADE;MWT (MWTRADE);9;2.8800;0.0000;0.00;100;288.00
2026-09-09;13:04:00;MW-TRADE;MWT (MWTRADE);10;2.9600;0.0600;2.07;344;1012.06
2026-09-09;15:36:00;MW-TRADE;MWT (MWTRADE);11;2.8200;-0.0800;-2.76;699;2014.48
2026-09-09;16:49:00;MW-TRADE;MWT (MWTRADE);12;2.8400;0.0000;0.00;200;568.00
