Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-10;09:00:00;MXC;MXC (MAXCOM);1;5.8800;0.0000;0.00;1;5.88
2026-08-10;09:27:00;MXC;MXC (MAXCOM);2;5.8800;0.0000;0.00;20;117.60
2026-08-10;10:57:00;MXC;MXC (MAXCOM);3;5.8400;0.0200;0.34;10;58.32
2026-08-10;11:14:00;MXC;MXC (MAXCOM);4;5.6200;-0.0400;-0.71;10;56.44
2026-08-10;11:35:00;MXC;MXC (MAXCOM);5;5.8200;0.0000;0.00;10;58.20
2026-08-10;14:26:00;MXC;MXC (MAXCOM);6;5.6200;0.0000;0.00;38;213.56
2026-08-10;14:56:00;MXC;MXC (MAXCOM);7;5.7600;0.0000;0.00;10;57.60
2026-08-10;15:45:00;MXC;MXC (MAXCOM);8;5.7600;0.0000;0.00;20;115.20
2026-08-10;15:46:00;MXC;MXC (MAXCOM);9;5.7800;0.0000;0.00;10;57.80
2026-08-10;15:47:00;MXC;MXC (MAXCOM);10;5.7600;0.0000;0.00;104;599.04
