Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-20;09:00:00;NCL;NCL (NOCTILUCA);1;98.8000;0.0000;0.00;116;11446.60
2026-07-20;09:07:00;NCL;NCL (NOCTILUCA);2;99.0000;0.2000;0.20;60;5932.60
2026-07-20;09:08:00;NCL;NCL (NOCTILUCA);3;99.1000;0.1000;0.10;49;4851.20
2026-07-20;09:09:00;NCL;NCL (NOCTILUCA);4;99.5000;0.0000;0.00;13;1293.50
2026-07-20;09:14:00;NCL;NCL (NOCTILUCA);5;99.5000;0.0000;0.00;25;2487.50
2026-07-20;09:23:00;NCL;NCL (NOCTILUCA);6;99.5000;0.0000;0.00;1;99.50
2026-07-20;10:09:00;NCL;NCL (NOCTILUCA);7;98.9000;-0.1000;-0.10;10;989.80
2026-07-20;10:25:00;NCL;NCL (NOCTILUCA);8;98.9000;-0.1000;-0.10;118;11675.10
2026-07-20;10:31:00;NCL;NCL (NOCTILUCA);9;98.7000;-0.2000;-0.20;20;1974.40
2026-07-20;10:35:00;NCL;NCL (NOCTILUCA);10;98.0000;-0.7000;-0.71;10;981.40
2026-07-20;10:41:00;NCL;NCL (NOCTILUCA);11;98.9000;0.0000;0.00;100;9890.00
2026-07-20;10:46:00;NCL;NCL (NOCTILUCA);12;99.5000;0.6000;0.61;5;496.30
2026-07-20;11:32:00;NCL;NCL (NOCTILUCA);13;98.2000;0.0000;0.00;30;2946.00
2026-07-20;12:02:00;NCL;NCL (NOCTILUCA);14;99.4000;0.0000;0.00;3;298.20
2026-07-20;12:42:00;NCL;NCL (NOCTILUCA);15;97.7000;-0.4000;-0.41;85;8320.60
2026-07-20;12:51:00;NCL;NCL (NOCTILUCA);16;99.1000;0.1000;0.10;10;990.80
2026-07-20;12:57:00;NCL;NCL (NOCTILUCA);17;97.7000;0.0000;0.00;6;586.20
2026-07-20;12:59:00;NCL;NCL (NOCTILUCA);18;97.7000;0.0000;0.00;3;293.10
2026-07-20;13:00:00;NCL;NCL (NOCTILUCA);19;97.7000;0.0000;0.00;2;195.40
2026-07-20;13:02:00;NCL;NCL (NOCTILUCA);20;97.7000;0.0000;0.00;2;195.40
2026-07-20;13:18:00;NCL;NCL (NOCTILUCA);21;97.3000;-0.4000;-0.41;206;20079.00
2026-07-20;13:19:00;NCL;NCL (NOCTILUCA);22;99.0000;0.0000;0.00;1;99.00
2026-07-20;13:25:00;NCL;NCL (NOCTILUCA);23;98.9000;0.0000;0.00;60;5934.00
2026-07-20;13:27:00;NCL;NCL (NOCTILUCA);24;98.9000;0.0000;0.00;41;4054.90
2026-07-20;13:38:00;NCL;NCL (NOCTILUCA);25;97.1000;-0.1000;-0.10;33;3205.80
2026-07-20;14:39:00;NCL;NCL (NOCTILUCA);26;97.4000;0.0000;0.00;10;974.00
2026-07-20;14:45:00;NCL;NCL (NOCTILUCA);27;98.0000;0.0000;0.00;25;2450.00
2026-07-20;14:54:00;NCL;NCL (NOCTILUCA);28;98.5000;0.0000;0.00;2;197.00
2026-07-20;14:56:00;NCL;NCL (NOCTILUCA);29;98.6000;0.0000;0.00;2;197.20
2026-07-20;14:57:00;NCL;NCL (NOCTILUCA);30;98.7000;0.0000;0.00;96;9475.20
2026-07-20;15:33:00;NCL;NCL (NOCTILUCA);31;98.0000;0.0000;0.00;160;15680.00
2026-07-20;15:47:00;NCL;NCL (NOCTILUCA);32;98.1000;0.0000;0.00;14;1373.40
2026-07-20;16:03:00;NCL;NCL (NOCTILUCA);33;98.0000;0.0000;0.00;98;9604.00
2026-07-20;16:10:00;NCL;NCL (NOCTILUCA);34;98.0000;0.0000;0.00;16;1568.00
2026-07-20;16:43:00;NCL;NCL (NOCTILUCA);35;98.0000;0.0000;0.00;36;3528.00
2026-07-20;16:44:00;NCL;NCL (NOCTILUCA);36;98.6000;0.0000;0.00;15;1479.00
2026-07-20;17:00:00;NCL;NCL (NOCTILUCA);37;98.0000;0.0000;0.00;38;3724.00
2026-07-20;17:03:00;NCL;NCL (NOCTILUCA);38;98.0000;0.0000;0.00;50;4900.00
