Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;NEUCA;NEU (NEUCA);1;798.0000;0.0000;0.00;13;10374.00
2026-08-07;09:06:00;NEUCA;NEU (NEUCA);2;795.0000;0.0000;0.00;6;4770.00
2026-08-07;09:09:00;NEUCA;NEU (NEUCA);3;795.0000;-1.0000;-0.13;9;7161.00
2026-08-07;09:12:00;NEUCA;NEU (NEUCA);4;794.0000;-2.0000;-0.25;29;23042.00
2026-08-07;09:13:00;NEUCA;NEU (NEUCA);5;795.0000;0.0000;0.00;5;3975.00
2026-08-07;09:14:00;NEUCA;NEU (NEUCA);6;795.0000;0.0000;0.00;1;795.00
2026-08-07;09:18:00;NEUCA;NEU (NEUCA);7;795.0000;0.0000;0.00;4;3180.00
2026-08-07;09:21:00;NEUCA;NEU (NEUCA);8;792.0000;-3.0000;-0.38;17;13498.00
2026-08-07;09:24:00;NEUCA;NEU (NEUCA);9;793.0000;0.0000;0.00;2;1586.00
2026-08-07;09:27:00;NEUCA;NEU (NEUCA);10;793.0000;0.0000;0.00;1;793.00
2026-08-07;09:28:00;NEUCA;NEU (NEUCA);11;793.0000;0.0000;0.00;10;7930.00
2026-08-07;09:29:00;NEUCA;NEU (NEUCA);12;793.0000;0.0000;0.00;1;793.00
2026-08-07;09:30:00;NEUCA;NEU (NEUCA);13;792.0000;0.0000;0.00;2;1584.00
2026-08-07;09:32:00;NEUCA;NEU (NEUCA);14;793.0000;2.0000;0.25;32;25339.00
2026-08-07;09:33:00;NEUCA;NEU (NEUCA);15;794.0000;0.0000;0.00;1;794.00
2026-08-07;09:41:00;NEUCA;NEU (NEUCA);16;795.0000;0.0000;0.00;11;8730.00
2026-08-07;09:42:00;NEUCA;NEU (NEUCA);17;795.0000;0.0000;0.00;2;1590.00
2026-08-07;09:45:00;NEUCA;NEU (NEUCA);18;792.0000;0.0000;0.00;2;1584.00
2026-08-07;09:53:00;NEUCA;NEU (NEUCA);19;792.0000;0.0000;0.00;1;792.00
2026-08-07;09:56:00;NEUCA;NEU (NEUCA);20;793.0000;0.0000;0.00;1;793.00
2026-08-07;10:06:00;NEUCA;NEU (NEUCA);21;792.0000;0.0000;0.00;6;4752.00
2026-08-07;10:13:00;NEUCA;NEU (NEUCA);22;792.0000;0.0000;0.00;2;1584.00
2026-08-07;10:17:00;NEUCA;NEU (NEUCA);23;792.0000;0.0000;0.00;12;9504.00
2026-08-07;10:18:00;NEUCA;NEU (NEUCA);24;794.0000;0.0000;0.00;1;794.00
2026-08-07;10:22:00;NEUCA;NEU (NEUCA);25;790.0000;-1.0000;-0.13;4;3163.00
2026-08-07;10:23:00;NEUCA;NEU (NEUCA);26;790.0000;0.0000;0.00;1;790.00
2026-08-07;10:25:00;NEUCA;NEU (NEUCA);27;790.0000;0.0000;0.00;2;1580.00
2026-08-07;10:35:00;NEUCA;NEU (NEUCA);28;794.0000;0.0000;0.00;1;794.00
2026-08-07;10:37:00;NEUCA;NEU (NEUCA);29;793.0000;0.0000;0.00;2;1586.00
2026-08-07;10:38:00;NEUCA;NEU (NEUCA);30;793.0000;0.0000;0.00;3;2379.00
2026-08-07;10:44:00;NEUCA;NEU (NEUCA);31;791.0000;0.0000;0.00;4;3164.00
2026-08-07;11:08:00;NEUCA;NEU (NEUCA);32;791.0000;0.0000;0.00;30;23730.00
2026-08-07;11:22:00;NEUCA;NEU (NEUCA);33;794.0000;0.0000;0.00;1;794.00
2026-08-07;11:27:00;NEUCA;NEU (NEUCA);34;794.0000;0.0000;0.00;1;794.00
2026-08-07;11:35:00;NEUCA;NEU (NEUCA);35;794.0000;0.0000;0.00;2;1588.00
2026-08-07;11:37:00;NEUCA;NEU (NEUCA);36;792.0000;0.0000;0.00;4;3168.00
2026-08-07;11:45:00;NEUCA;NEU (NEUCA);37;791.0000;-1.0000;-0.13;6;4749.00
2026-08-07;11:46:00;NEUCA;NEU (NEUCA);38;788.0000;-2.0000;-0.25;23;18144.00
2026-08-07;11:53:00;NEUCA;NEU (NEUCA);39;790.0000;0.0000;0.00;1;790.00
2026-08-07;11:57:00;NEUCA;NEU (NEUCA);40;790.0000;0.0000;0.00;11;8690.00
2026-08-07;11:59:00;NEUCA;NEU (NEUCA);41;790.0000;0.0000;0.00;1;790.00
2026-08-07;12:00:00;NEUCA;NEU (NEUCA);42;793.0000;3.0000;0.38;24;18983.00
2026-08-07;12:01:00;NEUCA;NEU (NEUCA);43;796.0000;2.0000;0.25;20;15896.00
2026-08-07;12:02:00;NEUCA;NEU (NEUCA);44;796.0000;0.0000;0.00;13;10348.00
2026-08-07;12:03:00;NEUCA;NEU (NEUCA);45;792.0000;0.0000;0.00;3;2376.00
2026-08-07;12:17:00;NEUCA;NEU (NEUCA);46;795.0000;0.0000;0.00;4;3180.00
2026-08-07;12:21:00;NEUCA;NEU (NEUCA);47;791.0000;0.0000;0.00;4;3164.00
2026-08-07;12:28:00;NEUCA;NEU (NEUCA);48;790.0000;-1.0000;-0.13;4;3163.00
2026-08-07;12:32:00;NEUCA;NEU (NEUCA);49;790.0000;0.0000;0.00;6;4740.00
2026-08-07;12:36:00;NEUCA;NEU (NEUCA);50;790.0000;-4.0000;-0.50;3;2374.00
2026-08-07;12:48:00;NEUCA;NEU (NEUCA);51;790.0000;0.0000;0.00;1;790.00
2026-08-07;13:08:00;NEUCA;NEU (NEUCA);52;793.0000;0.0000;0.00;4;3172.00
2026-08-07;13:15:00;NEUCA;NEU (NEUCA);53;792.0000;0.0000;0.00;10;7920.00
2026-08-07;13:16:00;NEUCA;NEU (NEUCA);54;792.0000;0.0000;0.00;6;4752.00
2026-08-07;13:23:00;NEUCA;NEU (NEUCA);55;793.0000;0.0000;0.00;13;10309.00
2026-08-07;13:27:00;NEUCA;NEU (NEUCA);56;789.0000;-2.0000;-0.25;10;7899.00
