Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-08;09:00:00;NEWAG;NWG (NEWAG);1;93.0000;-0.2000;-0.21;256;23848.60
2026-09-08;09:01:00;NEWAG;NWG (NEWAG);2;93.3000;0.1000;0.11;37;3451.80
2026-09-08;09:03:00;NEWAG;NWG (NEWAG);3;92.6000;0.0000;0.00;5;463.00
2026-09-08;09:07:00;NEWAG;NWG (NEWAG);4;92.8000;0.0000;0.00;2;185.60
2026-09-08;09:08:00;NEWAG;NWG (NEWAG);5;93.0000;0.2000;0.22;147;13670.60
2026-09-08;09:11:00;NEWAG;NWG (NEWAG);6;93.1000;0.0000;0.00;19;1768.90
2026-09-08;09:14:00;NEWAG;NWG (NEWAG);7;93.3000;0.0000;0.00;7;653.10
2026-09-08;09:15:00;NEWAG;NWG (NEWAG);8;93.0000;-0.2000;-0.21;45;4187.00
2026-09-08;09:19:00;NEWAG;NWG (NEWAG);9;93.1000;0.1000;0.11;107;9972.70
2026-09-08;09:22:00;NEWAG;NWG (NEWAG);10;93.1000;-0.2000;-0.21;37;3446.70
2026-09-08;09:23:00;NEWAG;NWG (NEWAG);11;93.0000;0.0000;0.00;1;93.00
2026-09-08;09:25:00;NEWAG;NWG (NEWAG);12;93.0000;-0.2000;-0.21;131;12189.60
2026-09-08;09:26:00;NEWAG;NWG (NEWAG);13;93.3000;0.0000;0.00;5;466.50
2026-09-08;09:27:00;NEWAG;NWG (NEWAG);14;93.3000;0.0000;0.00;2;186.60
2026-09-08;09:29:00;NEWAG;NWG (NEWAG);15;93.2000;-0.1000;-0.11;2;186.50
2026-09-08;09:30:00;NEWAG;NWG (NEWAG);16;93.1000;0.0000;0.00;14;1303.40
2026-09-08;09:35:00;NEWAG;NWG (NEWAG);17;93.1000;0.0000;0.00;1;93.10
2026-09-08;09:37:00;NEWAG;NWG (NEWAG);18;93.2000;0.0000;0.00;77;7176.40
2026-09-08;09:38:00;NEWAG;NWG (NEWAG);19;93.1000;0.0000;0.00;1;93.10
2026-09-08;09:40:00;NEWAG;NWG (NEWAG);20;93.3000;0.0000;0.00;1;93.30
2026-09-08;09:41:00;NEWAG;NWG (NEWAG);21;93.1000;0.0000;0.00;1;93.10
2026-09-08;09:42:00;NEWAG;NWG (NEWAG);22;93.3000;0.0000;0.00;32;2985.60
2026-09-08;09:43:00;NEWAG;NWG (NEWAG);23;93.3000;0.0000;0.00;1;93.30
2026-09-08;09:46:00;NEWAG;NWG (NEWAG);24;93.3000;0.1000;0.11;141;13142.50
2026-09-08;09:47:00;NEWAG;NWG (NEWAG);25;93.3000;0.0000;0.00;135;12595.50
2026-09-08;09:48:00;NEWAG;NWG (NEWAG);26;93.2000;0.0000;0.00;3;279.60
2026-09-08;09:52:00;NEWAG;NWG (NEWAG);27;93.2000;0.0000;0.00;78;7269.60
2026-09-08;09:54:00;NEWAG;NWG (NEWAG);28;93.2000;0.0000;0.00;80;7456.00
2026-09-08;09:55:00;NEWAG;NWG (NEWAG);29;93.1000;0.0000;0.00;76;7075.60
2026-09-08;09:56:00;NEWAG;NWG (NEWAG);30;93.1000;0.0000;0.00;235;21878.50
2026-09-08;09:59:00;NEWAG;NWG (NEWAG);31;93.1000;-0.2000;-0.21;15;1399.10
2026-09-08;10:00:00;NEWAG;NWG (NEWAG);32;93.2000;0.0000;0.00;20;1864.00
2026-09-08;10:02:00;NEWAG;NWG (NEWAG);33;93.3000;0.0000;0.00;1;93.30
2026-09-08;10:03:00;NEWAG;NWG (NEWAG);34;93.3000;0.0000;0.00;30;2799.00
2026-09-08;10:04:00;NEWAG;NWG (NEWAG);35;93.3000;0.0000;0.00;62;5784.60
2026-09-08;10:09:00;NEWAG;NWG (NEWAG);36;93.1000;0.0000;0.00;12;1117.20
2026-09-08;10:11:00;NEWAG;NWG (NEWAG);37;93.3000;0.0000;0.00;2;186.60
2026-09-08;10:13:00;NEWAG;NWG (NEWAG);38;93.3000;0.0000;0.00;14;1306.20
2026-09-08;10:14:00;NEWAG;NWG (NEWAG);39;93.3000;0.0000;0.00;25;2332.50
2026-09-08;10:15:00;NEWAG;NWG (NEWAG);40;93.3000;0.0000;0.00;59;5504.70
2026-09-08;10:16:00;NEWAG;NWG (NEWAG);41;93.3000;0.0000;0.00;2;186.60
