Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:17:00;NNG;NNG (NANOGROUP);1;2.4900;0.0000;0.00;4696;11715.40
2026-07-24;09:23:00;NNG;NNG (NANOGROUP);2;2.4900;0.0000;0.00;5304;13233.48
2026-07-24;09:28:00;NNG;NNG (NANOGROUP);3;2.4000;-0.0600;-2.44;5000;12095.13
2026-07-24;09:32:00;NNG;NNG (NANOGROUP);4;2.4600;0.0000;0.00;5;12.32
2026-07-24;09:33:00;NNG;NNG (NANOGROUP);5;2.4700;0.0100;0.41;200;493.77
2026-07-24;09:35:00;NNG;NNG (NANOGROUP);6;2.4700;0.0000;0.00;1044;2582.90
2026-07-24;09:37:00;NNG;NNG (NANOGROUP);7;2.4700;0.0000;0.00;215;532.13
2026-07-24;09:38:00;NNG;NNG (NANOGROUP);8;2.4700;0.0000;0.00;1040;2574.00
2026-07-24;09:39:00;NNG;NNG (NANOGROUP);9;2.4900;0.0000;0.00;10;24.90
2026-07-24;09:58:00;NNG;NNG (NANOGROUP);10;2.4700;0.0000;0.00;209;516.23
2026-07-24;10:01:00;NNG;NNG (NANOGROUP);11;2.4700;0.0000;0.00;1570;3877.90
2026-07-24;10:14:00;NNG;NNG (NANOGROUP);12;2.4400;0.0000;0.00;1000;2444.90
2026-07-24;10:20:00;NNG;NNG (NANOGROUP);13;2.4700;0.0000;0.00;5;12.38
2026-07-24;10:28:00;NNG;NNG (NANOGROUP);14;2.4300;-0.0100;-0.41;2000;4870.43
2026-07-24;10:29:00;NNG;NNG (NANOGROUP);15;2.4500;0.0000;0.00;938;2298.10
2026-07-24;10:43:00;NNG;NNG (NANOGROUP);16;2.4500;0.0000;0.00;50;122.75
2026-07-24;12:52:00;NNG;NNG (NANOGROUP);17;2.4200;-0.0100;-0.41;150;364.38
2026-07-24;12:58:00;NNG;NNG (NANOGROUP);18;2.4400;0.0000;0.00;5;12.22
2026-07-24;13:32:00;NNG;NNG (NANOGROUP);19;2.4500;0.0100;0.41;70;171.28
2026-07-24;14:34:00;NNG;NNG (NANOGROUP);20;2.4500;0.0100;0.41;201;492.15
2026-07-24;14:59:00;NNG;NNG (NANOGROUP);21;2.4000;-0.0300;-1.23;5590;13497.75
2026-07-24;15:35:00;NNG;NNG (NANOGROUP);22;2.4400;0.0000;0.00;150;366.00
2026-07-24;15:46:00;NNG;NNG (NANOGROUP);23;2.4100;0.0000;0.00;2000;4830.00
2026-07-24;16:13:00;NNG;NNG (NANOGROUP);24;2.4000;0.0000;0.00;250;600.00
2026-07-24;16:18:00;NNG;NNG (NANOGROUP);25;2.4000;0.0000;0.00;1000;2400.00
2026-07-24;16:38:00;NNG;NNG (NANOGROUP);26;2.4000;0.0000;0.00;500;1200.00
2026-07-24;16:45:00;NNG;NNG (NANOGROUP);27;2.4000;0.0000;0.00;307;736.80
2026-07-24;16:46:00;NNG;NNG (NANOGROUP);28;2.3900;0.0000;0.00;915;2191.43
2026-07-24;16:47:00;NNG;NNG (NANOGROUP);29;2.3900;0.0000;0.00;85;203.57
2026-07-24;16:48:00;NNG;NNG (NANOGROUP);30;2.3900;0.0000;0.00;1760;4206.40
2026-07-24;16:49:00;NNG;NNG (NANOGROUP);31;2.3800;-0.0100;-0.42;2474;5901.74
2026-07-24;17:00:00;NNG;NNG (NANOGROUP);32;2.3900;0.0000;0.00;1351;3228.89
2026-07-24;17:04:00;NNG;NNG (NANOGROUP);33;2.3900;0.0000;0.00;500;1195.00
