Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-17;09:02:00;NOVITA;NVT (NOVITA);1;104.5000;0.0000;0.00;4;418.00
2026-09-17;09:04:00;NOVITA;NVT (NOVITA);2;107.0000;0.0000;0.00;5;535.00
2026-09-17;09:06:00;NOVITA;NVT (NOVITA);3;108.0000;0.0000;0.00;1;108.00
2026-09-17;09:10:00;NOVITA;NVT (NOVITA);4;104.0000;0.0000;0.00;93;9672.00
2026-09-17;09:17:00;NOVITA;NVT (NOVITA);5;104.0000;0.0000;0.00;23;2392.00
2026-09-17;09:23:00;NOVITA;NVT (NOVITA);6;107.5000;0.0000;0.00;3;322.50
2026-09-17;09:35:00;NOVITA;NVT (NOVITA);7;108.0000;0.5000;0.47;12;1291.50
2026-09-17;09:38:00;NOVITA;NVT (NOVITA);8;104.0000;0.0000;0.00;5;520.00
2026-09-17;10:33:00;NOVITA;NVT (NOVITA);9;104.0000;0.0000;0.00;14;1456.00
2026-09-17;10:34:00;NOVITA;NVT (NOVITA);10;103.5000;0.0000;0.00;20;2070.00
2026-09-17;10:35:00;NOVITA;NVT (NOVITA);11;103.0000;0.0000;0.00;16;1648.00
2026-09-17;11:35:00;NOVITA;NVT (NOVITA);12;103.0000;0.0000;0.00;90;9270.00
2026-09-17;13:02:00;NOVITA;NVT (NOVITA);13;106.5000;0.5000;0.47;20;2122.50
2026-09-17;14:48:00;NOVITA;NVT (NOVITA);14;105.0000;0.0000;0.00;3;315.00
2026-09-17;15:04:00;NOVITA;NVT (NOVITA);15;102.5000;0.0000;0.00;6;615.00
2026-09-17;15:55:00;NOVITA;NVT (NOVITA);16;102.5000;0.0000;0.00;29;2972.50
