Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-29;09:00:00;NTC;NTC (NTCAPITAL);1;0.5660;-0.0120;-2.08;3;1.73
2026-07-29;12:02:00;NTC;NTC (NTCAPITAL);2;0.5680;0.0000;0.00;1;0.57
2026-07-29;12:36:00;NTC;NTC (NTCAPITAL);3;0.5760;0.0000;0.00;944;543.74
2026-07-29;12:37:00;NTC;NTC (NTCAPITAL);4;0.5820;0.0000;0.00;75;43.65
2026-07-29;12:39:00;NTC;NTC (NTCAPITAL);5;0.5680;0.0000;0.00;1;0.57
2026-07-29;12:42:00;NTC;NTC (NTCAPITAL);6;0.5700;0.0000;0.00;20;11.40
2026-07-29;12:43:00;NTC;NTC (NTCAPITAL);7;0.5680;0.0000;0.00;1;0.57
2026-07-29;12:48:00;NTC;NTC (NTCAPITAL);8;0.5700;0.0000;0.00;1599;911.43
2026-07-29;12:55:00;NTC;NTC (NTCAPITAL);9;0.5680;0.0000;0.00;1;0.57
2026-07-29;15:07:00;NTC;NTC (NTCAPITAL);10;0.5680;0.0000;0.00;1;0.57
2026-07-29;15:26:00;NTC;NTC (NTCAPITAL);11;0.5700;0.0000;0.00;50;28.50
2026-07-29;16:43:00;NTC;NTC (NTCAPITAL);12;0.5700;0.0000;0.00;331;188.67
2026-07-29;17:00:00;NTC;NTC (NTCAPITAL);13;0.5840;0.0000;0.00;400;233.60
