Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-03;09:00:00;NTT;NTT (NTTSYSTEM);1;15.5000;0.3000;1.97;400;6136.80
2026-08-03;09:05:00;NTT;NTT (NTTSYSTEM);2;15.3000;0.0000;0.00;80;1224.00
2026-08-03;09:12:00;NTT;NTT (NTTSYSTEM);3;15.5000;0.0000;0.00;370;5735.00
2026-08-03;09:17:00;NTT;NTT (NTTSYSTEM);4;15.6000;0.1000;0.65;1406;21860.70
2026-08-03;09:23:00;NTT;NTT (NTTSYSTEM);5;15.7000;0.0000;0.00;22;345.40
2026-08-03;09:27:00;NTT;NTT (NTTSYSTEM);6;15.7000;0.0000;0.00;5;78.50
2026-08-03;09:45:00;NTT;NTT (NTTSYSTEM);7;15.7000;0.0000;0.00;28;439.60
2026-08-03;09:49:00;NTT;NTT (NTTSYSTEM);8;15.7000;0.0000;0.00;127;1993.90
2026-08-03;09:56:00;NTT;NTT (NTTSYSTEM);9;15.4000;0.0000;0.00;2;30.80
2026-08-03;10:13:00;NTT;NTT (NTTSYSTEM);10;15.4000;0.0000;0.00;4;61.60
2026-08-03;10:22:00;NTT;NTT (NTTSYSTEM);11;15.7000;0.0000;0.00;10;157.00
2026-08-03;10:46:00;NTT;NTT (NTTSYSTEM);12;15.6500;0.0000;0.00;10;156.50
2026-08-03;11:08:00;NTT;NTT (NTTSYSTEM);13;15.6500;0.0000;0.00;50;782.50
2026-08-03;11:23:00;NTT;NTT (NTTSYSTEM);14;15.5000;0.0000;0.00;35;542.50
2026-08-03;11:30:00;NTT;NTT (NTTSYSTEM);15;15.6000;0.0000;0.00;10;156.00
2026-08-03;11:57:00;NTT;NTT (NTTSYSTEM);16;15.6000;0.0000;0.00;45;702.00
2026-08-03;12:07:00;NTT;NTT (NTTSYSTEM);17;15.6000;0.0000;0.00;1;15.60
2026-08-03;12:08:00;NTT;NTT (NTTSYSTEM);18;15.5000;0.0000;0.00;60;930.00
2026-08-03;12:20:00;NTT;NTT (NTTSYSTEM);19;15.5000;0.0000;0.00;906;14043.00
2026-08-03;12:26:00;NTT;NTT (NTTSYSTEM);20;15.5000;0.0000;0.00;144;2232.00
2026-08-03;13:09:00;NTT;NTT (NTTSYSTEM);21;15.4500;0.0000;0.00;400;6180.00
2026-08-03;13:12:00;NTT;NTT (NTTSYSTEM);22;15.6000;0.0500;0.32;16;249.50
2026-08-03;13:57:00;NTT;NTT (NTTSYSTEM);23;15.6000;0.0000;0.00;11;171.60
2026-08-03;14:00:00;NTT;NTT (NTTSYSTEM);24;15.5500;0.0000;0.00;300;4665.00
2026-08-03;14:12:00;NTT;NTT (NTTSYSTEM);25;15.6000;0.0000;0.00;2;31.20
2026-08-03;14:20:00;NTT;NTT (NTTSYSTEM);26;15.5000;0.0000;0.00;97;1503.50
2026-08-03;14:45:00;NTT;NTT (NTTSYSTEM);27;15.6000;0.0000;0.00;3;46.80
2026-08-03;14:53:00;NTT;NTT (NTTSYSTEM);28;15.5000;0.0000;0.00;7;108.50
2026-08-03;16:40:00;NTT;NTT (NTTSYSTEM);29;15.6000;0.0000;0.00;1;15.60
2026-08-03;17:00:00;NTT;NTT (NTTSYSTEM);30;15.5500;0.0000;0.00;122;1897.10
