Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-24;09:00:00;NVG;NVG (NOVAVISGR);1;0.6900;0.0000;0.00;133;91.77
2026-08-24;10:34:00;NVG;NVG (NOVAVISGR);2;0.6890;0.0000;0.00;1000;689.00
2026-08-24;10:50:00;NVG;NVG (NOVAVISGR);3;0.6900;0.0010;0.15;725;500.12
2026-08-24;11:25:00;NVG;NVG (NOVAVISGR);4;0.6860;0.0000;0.00;90;61.74
2026-08-24;12:02:00;NVG;NVG (NOVAVISGR);5;0.6860;0.0000;0.00;3000;2058.00
2026-08-24;13:40:00;NVG;NVG (NOVAVISGR);6;0.6860;0.0000;0.00;750;514.50
2026-08-24;14:26:00;NVG;NVG (NOVAVISGR);7;0.6860;0.0000;0.00;750;514.50
2026-08-24;14:30:00;NVG;NVG (NOVAVISGR);8;0.6860;0.0000;0.00;102;69.97
2026-08-24;15:26:00;NVG;NVG (NOVAVISGR);9;0.6860;0.0000;0.00;400;274.40
2026-08-24;17:00:00;NVG;NVG (NOVAVISGR);10;0.6800;0.0000;0.00;140;95.20
