Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;NXG;NXG (NEXITY);1;0.7700;0.0000;0.00;970;746.90
2026-08-07;09:27:00;NXG;NXG (NEXITY);2;0.7700;0.0000;0.00;2;1.54
2026-08-07;09:33:00;NXG;NXG (NEXITY);3;0.7700;0.0000;0.00;798;614.46
2026-08-07;09:39:00;NXG;NXG (NEXITY);4;0.7700;0.0000;0.00;200;154.00
2026-08-07;10:59:00;NXG;NXG (NEXITY);5;0.7750;0.0000;0.00;1000;775.00
2026-08-07;11:35:00;NXG;NXG (NEXITY);6;0.7500;-0.0200;-2.60;9405;7147.49
2026-08-07;11:57:00;NXG;NXG (NEXITY);7;0.7400;-0.0100;-1.33;3996;2979.12
2026-08-07;12:19:00;NXG;NXG (NEXITY);8;0.7300;-0.0100;-1.35;4051;2988.47
2026-08-07;12:38:00;NXG;NXG (NEXITY);9;0.7200;-0.0400;-5.26;4241;3094.10
2026-08-07;15:06:00;NXG;NXG (NEXITY);10;0.7600;0.0000;0.00;2;1.52
2026-08-07;15:18:00;NXG;NXG (NEXITY);11;0.7600;0.0000;0.00;263;199.88
2026-08-07;16:49:00;NXG;NXG (NEXITY);12;0.7600;0.0000;0.00;2000;1520.00
