Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-31;09:00:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);1;18.1000;0.0000;0.00;830;15023.00
2026-08-31;09:04:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);2;18.1000;0.0000;0.00;172;3113.20
2026-08-31;09:05:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);3;18.3000;0.2500;1.39;290;5237.35
2026-08-31;09:10:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);4;18.2000;0.0000;0.00;290;5278.00
2026-08-31;09:11:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);5;18.2000;0.0000;0.00;1;18.20
2026-08-31;09:12:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);6;18.2000;0.0000;0.00;25;455.00
2026-08-31;09:21:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);7;18.2000;0.0000;0.00;30;546.00
2026-08-31;09:23:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);8;18.0500;0.0000;0.00;1;18.05
2026-08-31;09:25:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);9;18.2000;0.0000;0.00;32;582.40
2026-08-31;09:28:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);10;18.2500;0.0500;0.27;214;3903.10
2026-08-31;09:36:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);11;18.2500;0.0000;0.00;2;36.50
2026-08-31;09:39:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);12;18.2500;0.0000;0.00;10;182.50
2026-08-31;09:51:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);13;18.1000;0.0000;0.00;1;18.10
2026-08-31;09:55:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);14;18.1000;0.0000;0.00;50;905.00
2026-08-31;09:56:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);15;18.2500;0.0000;0.00;3;54.75
2026-08-31;10:00:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);16;18.2500;0.0000;0.00;80;1460.00
2026-08-31;10:10:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);17;18.2000;0.0000;0.00;2;36.40
2026-08-31;10:14:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);18;18.1000;0.0000;0.00;100;1810.00
2026-08-31;10:16:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);19;18.2000;0.0000;0.00;30;546.00
2026-08-31;10:20:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);20;18.2000;0.0000;0.00;105;1911.00
2026-08-31;10:27:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);21;18.2500;0.0500;0.27;532;9705.45
2026-08-31;10:30:00;ODLEWNIE-POLSKIE;ODL (ODLEWNIE);22;18.2500;0.0000;0.00;874;15950.50
